"event","level","Rank","Name","NAT","round","DD","Score","judge_num","judge_name"
" men's 10m platform","final",1,"DALEY Thomas","GBR","4",3.5,9,2," WRIGHT Lisa"
" men's 10m platform","final",1,"DALEY Thomas","GBR","4",3.5,9,3," RAO Lang"
" men's 10m platform","final",1,"DALEY Thomas","GBR","4",3.5,9.5,4," AXTELIUS Peter"
" men's 10m platform","final",1,"DALEY Thomas","GBR","4",3.5,9.5,5," PRANARTA Pranarta"
" men's 10m platform","final",1,"DALEY Thomas","GBR","4",3.5,9,6," SZEKFFY Nora"
" men's 10m platform","final",1,"DALEY Thomas","GBR","4",3.5,9.5,7," GOLOVAN Anatoliy"
" men's 10m platform","final",1,"DALEY Thomas","GBR","5",3.7,6.5,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",1,"DALEY Thomas","GBR","5",3.7,6.5,2," WRIGHT Lisa"
" men's 10m platform","final",1,"DALEY Thomas","GBR","5",3.7,7,3," RAO Lang"
" men's 10m platform","final",1,"DALEY Thomas","GBR","5",3.7,7,4," AXTELIUS Peter"
" men's 10m platform","final",1,"DALEY Thomas","GBR","5",3.7,8,5," PRANARTA Pranarta"
" men's 10m platform","final",1,"DALEY Thomas","GBR","5",3.7,6.5,6," SZEKFFY Nora"
" men's 10m platform","final",1,"DALEY Thomas","GBR","5",3.7,7,7," GOLOVAN Anatoliy"
" men's 10m platform","final",1,"DALEY Thomas","GBR","6",3.6,10,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",1,"DALEY Thomas","GBR","6",3.6,10,2," WRIGHT Lisa"
" men's 10m platform","final",1,"DALEY Thomas","GBR","6",3.6,9.5,3," RAO Lang"
" men's 10m platform","final",1,"DALEY Thomas","GBR","6",3.6,10,4," AXTELIUS Peter"
" men's 10m platform","final",1,"DALEY Thomas","GBR","6",3.6,9.5,5," PRANARTA Pranarta"
" men's 10m platform","final",1,"DALEY Thomas","GBR","6",3.6,9.5,6," SZEKFFY Nora"
" men's 10m platform","final",1,"DALEY Thomas","GBR","6",3.6,9.5,7," GOLOVAN Anatoliy"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","1",3.5,8.5,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","1",3.5,8.5,2," WRIGHT Lisa"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","1",3.5,8,3," RAO Lang"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","1",3.5,9,4," AXTELIUS Peter"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","1",3.5,8.5,5," PRANARTA Pranarta"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","1",3.5,8.5,6," SZEKFFY Nora"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","1",3.5,8.5,7," GOLOVAN Anatoliy"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","2",3.6,8,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","2",3.6,8,2," WRIGHT Lisa"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","2",3.6,8.5,3," RAO Lang"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","2",3.6,8,4," AXTELIUS Peter"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","2",3.6,8.5,5," PRANARTA Pranarta"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","2",3.6,8.5,6," SZEKFFY Nora"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","2",3.6,8.5,7," GOLOVAN Anatoliy"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","3",3.5,7,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","3",3.5,7,2," WRIGHT Lisa"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","3",3.5,6.5,3," RAO Lang"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","3",3.5,6.5,4," AXTELIUS Peter"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","3",3.5,7,5," PRANARTA Pranarta"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","3",3.5,6.5,6," SZEKFFY Nora"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","3",3.5,6.5,7," GOLOVAN Anatoliy"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","4",3.7,9,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","4",3.7,8.5,2," WRIGHT Lisa"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","4",3.7,8,3," RAO Lang"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","4",3.7,8.5,4," AXTELIUS Peter"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","4",3.7,9,5," PRANARTA Pranarta"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","4",3.7,8.5,6," SZEKFFY Nora"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","4",3.7,8.5,7," GOLOVAN Anatoliy"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","5",3.4,9,1," PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","5",3.4,9,2," WRIGHT Lisa"
" men's 10m platform","final",2,"WILLARS VALDEZ Randal","MEX","5",3.4,9,3," RAO Lang"
