"num","name","round","level","event"
"2"," REIS Violeta",1,"preliminary"," men's 10m platform"
"3"," PRANARTA Pranarta",1,"preliminary"," men's 10m platform"
"4"," PEREZ CANASVERAS Angel Luis",1,"preliminary"," men's 10m platform"
"5"," WIERNIUK Anna",1,"preliminary"," men's 10m platform"
"6"," ASADA Masako",1,"preliminary"," men's 10m platform"
"7"," TOULOUDIS Nikolaos",1,"preliminary"," men's 10m platform"
"1"," FEOKTISTOV Eduard",2,"preliminary"," men's 10m platform"
"2"," REIS Violeta",2,"preliminary"," men's 10m platform"
"3"," PRANARTA Pranarta",2,"preliminary"," men's 10m platform"
"4"," PEREZ CANASVERAS Angel Luis",2,"preliminary"," men's 10m platform"
"5"," WIERNIUK Anna",2,"preliminary"," men's 10m platform"
"6"," ASADA Masako",2,"preliminary"," men's 10m platform"
"7"," TOULOUDIS Nikolaos",2,"preliminary"," men's 10m platform"
"1"," FEOKTISTOV Eduard",5,"preliminary"," men's 10m platform"
"2"," REIS Violeta",5,"preliminary"," men's 10m platform"
"3"," PRANARTA Pranarta",5,"preliminary"," men's 10m platform"
"4"," PEREZ CANASVERAS Angel Luis",5,"preliminary"," men's 10m platform"
"5"," WIERNIUK Anna",5,"preliminary"," men's 10m platform"
"6"," ASADA Masako",5,"preliminary"," men's 10m platform"
"7"," TOULOUDIS Nikolaos",5,"preliminary"," men's 10m platform"
"1"," RAO Lang",3,"preliminary"," men's 10m platform"
"2"," PETERSON Gord",3,"preliminary"," men's 10m platform"
"3"," GOLOVAN Anatoliy",3,"preliminary"," men's 10m platform"
"4"," SANTOS Isabel",3,"preliminary"," men's 10m platform"
"5"," ROCHA CHAVEZ Sergio",3,"preliminary"," men's 10m platform"
"6"," SCHLEPPS Holger",3,"preliminary"," men's 10m platform"
"7"," BARTH Michael",3,"preliminary"," men's 10m platform"
"1"," RAO Lang",4,"preliminary"," men's 10m platform"
"2"," PETERSON Gord",4,"preliminary"," men's 10m platform"
"3"," GOLOVAN Anatoliy",4,"preliminary"," men's 10m platform"
"4"," SANTOS Isabel",4,"preliminary"," men's 10m platform"
"5"," ROCHA CHAVEZ Sergio",4,"preliminary"," men's 10m platform"
"6"," SCHLEPPS Holger",4,"preliminary"," men's 10m platform"
"7"," BARTH Michael",4,"preliminary"," men's 10m platform"
"1"," RAO Lang",6,"preliminary"," men's 10m platform"
"2"," PETERSON Gord",6,"preliminary"," men's 10m platform"
"3"," GOLOVAN Anatoliy",6,"preliminary"," men's 10m platform"
