"num","name","round","level","event"
"1"," PEREZ CANASVERAS Angel Luis",3,"final"," men's 10m platform"
"2"," WRIGHT Lisa",3,"final"," men's 10m platform"
"3"," RAO Lang",3,"final"," men's 10m platform"
"4"," AXTELIUS Peter",3,"final"," men's 10m platform"
"5"," PRANARTA Pranarta",3,"final"," men's 10m platform"
"6"," SZEKFFY Nora",3,"final"," men's 10m platform"
"7"," GOLOVAN Anatoliy",3,"final"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",4,"final"," men's 10m platform"
"2"," WRIGHT Lisa",4,"final"," men's 10m platform"
"3"," RAO Lang",4,"final"," men's 10m platform"
"4"," AXTELIUS Peter",4,"final"," men's 10m platform"
"5"," PRANARTA Pranarta",4,"final"," men's 10m platform"
"6"," SZEKFFY Nora",4,"final"," men's 10m platform"
"7"," GOLOVAN Anatoliy",4,"final"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",5,"final"," men's 10m platform"
"2"," WRIGHT Lisa",5,"final"," men's 10m platform"
"3"," RAO Lang",5,"final"," men's 10m platform"
"4"," AXTELIUS Peter",5,"final"," men's 10m platform"
"5"," PRANARTA Pranarta",5,"final"," men's 10m platform"
"6"," SZEKFFY Nora",5,"final"," men's 10m platform"
"7"," GOLOVAN Anatoliy",5,"final"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",6,"final"," men's 10m platform"
"2"," WRIGHT Lisa",6,"final"," men's 10m platform"
"3"," RAO Lang",6,"final"," men's 10m platform"
"4"," AXTELIUS Peter",6,"final"," men's 10m platform"
"5"," PRANARTA Pranarta",6,"final"," men's 10m platform"
"6"," SZEKFFY Nora",6,"final"," men's 10m platform"
"7"," GOLOVAN Anatoliy",6,"final"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",7,"final"," men's 10m platform"
"2"," WRIGHT Lisa",7,"final"," men's 10m platform"
"3"," RAO Lang",7,"final"," men's 10m platform"
"4"," AXTELIUS Peter",7,"final"," men's 10m platform"
"5"," PRANARTA Pranarta",7,"final"," men's 10m platform"
"6"," SZEKFFY Nora",7,"final"," men's 10m platform"
"7"," GOLOVAN Anatoliy",7,"final"," men's 10m platform"
"1"," RAO Lang",1,"final","women's 10m platform"
"2"," van der VOORT Ronald",1,"final","women's 10m platform"
"3"," GUAYACAN CONTRERAS Juan Carlos",1,"final","women's 10m platform"
"4"," SZEKFFY Nora",1,"final","women's 10m platform"
"5"," LEE William",1,"final","women's 10m platform"
"6"," WRIGHT Lisa",1,"final","women's 10m platform"
"7"," BARTH Michael",1,"final","women's 10m platform"
"1"," RAO Lang",2,"final","women's 10m platform"
"2"," van der VOORT Ronald",2,"final","women's 10m platform"
"3"," GUAYACAN CONTRERAS Juan Carlos",2,"final","women's 10m platform"
"4"," SZEKFFY Nora",2,"final","women's 10m platform"
"5"," LEE William",2,"final","women's 10m platform"
"6"," WRIGHT Lisa",2,"final","women's 10m platform"
"7"," BARTH Michael",2,"final","women's 10m platform"
"1"," RAO Lang",3,"final","women's 10m platform"
"2"," van der VOORT Ronald",3,"final","women's 10m platform"
"3"," GUAYACAN CONTRERAS Juan Carlos",3,"final","women's 10m platform"
"4"," SZEKFFY Nora",3,"final","women's 10m platform"
"5"," LEE William",3,"final","women's 10m platform"
"6"," WRIGHT Lisa",3,"final","women's 10m platform"
"7"," BARTH Michael",3,"final","women's 10m platform"
"1"," RAO Lang",4,"final","women's 10m platform"
"2"," van der VOORT Ronald",4,"final","women's 10m platform"
"3"," GUAYACAN CONTRERAS Juan Carlos",4,"final","women's 10m platform"
"4"," SZEKFFY Nora",4,"final","women's 10m platform"
"5"," LEE William",4,"final","women's 10m platform"
"6"," WRIGHT Lisa",4,"final","women's 10m platform"
"7"," BARTH Michael",4,"final","women's 10m platform"
"1"," RAO Lang",5,"final","women's 10m platform"
"2"," van der VOORT Ronald",5,"final","women's 10m platform"
"3"," GUAYACAN CONTRERAS Juan Carlos",5,"final","women's 10m platform"
"4"," SZEKFFY Nora",5,"final","women's 10m platform"
"5"," LEE William",5,"final","women's 10m platform"
"6"," WRIGHT Lisa",5,"final","women's 10m platform"
"7"," BARTH Michael",5,"final","women's 10m platform"
"1"," RAO Lang",6,"final","women's 10m platform"
"2"," van der VOORT Ronald",6,"final","women's 10m platform"
"3"," GUAYACAN CONTRERAS Juan Carlos",6,"final","women's 10m platform"
"4"," SZEKFFY Nora",6,"final","women's 10m platform"
"5"," LEE William",6,"final","women's 10m platform"
"6"," WRIGHT Lisa",6,"final","women's 10m platform"
"7"," BARTH Michael",6,"final","women's 10m platform"
"1"," RAO Lang",7,"final","women's 10m platform"
"2"," van der VOORT Ronald",7,"final","women's 10m platform"
"3"," GUAYACAN CONTRERAS Juan Carlos",7,"final","women's 10m platform"
"4"," SZEKFFY Nora",7,"final","women's 10m platform"
"5"," LEE William",7,"final","women's 10m platform"
"6"," WRIGHT Lisa",7,"final","women's 10m platform"
"7"," BARTH Michael",7,"final","women's 10m platform"
