"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"6","AREVALO ALCON Alberto","ESP","207C","3.6","7.0","6.0","6.5","7.0","7.0","7.0","7.0","75.60","7","210.00","7","28.80","preliminary"," men's 3m springboard"
"6","AREVALO ALCON Alberto","ESP","307C","3.5","7.0","6.5","7.0","6.0","7.0","7.0","7.0","73.50","9","283.50","5","37.20","preliminary"," men's 3m springboard"
"6","AREVALO ALCON Alberto","ESP","407C","3.4","6.0","7.5","7.0","7.5","7.0","7.0","7.0","71.40","10","354.90","6","57.00","preliminary"," men's 3m springboard"
"6","AREVALO ALCON Alberto","ESP","109C","3.8","7.0","6.0","6.5","6.0","6.5","5.5","6.0","70.30","16","425.20","6","62.30","preliminary"," men's 3m springboard"
"7","DIEGO LOPEZ Rodrigo","MEX","5154B","3.4","7.0","7.0","7.0","7.5","7.0","7.0","7.0","71.40","=5","71.40","=5","3.40","preliminary"," men's 3m springboard"
"7","DIEGO LOPEZ Rodrigo","MEX","205B","3.0","7.0","7.0","7.0","7.5","7.0","7.0","7.5","63.00","24","134.40","=13","16.90","preliminary"," men's 3m springboard"
"7","DIEGO LOPEZ Rodrigo","MEX","407C","3.4","7.5","7.0","7.0","7.0","7.5","7.5","7.5","74.80","8","209.20","9","29.60","preliminary"," men's 3m springboard"
"7","DIEGO LOPEZ Rodrigo","MEX","307C","3.5","5.0","5.5","6.0","6.5","6.0","6.0","6.0","63.00","=19","272.20","11","48.50","preliminary"," men's 3m springboard"
"7","DIEGO LOPEZ Rodrigo","MEX","109C","3.8","6.0","5.5","5.5","6.0","6.5","6.5","6.5","70.30","11","342.50","9","69.40","preliminary"," men's 3m springboard"
"7","DIEGO LOPEZ Rodrigo","MEX","5156B","3.9","6.5","7.5","6.5","6.0","6.0","7.0","7.5","78.00","3","420.50","7","67.00","preliminary"," men's 3m springboard"
"8","DOWN-JENKINS Anton","NZL","405B","3.0","8.0","8.0","7.5","8.5","7.5","8.0","7.5","70.50","7","70.50","7","4.30","preliminary"," men's 3m springboard"
"8","DOWN-JENKINS Anton","NZL","205B","3.0","7.5","7.5","7.0","7.0","7.0","7.5","7.0","64.50","23","135.00","12","16.30","preliminary"," men's 3m springboard"
"8","DOWN-JENKINS Anton","NZL","305B","3.0","8.0","7.5","7.0","8.5","8.0","8.0","7.5","70.50","=12","205.50","10","33.30","preliminary"," men's 3m springboard"
"8","DOWN-JENKINS Anton","NZL","107B","3.1","8.0","7.5","8.5","8.0","8.0","8.0","7.5","74.40","7","279.90","8","40.80","preliminary"," men's 3m springboard"
"8","DOWN-JENKINS Anton","NZL","5152B","3.0","8.0","8.0","7.5","7.5","7.5","7.5","7.5","67.50","16","347.40","7","64.50","preliminary"," men's 3m springboard"
"8","DOWN-JENKINS Anton","NZL","5154B","3.4","8.0","7.0","7.0","7.0","7.0","7.5","7.0","71.40","=9","418.80","8","68.70","preliminary"," men's 3m springboard"
"9","MORALES MENDOZA Sebastian","COL","5154B","3.4","6.0","7.0","6.0","6.5","6.0","7.5","6.5","64.60","20","64.60","20","10.20","preliminary"," men's 3m springboard"
"9","MORALES MENDOZA Sebastian","COL","307C","3.5","6.0","7.5","7.5","7.0","8.0","8.0","8.0","80.50","1","145.10","4","6.20","preliminary"," men's 3m springboard"
"9","MORALES MENDOZA Sebastian","COL","109C","3.8","6.5","6.0","6.0","6.0","5.0","5.5","6.5","68.40","17","213.50","5","25.30","preliminary"," men's 3m springboard"
