"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","CAO Yuan","CHN",1,"407C","3.4","7.5","8.0","7.5","7.5","7.0","7.5","7.5","76.50","2","76.50","2","5.10"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",2,"5337D","3.5","7.5","8.5","7.5","7.5","7.5","7.0","8.0","78.75","2","155.25","3","4.55"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",3,"307C","3.5","8.0","8.0","8.0","8.0","7.5","8.0","8.0","84.00","2","239.25","2","3.15"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",4,"207C","3.6","7.5","8.0","7.0","8.0","7.0","7.0","8.0","81.00","2","320.25","2","6.15"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",5,"5154B","3.4","7.5","8.0","8.0","8.0","8.0","7.5","8.0","81.60","1","401.85","2","1.05"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",6,"109C","3.8","7.5","8.0","8.0","8.0","7.0","7.5","7.5","87.40","2","489.25","1",""," men's 3m springboard","semifinal a"
"2","XIE Siyi","CHN",1,"107B","3.1","8.0","8.5","8.5","8.0","8.0","8.0","8.0","74.40","3","74.40","3","7.20"," men's 3m springboard","semifinal a"
"2","XIE Siyi","CHN",2,"407C","3.4","8.5","8.0","8.0","8.0","8.0","8.0","8.0","81.60","1","156.00","2","3.80"," men's 3m springboard","semifinal a"
"2","XIE Siyi","CHN",3,"207C","3.6","8.0","7.5","8.0","8.5","8.0","8.0","8.0","86.40","1","242.40","1",""," men's 3m springboard","semifinal a"
"2","XIE Siyi","CHN",4,"307C","3.5","8.0","8.0","7.5","8.0","8.0","7.5","8.0","84.00","1","326.40","1",""," men's 3m springboard","semifinal a"
"2","XIE Siyi","CHN",5,"5154B","3.4","7.5","7.5","7.5","7.5","7.5","7.5","7.5","76.50","3","402.90","1",""," men's 3m springboard","semifinal a"
"2","XIE Siyi","CHN",6,"109C","3.8","7.0","7.0","7.0","6.0","6.5","6.5","7.0","77.90","5","480.80","2","8.45"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",1,"405B","3.0","7.5","7.5","8.0","8.0","8.0","8.0","7.5","70.50","4","70.50","4","11.10"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",2,"205B","3.0","7.0","7.5","7.5","6.5","7.5","7.0","7.0","64.50","6","135.00","6","24.80"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",3,"107B","3.1","7.0","7.0","7.5","7.0","7.5","7.0","7.0","65.10","5","200.10","6","42.30"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",4,"307C","3.5","6.5","6.0","6.5","6.5","6.5","7.0","5.5","68.25","4","268.35","4","58.05"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",5,"5154B","3.4","8.0","8.0","7.5","8.0","7.5","7.5","7.5","78.20","2","346.55","4","56.35"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",6,"5156B","3.9","7.5","7.5","8.5","7.0","7.5","7.5","7.0","87.75","1","434.30","3","54.95"," men's 3m springboard","semifinal a"
"4","PACHECO MARRUFO Rommel","MEX",1,"407C","3.4","6.5","6.5","6.5","7.0","7.0","7.0","7.0","69.70","5","69.70","5","11.90"," men's 3m springboard","semifinal a"
"4","PACHECO MARRUFO Rommel","MEX",2,"205B","3.0","7.5","7.5","7.5","7.0","8.0","8.0","7.5","67.50","5","137.20","5","22.60"," men's 3m springboard","semifinal a"
"4","PACHECO MARRUFO Rommel","MEX",3,"5154B","3.4","8.0","8.0","8.0","8.5","8.0","8.0","8.0","81.60","3","218.80","3","23.60"," men's 3m springboard","semifinal a"
"4","PACHECO MARRUFO Rommel","MEX",4,"5353B","3.3","7.5","7.5","7.5","7.5","7.5","7.0","7.5","74.25","3","293.05","3","33.35"," men's 3m springboard","semifinal a"
"4","PACHECO MARRUFO Rommel","MEX",5,"307C","3.5","6.5","6.0","6.0","6.5","6.5","6.5","5.0","66.50","4","359.55","3","43.35"," men's 3m springboard","semifinal a"
"4","PACHECO MARRUFO Rommel","MEX",6,"109C","3.8","6.5","6.5","6.5","7.5","7.0","6.5","6.5","74.10","6","433.65","4","55.60"," men's 3m springboard","semifinal a"
"5","GAGNE Philippe","CAN",1,"205B","3.0","7.5","7.5","7.0","7.5","7.5","7.5","8.0","67.50","6","67.50","6","14.10"," men's 3m springboard","semifinal a"
"5","GAGNE Philippe","CAN",2,"107B","3.1","7.0","7.5","7.5","7.5","7.5","7.5","7.5","69.75","4","137.25","4","22.55"," men's 3m springboard","semifinal a"
"5","GAGNE Philippe","CAN",3,"5154B","3.4","6.0","6.5","6.5","6.5","6.5","6.0","6.5","66.30","4","203.55","5","38.85"," men's 3m springboard","semifinal a"
"5","GAGNE Philippe","CAN",4,"407C","3.4","6.5","6.0","6.0","6.5","6.0","6.5","6.5","64.60","5","268.15","5","58.25"," men's 3m springboard","semifinal a"
"5","GAGNE Philippe","CAN",5,"307C","3.5","5.5","5.0","5.5","4.5","5.5","5.0","5.0","54.25","6","322.40","5","80.50"," men's 3m springboard","semifinal a"
"5","GAGNE Philippe","CAN",6,"5337D","3.5","7.5","8.0","8.0","8.0","8.5","8.0","7.5","84.00","4","406.40","5","82.85"," men's 3m springboard","semifinal a"
"6","KUZNETSOV Evgenii","RUS",1,"407C","3.4","8.0","7.0","8.0","8.0","8.0","8.0","7.5","81.60","1","81.60","1",""," men's 3m springboard","semifinal a"
"6","KUZNETSOV Evgenii","RUS",2,"5154B","3.4","7.5","8.0","7.5","7.5","8.0","7.5","8.0","78.20","3","159.80","1",""," men's 3m springboard","semifinal a"
"6","KUZNETSOV Evgenii","RUS",3,"5156B","3.9","4.0","4.5","4.5","4.0","5.0","4.0","4.5","50.70","6","210.50","4","31.90"," men's 3m springboard","semifinal a"
"6","KUZNETSOV Evgenii","RUS",4,"207C","3.6","4.5","5.0","5.0","4.5","5.5","4.5","4.5","50.40","6","260.90","6","65.50"," men's 3m springboard","semifinal a"
"6","KUZNETSOV Evgenii","RUS",5,"307C","3.5","5.5","4.5","5.5","4.5","6.0","6.0","5.0","56.00","5","316.90","6","86.00"," men's 3m springboard","semifinal a"
"6","KUZNETSOV Evgenii","RUS",6,"109C","3.8","7.5","7.0","7.5","8.0","8.0","7.5","7.5","85.50","3","402.40","6","86.85"," men's 3m springboard","semifinal a"
"1","REID Grace","GBR",1,"405B","3.0","6.0","6.5","6.0","6.0","6.5","6.5","6.0","55.50","3","55.50","3","7.50","women's 3m springboard","semifinal a"
"1","REID Grace","GBR",2,"107B","3.1","8.0","7.5","7.0","7.5","7.5","7.5","8.0","69.75","1","125.25","1","","women's 3m springboard","semifinal a"
"1","REID Grace","GBR",3,"305B","3.0","7.0","7.0","7.0","6.5","7.0","7.0","7.0","63.00","2","188.25","1","","women's 3m springboard","semifinal a"
"1","REID Grace","GBR",4,"205B","3.0","6.0","7.5","6.5","7.0","7.0","7.5","7.0","63.00","=3","251.25","1","","women's 3m springboard","semifinal a"
"1","REID Grace","GBR",5,"5152B","3.0","7.0","7.0","7.5","7.5","7.5","6.5","8.0","66.00","1","317.25","1","","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",1,"205B","3.0","5.5","6.0","4.5","5.5","5.5","5.5","4.5","49.50","5","49.50","5","13.50","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",2,"305B","3.0","7.0","7.0","6.5","5.5","6.0","5.5","7.0","58.50","2","108.00","4","17.25","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",3,"405B","3.0","7.0","7.0","7.5","7.5","7.5","7.5","7.0","66.00","1","174.00","2","14.25","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",4,"107B","3.1","6.5","7.0","7.5","7.5","8.0","7.5","8.0","69.75","2","243.75","2","7.50","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",5,"5154B","3.4","6.0","7.0","6.0","6.5","6.5","6.0","6.5","64.60","2","308.35","2","8.90","women's 3m springboard","semifinal a"
"3","ILINYKH Kristina","RUS",1,"205B","3.0","6.5","7.0","7.0","7.5","7.0","7.0","7.0","63.00","1","63.00","1","","women's 3m springboard","semifinal a"
"3","ILINYKH Kristina","RUS",2,"305B","3.0","5.5","6.0","6.0","5.5","5.5","5.0","4.5","49.50","4","112.50","2","12.75","women's 3m springboard","semifinal a"
"3","ILINYKH Kristina","RUS",3,"107B","3.1","6.0","6.5","6.5","6.5","6.5","6.5","6.5","60.45","3","172.95","3","15.30","women's 3m springboard","semifinal a"
"3","ILINYKH Kristina","RUS",4,"405B","3.0","8.0","7.5","8.0","8.0","8.0","7.5","7.5","70.50","1","243.45","3","7.80","women's 3m springboard","semifinal a"
"3","ILINYKH Kristina","RUS",5,"5152B","3.0","6.5","7.0","6.0","6.5","6.5","7.0","7.0","60.00","3","303.45","3","13.80","women's 3m springboard","semifinal a"
"4","QIN Esther","AUS",1,"405B","3.0","6.5","6.0","6.0","6.5","6.0","5.5","6.0","54.00","4","54.00","4","9.00","women's 3m springboard","semifinal a"
"4","QIN Esther","AUS",2,"107B","3.1","4.5","4.5","4.5","4.0","4.0","4.5","4.5","41.85","5","95.85","5","29.40","women's 3m springboard","semifinal a"
"4","QIN Esther","AUS",3,"205B","3.0","5.5","7.0","5.5","5.0","5.5","6.0","6.0","51.00","4","146.85","5","41.40","women's 3m springboard","semifinal a"
"4","QIN Esther","AUS",4,"305B","3.0","7.0","7.5","6.5","7.0","7.0","7.5","7.0","63.00","=3","209.85","4","41.40","women's 3m springboard","semifinal a"
"4","QIN Esther","AUS",5,"5152B","3.0","6.0","6.5","6.0","6.5","6.5","6.5","7.5","58.50","4","268.35","4","48.90","women's 3m springboard","semifinal a"
"5","BERTOCCHI Elena","ITA",1,"405C","2.7","7.5","7.5","7.0","7.0","7.5","7.0","7.0","58.05","2","58.05","2","4.95","women's 3m springboard","semifinal a"
"5","BERTOCCHI Elena","ITA",2,"5152B","3.0","6.0","7.0","5.5","6.0","5.0","6.0","5.0","52.50","3","110.55","3","14.70","women's 3m springboard","semifinal a"
"5","BERTOCCHI Elena","ITA",3,"107B","3.1","5.5","5.0","4.5","4.5","5.5","5.5","5.0","48.05","5","158.60","4","29.65","women's 3m springboard","semifinal a"
"5","BERTOCCHI Elena","ITA",4,"305B","3.0","3.0","2.5","1.5","1.5","2.0","1.0","2.0","16.50","5","175.10","5","76.15","women's 3m springboard","semifinal a"
"5","BERTOCCHI Elena","ITA",5,"205B","3.0","5.5","6.0","5.5","6.0","6.0","6.5","6.0","54.00","5","229.10","5","88.15","women's 3m springboard","semifinal a"
"1","DALEY Thomas","GBR",1,"307C","3.4","8.0","7.5","7.5","8.0","7.5","7.5","8.0","78.20","3","78.20","3","6.40"," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",2,"407C","3.2","8.0","8.5","8.0","8.0","8.0","8.0","8.0","76.80","3","155.00","3","11.20"," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",3,"5172B","3.6","8.0","8.0","8.0","8.0","7.5","7.5","8.0","86.40","1","241.40","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",4,"626B","3.5","8.0","8.0","8.5","7.5","8.5","8.5","8.5","87.50","3","328.90","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",5,"109C","3.7","8.5","8.5","8.0","8.5","7.5","8.5","8.0","92.50","1","421.40","1",""," men's 10m platform","semifinal a"
"1","DALEY Thomas","GBR",6,"207B","3.6","7.5","8.0","7.0","7.0","7.5","7.5","7.5","81.00","4","502.40","1",""," men's 10m platform","semifinal a"
