"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","HE Chao","CHN",1,"5154B","3.4","8.5","8.5","8.5","8.5","8.5","8.5","8.5","86.70","1","86.70","1",""," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",2,"407C","3.4","7.0","7.5","7.0","6.0","7.0","7.0","7.5","71.40","4","158.10","2","9.25"," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",3,"5172B","3.7","8.0","8.0","7.5","8.5","7.0","7.0","8.0","86.95","1","245.05","2","9.00"," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",4,"307C","3.5","8.5","8.5","8.0","8.5","8.5","8.5","8.5","89.25","2","334.30","2","13.35"," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",5,"207C","3.6","7.5","7.5","8.0","8.0","7.5","7.5","8.0","82.80","2","417.10","2","8.45"," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",6,"109C","3.8","8.5","8.5","8.5","8.5","8.5","9.0","8.5","96.90","1","514.00","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",1,"5154B","3.4","7.0","8.0","8.0","8.0","8.0","8.0","8.0","81.60","2","81.60","2","5.10"," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",2,"307C","3.5","8.5","8.0","7.5","8.0","8.0","8.5","8.5","85.75","1","167.35","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",3,"407C","3.4","8.5","8.5","8.5","8.5","8.5","8.5","8.0","86.70","2","254.05","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",4,"5156B","3.9","7.5","8.0","8.0","8.0","7.5","8.0","8.0","93.60","1","347.65","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",5,"109C","3.8","6.5","7.0","6.5","7.5","7.0","7.0","6.0","77.90","4","425.55","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",6,"207C","3.6","6.0","6.5","5.5","7.0","5.5","6.0","4.5","63.00","5","488.55","2","25.45"," men's 3m springboard","semifinal a"
"3","PACHECO Rommel","SMF",1,"407C","3.4","7.5","7.5","7.5","7.5","7.5","7.5","8.0","76.50","3","76.50","3","10.20"," men's 3m springboard","semifinal a"
"3","PACHECO Rommel","SMF",2,"205B","3.0","7.0","7.5","7.5","8.0","7.5","7.5","8.0","67.50","5","144.00","3","23.35"," men's 3m springboard","semifinal a"
"3","PACHECO Rommel","SMF",3,"5154B","3.4","8.5","8.5","8.0","8.0","8.5","8.0","7.5","83.30","3","227.30","3","26.75"," men's 3m springboard","semifinal a"
"3","PACHECO Rommel","SMF",4,"5353B","3.3","8.0","8.0","7.5","8.0","7.5","7.5","7.0","75.90","4","303.20","3","44.45"," men's 3m springboard","semifinal a"
"3","PACHECO Rommel","SMF",5,"307C","3.5","8.0","8.0","8.0","8.0","8.5","7.5","8.5","84.00","1","387.20","3","38.35"," men's 3m springboard","semifinal a"
"3","PACHECO Rommel","SMF",6,"109C","3.8","8.5","8.0","8.0","8.0","8.0","7.5","8.0","91.20","3","478.40","3","35.60"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",1,"405B","3.0","7.0","7.5","7.5","7.5","7.5","7.5","6.5","67.50","4","67.50","4","19.20"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",2,"107B","3.1","8.0","8.0","8.0","8.0","8.0","8.0","7.5","74.40","3","141.90","4","25.45"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",3,"205B","3.0","7.5","7.5","7.5","7.5","7.5","7.5","7.5","67.50","4","209.40","4","44.65"," men's 3m springboard","semifinal a"
"4","IMBEAU-DULAC Francois","CAN",4,"307C","3.5","7.5","7.0","7.5","7.5","7.5","7.5","7.5","78.75","3","288.15","4","59.50"," men's 3m springboard","semifinal a"
