"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","CAO Yuan","CHN",1,"407C","3.4","8.0","8.0","8.0","7.0","7.5","7.5","7.5","78.20","=2","78.20","=2","3.40"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",2,"5337D","3.5","7.5","7.5","8.0","7.0","7.5","7.5","7.5","78.75","2","156.95","2","11.05"," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",3,"307C","3.5","8.5","7.5","8.5","8.5","8.5","8.5","8.0","89.25","1","246.20","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",4,"207C","3.6","8.0","8.5","8.0","8.5","8.0","7.5","8.0","86.40","1","332.60","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",5,"5154B","3.4","6.0","7.0","7.0","6.5","6.5","6.0","6.5","66.30","4","398.90","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",6,"109C","3.8","8.0","7.5","8.5","7.5","7.0","7.0","6.5","83.60","2","482.50","1",""," men's 3m springboard","semifinal a"
"2","PACHECO Rommel","SMF",1,"407C","3.4","7.0","7.0","7.0","7.0","6.5","7.0","7.0","71.40","6","71.40","6","10.20"," men's 3m springboard","semifinal a"
"2","PACHECO Rommel","SMF",2,"205B","3.0","7.5","7.5","7.5","7.0","7.5","7.5","7.0","67.50","6","138.90","6","29.10"," men's 3m springboard","semifinal a"
"2","PACHECO Rommel","SMF",3,"5154B","3.4","7.0","7.5","7.5","7.5","7.5","6.5","7.0","74.80","3","213.70","4","32.50"," men's 3m springboard","semifinal a"
"2","PACHECO Rommel","SMF",4,"5353B","3.3","8.0","8.0","8.0","7.5","8.5","7.5","8.0","79.20","2","292.90","4","39.70"," men's 3m springboard","semifinal a"
"2","PACHECO Rommel","SMF",5,"307C","3.5","8.0","9.0","8.0","9.0","8.5","8.5","8.5","89.25","1","382.15","2","16.75"," men's 3m springboard","semifinal a"
"2","PACHECO Rommel","SMF",6,"109C","3.8","7.0","7.0","7.0","7.0","7.0","6.5","7.0","79.80","4","461.95","2","20.55"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",1,"407C","3.4","8.0","8.0","8.0","8.5","8.0","8.0","8.0","81.60","1","81.60","1",""," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",2,"207C","3.6","8.0","7.5","8.0","8.0","8.0","8.0","8.0","86.40","1","168.00","1",""," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",3,"307C","3.5","6.5","6.5","6.5","7.0","6.0","7.0","6.5","68.25","4","236.25","2","9.95"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",4,"5154B","3.4","7.5","7.0","7.5","8.0","7.5","7.5","7.5","76.50","3","312.75","2","19.85"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",5,"5156B","3.9","5.0","5.0","5.5","4.5","4.5","5.5","5.0","58.50","5","371.25","3","27.65"," men's 3m springboard","semifinal a"
"3","ZAKHAROV Ilia","RUS",6,"109C","3.8","7.5","8.0","7.5","7.5","7.5","7.0","7.5","85.50","1","456.75","3","25.75"," men's 3m springboard","semifinal a"
"4","OCAMPO Jahir","SMF",1,"407C","3.4","7.5","7.5","7.5","8.0","7.5","8.0","8.0","78.20","=2","78.20","=2","3.40"," men's 3m springboard","semifinal a"
"4","OCAMPO Jahir","SMF",2,"205B","3.0","8.0","8.0","7.5","8.0","7.5","7.5","7.5","69.00","5","147.20","4","20.80"," men's 3m springboard","semifinal a"
"4","OCAMPO Jahir","SMF",3,"5154B","3.4","7.5","7.5","7.5","8.0","7.5","7.5","7.5","76.50","2","223.70","3","22.50"," men's 3m springboard","semifinal a"
"4","OCAMPO Jahir","SMF",4,"307C","3.5","6.5","7.0","7.0","7.0","7.0","7.0","6.5","73.50","4","297.20","3","35.40"," men's 3m springboard","semifinal a"
"4","OCAMPO Jahir","SMF",5,"5353B","3.3","7.5","7.5","7.0","7.0","7.0","7.5","7.0","70.95","3","368.15","4","30.75"," men's 3m springboard","semifinal a"
"4","OCAMPO Jahir","SMF",6,"109C","3.8","6.0","6.5","6.0","5.5","6.0","6.0","6.5","68.40","6","436.55","4","45.95"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",1,"405B","3.0","8.0","7.5","8.0","7.5","8.0","8.0","8.0","72.00","5","72.00","5","9.60"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",2,"107B","3.1","7.5","7.5","7.5","8.0","8.0","8.5","7.5","71.30","4","143.30","5","24.70"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",3,"205B","3.0","6.0","6.5","6.5","7.0","6.0","6.5","6.5","58.50","5","201.80","6","44.40"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",4,"307C","3.5","3.5","4.0","4.0","4.0","4.0","3.5","4.0","42.00","6","243.80","6","88.80"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",5,"5154B","3.4","8.0","8.0","8.0","8.0","7.5","7.5","7.5","79.90","2","323.70","6","75.20"," men's 3m springboard","semifinal a"
"5","IMBEAU-DULAC Francois","CAN",6,"5156B","3.9","7.0","6.5","7.0","6.0","7.5","6.5","7.0","79.95","3","403.65","5","78.85"," men's 3m springboard","semifinal a"
"6","KVASHA Illya","UKR",1,"407C","3.4","8.0","7.0","7.5","7.5","7.5","7.5","7.5","76.50","4","76.50","4","5.10"," men's 3m springboard","semifinal a"
"6","KVASHA Illya","UKR",2,"107B","3.1","8.0","8.0","8.0","8.0","8.0","8.0","8.0","74.40","3","150.90","3","17.10"," men's 3m springboard","semifinal a"
"6","KVASHA Illya","UKR",3,"307C","3.5","5.5","4.5","5.0","5.0","5.5","5.5","6.0","56.00","6","206.90","5","39.30"," men's 3m springboard","semifinal a"
