"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","HE Chao","CHN",1,"5154B","3.4","8.5","8.5","8.5","8.5","8.0","8.5","8.5","86.70","2","86.70","2","3.40"," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",2,"407C","3.4","9.0","9.0","8.0","9.0","9.0","8.5","8.5","90.10","1","176.80","1",""," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",3,"5172B","3.7","8.0","7.5","8.0","8.0","8.0","8.0","7.0","88.80","1","265.60","1",""," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",4,"307C","3.5","8.5","9.0","8.5","8.5","8.5","9.0","9.0","91.00","2","356.60","1",""," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",5,"207C","3.6","6.0","6.0","5.5","7.0","6.5","6.0","6.0","64.80","4","421.40","1",""," men's 3m springboard","semifinal a"
"1","HE Chao","CHN",6,"109C","3.8","9.5","8.5","9.0","9.0","9.5","8.5","9.0","102.60","=1","524.00","1",""," men's 3m springboard","semifinal a"
"2","ZAKHAROV Ilia","RUS",1,"407C","3.4","7.5","7.0","7.5","7.5","7.5","7.5","7.5","76.50","5","76.50","5","13.60"," men's 3m springboard","semifinal a"
"2","ZAKHAROV Ilia","RUS",2,"207C","3.6","8.0","8.5","8.0","8.0","8.5","8.5","8.5","90.00","2","166.50","2","10.30"," men's 3m springboard","semifinal a"
"2","ZAKHAROV Ilia","RUS",3,"307C","3.5","8.0","8.5","8.0","7.5","8.0","8.0","8.5","84.00","2","250.50","2","15.10"," men's 3m springboard","semifinal a"
"2","ZAKHAROV Ilia","RUS",4,"5154B","3.4","8.0","7.5","8.0","8.0","7.5","7.0","8.0","79.90","4","330.40","2","26.20"," men's 3m springboard","semifinal a"
"2","ZAKHAROV Ilia","RUS",5,"5156B","3.9","7.0","6.5","6.0","7.0","7.0","7.5","6.5","79.95","3","410.35","2","11.05"," men's 3m springboard","semifinal a"
"2","ZAKHAROV Ilia","RUS",6,"109C","3.8","8.5","9.0","8.5","8.5","9.0","9.0","8.5","98.80","3","509.15","2","14.85"," men's 3m springboard","semifinal a"
"3","KUZNETSOV Evgenii","RUS",1,"407C","3.4","8.5","8.0","8.0","8.5","8.0","8.0","7.5","81.60","3","81.60","3","8.50"," men's 3m springboard","semifinal a"
"3","KUZNETSOV Evgenii","RUS",2,"5154B","3.4","7.5","7.5","7.5","7.5","7.5","7.5","7.0","76.50","4","158.10","3","18.70"," men's 3m springboard","semifinal a"
"3","KUZNETSOV Evgenii","RUS",3,"5156B","3.9","7.5","7.0","7.5","7.0","7.0","7.0","6.5","81.90","3","240.00","3","25.60"," men's 3m springboard","semifinal a"
"3","KUZNETSOV Evgenii","RUS",4,"207C","3.6","6.5","5.5","5.5","6.5","6.0","6.5","5.0","64.80","6","304.80","5","51.80"," men's 3m springboard","semifinal a"
"3","KUZNETSOV Evgenii","RUS",5,"307C","3.5","7.5","8.5","8.0","8.0","8.5","8.0","7.5","84.00","1","388.80","4","32.60"," men's 3m springboard","semifinal a"
"3","KUZNETSOV Evgenii","RUS",6,"109C","3.8","8.5","9.0","9.5","9.0","10","9.0","8.5","102.60","=1","491.40","3","32.60"," men's 3m springboard","semifinal a"
"4","LAUGHER Jack","GBR",1,"5154B","3.4","9.0","9.0","8.5","9.0","8.5","9.0","8.5","90.10","1","90.10","1",""," men's 3m springboard","semifinal a"
"4","LAUGHER Jack","GBR",2,"307C","3.5","5.0","6.5","7.5","7.0","6.5","6.0","5.0","66.50","5","156.60","4","20.20"," men's 3m springboard","semifinal a"
"4","LAUGHER Jack","GBR",3,"407C","3.4","7.5","8.0","7.0","8.0","8.0","7.0","7.0","76.50","5","233.10","4","32.50"," men's 3m springboard","semifinal a"
"4","LAUGHER Jack","GBR",4,"5156B","3.9","7.0","7.0","6.0","7.5","7.5","7.5","7.0","83.85","3","316.95","3","39.65"," men's 3m springboard","semifinal a"
"4","LAUGHER Jack","GBR",5,"109C","3.8","7.5","7.5","7.0","7.5","7.0","7.5","7.0","83.60","2","400.55","3","20.85"," men's 3m springboard","semifinal a"
"4","LAUGHER Jack","GBR",6,"207C","3.6","7.5","7.5","7.5","8.0","7.5","6.5","7.5","81.00","4","481.55","4","42.45"," men's 3m springboard","semifinal a"
"5","WOO Haram","KOR",1,"5154B","3.4","8.0","8.0","7.0","8.0","7.5","8.0","7.0","79.90","4","79.90","4","10.20"," men's 3m springboard","semifinal a"
"5","WOO Haram","KOR",2,"407C","3.4","5.0","5.5","5.5","6.0","6.5","6.5","6.0","59.50","6","139.40","5","37.40"," men's 3m springboard","semifinal a"
"5","WOO Haram","KOR",3,"109C","3.8","7.0","7.0","7.0","6.5","6.5","7.0","6.5","77.90","4","217.30","5","48.30"," men's 3m springboard","semifinal a"
"5","WOO Haram","KOR",4,"307C","3.5","9.0","8.5","9.0","9.0","9.0","9.5","9.5","94.50","1","311.80","4","44.80"," men's 3m springboard","semifinal a"
"5","WOO Haram","KOR",5,"205B","3.0","6.5","7.0","7.0","7.5","7.0","7.5","7.0","63.00","5","374.80","5","46.60"," men's 3m springboard","semifinal a"
"5","WOO Haram","KOR",6,"5156B","3.9","4.0","3.5","3.5","4.5","4.0","4.5","4.0","46.80","6","421.60","5","102.40"," men's 3m springboard","semifinal a"
"6","MEARS Christopher","GBR",1,"407C","3.4","5.0","4.0","4.0","5.0","5.0","5.0","4.5","49.30","6","49.30","6","40.80"," men's 3m springboard","semifinal a"
"6","MEARS Christopher","GBR",2,"307C","3.5","8.0","8.0","8.0","8.0","8.0","8.0","8.0","84.00","3","133.30","6","43.50"," men's 3m springboard","semifinal a"
"6","MEARS Christopher","GBR",3,"5154B","3.4","5.5","5.5","6.5","5.0","5.5","5.0","5.0","54.40","6","187.70","6","77.90"," men's 3m springboard","semifinal a"
"6","MEARS Christopher","GBR",4,"205B","3.0","8.0","8.0","8.5","8.0","8.0","8.0","8.0","72.00","5","259.70","6","96.90"," men's 3m springboard","semifinal a"
"6","MEARS Christopher","GBR",5,"5156B","3.9","4.0","4.5","4.0","4.5","4.5","4.5","4.0","50.70","6","310.40","6","111.00"," men's 3m springboard","semifinal a"
"6","MEARS Christopher","GBR",6,"109C","3.8","4.0","4.5","4.0","5.0","4.0","5.0","5.0","51.30","5","361.70","6","162.30"," men's 3m springboard","semifinal a"
"1","SHI Tingmao","CHN",1,"405B","3.0","7.5","8.0","7.5","7.0","7.5","8.0","8.0","69.00","1","69.00","1","","women's 3m springboard","semifinal a"
"1","SHI Tingmao","CHN",2,"205B","3.0","8.0","8.5","8.0","8.5","8.0","8.5","9.0","75.00","1","144.00","1","","women's 3m springboard","semifinal a"
"1","SHI Tingmao","CHN",3,"305B","3.0","8.5","9.0","9.0","8.5","8.0","8.5","8.0","76.50","1","220.50","1","","women's 3m springboard","semifinal a"
"1","SHI Tingmao","CHN",4,"107B","3.1","8.0","8.0","8.5","8.5","8.5","8.0","8.5","77.50","1","298.00","1","","women's 3m springboard","semifinal a"
"1","SHI Tingmao","CHN",5,"5152B","3.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","72.00","2","370.00","1","","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",1,"205B","3.0","7.5","7.0","7.0","7.5","8.0","7.5","8.0","67.50","2","67.50","2","1.50","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",2,"305B","3.0","9.0","8.0","8.0","7.5","7.0","7.0","7.5","69.00","2","136.50","2","7.50","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",3,"405B","3.0","7.5","7.5","8.0","7.5","6.5","7.5","7.5","67.50","3","204.00","2","16.50","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",4,"107B","3.1","7.5","7.5","7.5","7.5","7.0","8.0","7.0","69.75","3","273.75","2","24.25","women's 3m springboard","semifinal a"
"2","KEENEY Maddison","AUS",5,"5154B","3.4","8.0","8.0","8.0","8.5","7.5","8.0","8.0","81.60","1","355.35","2","14.65","women's 3m springboard","semifinal a"
"3","NG Yan Yee","MAS",1,"405B","3.0","7.5","7.0","7.5","7.0","7.0","7.5","7.5","66.00","3","66.00","3","3.00","women's 3m springboard","semifinal a"
"3","NG Yan Yee","MAS",2,"205B","3.0","6.0","5.5","7.5","7.0","6.5","7.0","6.5","60.00","3","126.00","3","18.00","women's 3m springboard","semifinal a"
"3","NG Yan Yee","MAS",3,"305B","3.0","5.5","6.5","6.5","5.5","6.5","5.5","5.5","52.50","5","178.50","4","42.00","women's 3m springboard","semifinal a"
"3","NG Yan Yee","MAS",4,"107B","3.1","6.0","6.0","7.0","6.0","6.0","6.5","7.0","57.35","5","235.85","4","62.15","women's 3m springboard","semifinal a"
"3","NG Yan Yee","MAS",5,"5152B","3.0","6.5","7.0","7.5","6.5","7.0","7.0","7.0","63.00","3","298.85","3","71.15","women's 3m springboard","semifinal a"
"4","NEDOBIGA Anastasiia","UKR",1,"405B","3.0","8.0","7.0","7.0","7.0","7.0","7.5","7.0","63.00","4","63.00","4","6.00","women's 3m springboard","semifinal a"
"4","NEDOBIGA Anastasiia","UKR",2,"107B","3.1","4.5","4.0","5.0","3.5","5.0","5.5","5.0","44.95","4","107.95","4","36.05","women's 3m springboard","semifinal a"
"4","NEDOBIGA Anastasiia","UKR",3,"305B","3.0","8.0","8.0","9.0","9.0","8.5","8.0","8.5","75.00","2","182.95","3","37.55","women's 3m springboard","semifinal a"
"4","NEDOBIGA Anastasiia","UKR",4,"205B","3.0","6.0","7.0","6.5","7.0","6.5","6.0","6.5","58.50","4","241.45","3","56.55","women's 3m springboard","semifinal a"
"4","NEDOBIGA Anastasiia","UKR",5,"5152B","3.0","6.0","6.5","6.0","6.5","6.0","6.5","7.0","57.00","4","298.45","4","71.55","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",1,"405B","3.0","6.0","5.5","6.0","6.0","6.5","6.5","6.5","55.50","5","55.50","5","13.50","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",2,"107B","3.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","5","55.50","5","88.50","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",3,"205B","3.0","6.5","6.5","7.5","7.0","7.0","7.0","6.5","61.50","4","117.00","5","103.50","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",4,"305B","3.0","8.5","8.0","8.5","8.0","8.0","8.0","7.5","72.00","2","189.00","5","109.00","women's 3m springboard","semifinal a"
"5","QIN Esther","AUS",5,"5152B","3.0","6.0","5.5","6.5","6.5","5.5","5.5","6.0","52.50","5","241.50","5","128.50","women's 3m springboard","semifinal a"
"1","CHEN Aisen","CHN",1,"307C","3.4","9.0","8.5","8.0","8.5","8.0","9.0","9.5","88.40","1","88.40","1",""," men's 10m platform","semifinal a"
"1","CHEN Aisen","CHN",2,"407B","3.5","8.0","7.0","8.0","8.0","7.5","7.5","7.5","80.50","4","168.90","2","3.90"," men's 10m platform","semifinal a"
"1","CHEN Aisen","CHN",3,"6245D","3.6","7.0","8.0","7.5","8.0","8.5","8.0","7.5","84.60","3","253.50","2","4.35"," men's 10m platform","semifinal a"
"1","CHEN Aisen","CHN",4,"207B","3.6","6.0","6.5","5.5","7.5","6.5","5.0","6.0","66.60","2","320.10","2","39.50"," men's 10m platform","semifinal a"
"1","CHEN Aisen","CHN",5,"109C","3.7","8.5","8.5","7.5","8.5","8.0","8.0","8.5","92.50","1","412.60","2","6.50"," men's 10m platform","semifinal a"
"1","CHEN Aisen","CHN",6,"5255B","3.6","9.0","9.0","9.0","9.0","9.0","8.0","9.0","97.20","1","509.80","1",""," men's 10m platform","semifinal a"
"2","DALEY Thomas","GBR",1,"407C","3.2","8.0","8.0","8.0","8.5","7.5","8.0","8.0","76.80","4","76.80","4","11.60"," men's 10m platform","semifinal a"
"2","DALEY Thomas","GBR",2,"5172B","3.6","8.5","8.5","9.0","9.0","8.5","8.5","8.5","91.80","1","168.60","3","4.20"," men's 10m platform","semifinal a"
"2","DALEY Thomas","GBR",3,"626B","3.5","8.5","9.0","8.5","9.0","8.0","8.5","8.0","89.25","1","257.85","1",""," men's 10m platform","semifinal a"
"2","DALEY Thomas","GBR",4,"109C","3.7","9.5","9.5","9.0","9.0","9.5","9.0","9.0","101.75","1","359.60","1",""," men's 10m platform","semifinal a"
"2","DALEY Thomas","GBR",5,"307C","3.4","5.0","6.5","5.5","6.5","6.5","5.5","5.5","59.50","3","419.10","1",""," men's 10m platform","semifinal a"
"2","DALEY Thomas","GBR",6,"207B","3.6","8.5","8.0","8.0","8.0","8.0","8.0","8.0","86.40","4","505.50","2","4.30"," men's 10m platform","semifinal a"
"3","BEDGGOOD Domonic","AUS",1,"407C","3.2","9.0","9.0","9.0","9.0","9.0","8.5","8.0","86.40","2","86.40","2","2.00"," men's 10m platform","semifinal a"
"3","BEDGGOOD Domonic","AUS",2,"6245D","3.6","8.0","8.0","8.5","8.0","8.5","8.0","8.0","86.40","=2","172.80","1",""," men's 10m platform","semifinal a"
"3","BEDGGOOD Domonic","AUS",3,"109C","3.7","7.0","7.0","6.5","7.0","7.0","6.5","7.0","77.70","4","250.50","3","7.35"," men's 10m platform","semifinal a"
"3","BEDGGOOD Domonic","AUS",4,"307C","3.4","5.5","6.0","6.0","7.0","6.5","6.0","6.0","61.20","4","311.70","3","47.90"," men's 10m platform","semifinal a"
"3","BEDGGOOD Domonic","AUS",5,"207B","3.6","5.0","5.0","5.5","6.0","5.0","5.5","5.0","55.80","4","367.50","3","51.60"," men's 10m platform","semifinal a"
"3","BEDGGOOD Domonic","AUS",6,"5255B","3.6","7.5","8.0","7.0","8.0","8.0","7.0","7.5","82.80","5","450.30","3","59.50"," men's 10m platform","semifinal a"
"4","GARCIA Ivan","SMF",1,"307C","3.4","3.0","4.0","4.0","4.0","4.5","3.0","3.5","39.10","5","39.10","5","49.30"," men's 10m platform","semifinal a"
"4","GARCIA Ivan","SMF",2,"6245D","3.6","7.5","8.0","8.0","8.5","8.5","7.5","8.0","86.40","=2","125.50","5","47.30"," men's 10m platform","semifinal a"
"4","GARCIA Ivan","SMF",3,"109C","3.7","8.0","8.0","7.5","8.5","8.0","8.0","8.0","88.80","2","214.30","4","43.55"," men's 10m platform","semifinal a"
"4","GARCIA Ivan","SMF",4,"207B","3.6","5.0","4.5","5.5","4.5","4.5","5.5","4.5","50.40","5","264.70","5","94.90"," men's 10m platform","semifinal a"
"4","GARCIA Ivan","SMF",5,"409C","4.1","5.0","6.0","5.5","6.0","7.5","6.0","6.5","73.80","2","338.50","4","80.60"," men's 10m platform","semifinal a"
"4","GARCIA Ivan","SMF",6,"5156B","3.8","8.0","7.5","8.0","8.0","7.5","7.5","7.5","87.40","3","425.90","4","83.90"," men's 10m platform","semifinal a"
"5","MINIBAEV Victor","RUS",1,"407C","3.2","8.5","8.0","8.5","8.5","7.5","7.5","8.5","80.00","3","80.00","3","8.40"," men's 10m platform","semifinal a"
"5","MINIBAEV Victor","RUS",2,"109C","3.7","6.5","7.0","7.0","7.0","7.5","7.0","7.0","77.70","5","157.70","4","15.10"," men's 10m platform","semifinal a"
"5","MINIBAEV Victor","RUS",3,"307C","3.4","4.5","5.0","4.5","4.5","4.5","4.0","4.5","45.90","5","203.60","5","54.25"," men's 10m platform","semifinal a"
