"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round","year","competition"
1,"CAO Yuan","CHN",1,"407C",3.4,8.5,8,8.5,8,8.5,8,8.5,"85.00","1",85,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",2,"5154B",3.4,9,8.5,8.5,8.5,8.5,8,8.5,"86.70","1",171.7,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",3,"307C",3.5,8.5,9,8.5,8.5,9,8.5,8.5,"89.25","1",260.95,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",4,"207C",3.6,7.5,8.5,8,8,8,8,8,"86.40","1",347.35,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",5,"5337D",3.5,8.5,8.5,8.5,8,8,8.5,8,"87.50","2",434.85,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"CAO Yuan","CHN",6,"109C",3.8,8.5,8.5,8.5,8,7.5,8,8,"93.10","1",527.95,"1",NA," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",1,"205B",3,8,8,7.5,7.5,8.5,7.5,7.5,"69.00","3",69,"3",16," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",2,"307C",3.5,8.5,8,8,8.5,8,8.5,8,"85.75","2",154.75,"3",16.95," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",3,"5355B",3.7,8,8,8,8.5,8,8.5,8,"88.80","2",243.55,"2",17.4," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",4,"407C",3.4,8,8,7.5,8,8,7.5,8,"81.60","3",325.15,"2",22.2," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",5,"109C",3.8,8.5,8.5,8,9,8.5,8.5,9,"96.90","1",422.05,"2",12.8," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HAUSDING Patrick","GER",6,"5154B",3.4,8,8,8,8,8,8.5,8.5,"81.60","2",503.65,"2",24.3," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",1,"407C",3.4,8,8,7.5,8,8.5,8,8,"81.60","2",81.6,"2",3.4," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",2,"5353B",3.3,7.5,8,7,7.5,7,7.5,7.5,"74.25","3",155.85,"2",15.85," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",3,"307C",3.5,7.5,7,7.5,7,7.5,7,6.5,"75.25","3",231.1,"3",29.85," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",4,"109C",3.8,7.5,7.5,7.5,8,7,7,7,"83.60","2",314.7,"3",32.65," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",5,"205B",3,8,8.5,8,7.5,7.5,8,8.5,"72.00","4",386.7,"3",48.15," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KVASHA Illya","UKR",6,"5154B",3.4,7.5,7,7,7.5,7.5,7.5,7,"74.80","4",461.5,"3",66.45," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",1,"405B",3,7,7.5,7.5,7.5,7.5,7.5,7.5,"67.50","4",67.5,"4",17.5," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",2,"107B",3.1,7.5,7,8,7.5,7.5,7,7.5,"69.75","4",137.25,"4",34.45," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",3,"5154B",3.4,6,6.5,6.5,6.5,6.5,6.5,6.5,"66.30","4",203.55,"4",57.4," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",4,"205B",3,6.5,6.5,7,6.5,7,6.5,6.5,"58.50","4",262.05,"4",85.3," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",5,"307C",3.5,7,6.5,7,7,7,7,7,"73.50","3",335.55,"4",99.3," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"GAGNE Philippe","CAN",6,"5337D",3.5,7.5,7.5,7.5,7.5,8,8,7.5,"78.75","3",414.3,"4",113.65," men's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",1,"405B",3,8.5,8.5,8.5,7.5,8,8,8,"73.50","1",73.5,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",2,"205B",3,8,8,8,8,8.5,8,8,"72.00","1",145.5,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",3,"305B",3,8.5,8.5,9,8.5,9,8.5,8.5,"76.50","1",222,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",4,"107B",3.1,8,8,8,8,8,8.5,8,"74.40","1",296.4,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"HE Zi","CHN",5,"5152B",3,8,8,8,8,8.5,8,8.5,"72.00","1",368.4,"1",NA,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",1,"405B",3,6,6.5,6,7,7,6.5,6.5,"58.50","2",58.5,"2",15,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",2,"107B",3.1,4,4.5,5,5.5,5.5,4.5,4,"43.40","2",101.9,"2",43.6,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",3,"205B",3,7.5,7.5,7,7.5,6.5,6,6,"63.00","=2",164.9,"2",57.1,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",4,"305B",3,5.5,5.5,5.5,6,6,5.5,5,"49.50","4",214.4,"2",82,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
2,"HERNANDEZ Dolores","MEX",5,"5152B",3,7.5,7,7.5,7,7,6.5,7.5,"64.50","3",278.9,"2",89.5,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KEENEY Maddison","AUS",1,"205B",3,6.5,6.5,6.5,6,7,6,6,"57.00","3",57,"3",16.5,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KEENEY Maddison","AUS",2,"305B",3,2,1,1.5,2.5,1.5,2,2,"16.50","4",73.5,"4",72,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KEENEY Maddison","AUS",3,"405B",3,7.5,7,7,6.5,7,7.5,7,"63.00","=2",136.5,"3",85.5,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KEENEY Maddison","AUS",4,"107B",3.1,6.5,6.5,7,7,7,6.5,6.5,"62.00","2",198.5,"3",97.9,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
3,"KEENEY Maddison","AUS",5,"5152B",3,7.5,7,7.5,8,8,7,8,"69.00","2",267.5,"3",100.9,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"CHEONG Jun Hoong","MAS",1,"405B",3,4.5,5.5,6,4.5,5,4.5,4.5,"42.00","4",42,"4",31.5,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"CHEONG Jun Hoong","MAS",2,"107C",2.8,4.5,4,4,4.5,3.5,4.5,4,"35.00","3",77,"3",68.5,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"CHEONG Jun Hoong","MAS",3,"205B",3,4.5,4.5,5,5,4.5,5.5,4.5,"42.00","4",119,"4",103,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"CHEONG Jun Hoong","MAS",4,"305B",3,6,6.5,6,7,6,7,6,"55.50","3",174.5,"4",121.9,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
4,"CHEONG Jun Hoong","MAS",5,"5335D",2.9,6.5,7,6.5,7.5,6.5,8,6.5,"58.00","4",232.5,"4",135.9,"women's 3m springboard","semifinal a","2015","World_Series_Beijing"
1,"QIU Bo","CHN",1,"407B",3.5,7.5,8,8,7.5,8,8.5,8,"84.00","1",84,"1",NA," men's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"QIU Bo","CHN",2,"5156B",3.8,8,8.5,8.5,8.5,9,8,8.5,"96.90","1",180.9,"1",NA," men's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"QIU Bo","CHN",3,"626B",3.5,8.5,9.5,9.5,9.5,9.5,9,9.5,"99.75","1",280.65,"1",NA," men's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"QIU Bo","CHN",4,"307C",3.4,8.5,8.5,8.5,8.5,8,8,8.5,"86.70","3",367.35,"1",NA," men's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"QIU Bo","CHN",5,"207B",3.6,10,9.5,9.5,9,9.5,9.5,9.5,"102.60","1",469.95,"1",NA," men's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"QIU Bo","CHN",6,"109C",3.7,8.5,9,9,8.5,8,8.5,8.5,"94.35","2",564.3,"1",NA," men's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"BOUDIA David","USA",1,"407C",3.2,8.5,8,8.5,8.5,8.5,8.5,8.5,"81.60","=2",81.6,"=2",2.4," men's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"BOUDIA David","USA",2,"6245D",3.6,8,7.5,7.5,7.5,8,8,8,"84.60","2",166.2,"2",14.7," men's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"BOUDIA David","USA",3,"307C",3.4,8.5,8.5,9,8.5,9.5,9,9,"90.10","2",256.3,"2",24.35," men's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"BOUDIA David","USA",4,"109C",3.7,9,8,8,8,8,8.5,8.5,"90.65","2",346.95,"2",20.4," men's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"BOUDIA David","USA",5,"207B",3.6,9,9.5,9,9.5,10,8.5,10,"100.80","2",447.75,"2",22.2," men's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"BOUDIA David","USA",6,"5255B",3.6,8.5,8,8,9,8.5,8.5,8.5,"91.80","=3",539.55,"2",24.75," men's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"KLEIN Sascha","GER",1,"407C",3.2,8.5,8.5,8.5,8,9,8.5,9,"81.60","=2",81.6,"=2",2.4," men's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"KLEIN Sascha","GER",2,"109C",3.7,7.5,6,6,7,7,7,7,"77.70","3",159.3,"3",21.6," men's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"KLEIN Sascha","GER",3,"626B",3.5,6.5,7.5,7,7,7.5,7.5,7.5,"77.00","4",236.3,"3",44.35," men's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"KLEIN Sascha","GER",4,"207B",3.6,8.5,9,9,10,9.5,8.5,9,"97.20","1",333.5,"3",33.85," men's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"KLEIN Sascha","GER",5,"307C",3.4,8,7,8,8,8,7.5,8,"81.60","=4",415.1,"3",54.85," men's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"KLEIN Sascha","GER",6,"5255B",3.6,8.5,8.5,8.5,8.5,9.5,8.5,8.5,"91.80","=3",506.9,"3",57.4," men's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"DALEY Thomas","GBR",1,"626B",3.5,6.5,6.5,6.5,5.5,5.5,5.5,6,"63.00","5",63,"5",21," men's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"DALEY Thomas","GBR",2,"5172B",3.6,5,5,5,4.5,5,6.5,4.5,"54.00","4",117,"5",63.9," men's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"DALEY Thomas","GBR",3,"407C",3.2,8.5,9,9,8.5,8.5,8.5,8.5,"81.60","3",198.6,"4",82.05," men's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"DALEY Thomas","GBR",4,"109C",3.7,5,5,4.5,4.5,5.5,6,4.5,"53.65","5",252.25,"5",115.1," men's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"DALEY Thomas","GBR",5,"207B",3.6,9,8,9,8.5,9,9,9.5,"97.20","3",349.45,"4",120.5," men's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"DALEY Thomas","GBR",6,"307C",3.4,9.5,9.5,9.5,9,9.5,9.5,9.5,"96.90","1",446.35,"4",117.95," men's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"GAGNE Philippe","CAN",1,"107B",3,8,7.5,8.5,9,8,7.5,8.5,"73.50","4",73.5,"4",10.5," men's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"GAGNE Philippe","CAN",2,"207C",3.3,5,5.5,5.5,5,5,6,5,"51.15","5",124.65,"4",56.25," men's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"GAGNE Philippe","CAN",3,"6243D",3.2,7,7,7.5,7,7,7,7,"67.20","5",191.85,"5",88.8," men's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"GAGNE Philippe","CAN",4,"307C",3.4,6.5,6.5,7,6,7,7,6,"68.00","4",259.85,"4",107.5," men's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"GAGNE Philippe","CAN",5,"5253B",3.2,8.5,8.5,8,8,8.5,8.5,8.5,"81.60","=4",341.45,"5",128.5," men's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"GAGNE Philippe","CAN",6,"407C",3.2,8.5,8.5,8.5,9,8.5,8.5,8,"81.60","5",423.05,"5",141.25," men's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"BENFEITO Meaghan","CAN",1,"5253B",3.2,8,8,7.5,7.5,7,8,8,"75.20","1",75.2,"1",NA,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"BENFEITO Meaghan","CAN",2,"107B",3,7.5,8.5,7.5,7.5,6.5,7.5,7.5,"67.50","3",142.7,"1",NA,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"BENFEITO Meaghan","CAN",3,"626C",3.3,7.5,8,8,7.5,6.5,8,9,"77.55","1",220.25,"1",NA,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"BENFEITO Meaghan","CAN",4,"207C",3.3,7,8,6.5,6.5,7,7,7,"69.30","=1",289.55,"1",NA,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"BENFEITO Meaghan","CAN",5,"407C",3.2,7,8,7.5,7.5,7.5,8,8,"73.60","=3",363.15,"1",NA,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"CHEN Ruolin","CHN",1,"107B",3,8.5,7.5,7.5,7.5,8,8.5,7.5,"69.00","2",69,"2",6.2,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"CHEN Ruolin","CHN",2,"407C",3.2,8,8,7.5,7,8,7.5,7.5,"73.60","1",142.6,"2",0.1,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"CHEN Ruolin","CHN",3,"6243D",3.2,8.5,8,8.5,8,8,7,7.5,"76.80","2",219.4,"2",0.85,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"CHEN Ruolin","CHN",4,"207C",3.3,7,7,6.5,6,6.5,6.5,6.5,"64.35","4",283.75,"2",5.8,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
2,"CHEN Ruolin","CHN",5,"5253B",3.2,8.5,8,8.5,8,8.5,8,7,"78.40","1",362.15,"2",1,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"FILION Roseline","CAN",1,"405B",2.8,8,8.5,8,7.5,8,8.5,7.5,"67.20","3",67.2,"3",8,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"FILION Roseline","CAN",2,"207C",3.3,6.5,7,7,7,6.5,7,6.5,"67.65","2",134.85,"3",7.85,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"FILION Roseline","CAN",3,"107B",3,8,8,7.5,7.5,7.5,7.5,7.5,"67.50","5",202.35,"3",17.9,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"FILION Roseline","CAN",4,"626C",3.3,7,7.5,7,6.5,7,7,6.5,"69.30","=1",271.65,"3",17.9,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
3,"FILION Roseline","CAN",5,"5253B",3.2,8,8,7.5,7.5,7.5,8,7.5,"73.60","=3",345.25,"3",17.9,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"PROKOPCHUK Yulia","UKR",1,"107B",3,5,5,4.5,4.5,4.5,4,4.5,"40.50","6",40.5,"6",34.7,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"PROKOPCHUK Yulia","UKR",2,"407C",3.2,6.5,6.5,6,6.5,6.5,5.5,6,"60.80","5",101.3,"6",41.4,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"PROKOPCHUK Yulia","UKR",3,"205B",2.9,8,8,8,8,7,8,8.5,"69.60","4",170.9,"6",49.35,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"PROKOPCHUK Yulia","UKR",4,"626C",3.3,6.5,8,7,7,7,7,7,"69.30","=1",240.2,"5",49.35,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
4,"PROKOPCHUK Yulia","UKR",5,"5253B",3.2,6.5,7.5,8,8,7.5,7.5,8,"73.60","=3",313.8,"4",49.35,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"OROZCO Alejandra","MEX",1,"107B",3,7.5,7,6.5,6.5,7.5,7,6.5,"61.50","5",61.5,"5",13.7,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"OROZCO Alejandra","MEX",2,"407C",3.2,6.5,7.5,6.5,6,7,6,6.5,"62.40","4",123.9,"4",18.8,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"OROZCO Alejandra","MEX",3,"6243D",3.2,8,7,7.5,8,7.5,7.5,8,"73.60","3",197.5,"4",22.75,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"OROZCO Alejandra","MEX",4,"5253B",3.2,6,6.5,5,5.5,6,4.5,5.5,"54.40","5",251.9,"4",37.65,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
5,"OROZCO Alejandra","MEX",5,"207C",3.3,6,4.5,5,6,6,5.5,6,"57.75","6",309.65,"5",53.5,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
6,"WU Melissa","AUS",1,"107B",3,7.5,6.5,7.5,8,7.5,7,7,"66.00","4",66,"4",9.2,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
6,"WU Melissa","AUS",2,"6243D",3.2,7.5,7.5,7,7,8,7,6.5,"*49.60","6",115.6,"5",27.1,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
6,"WU Melissa","AUS",3,"407C",3.2,6,7.5,5.5,6,7,6,5.5,"57.60","6",173.2,"5",47.05,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
6,"WU Melissa","AUS",4,"305C",2.8,4,5.5,4,4,4.5,4,4,"33.60","6",206.8,"6",82.75,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
6,"WU Melissa","AUS",5,"5253B",3.2,8,8,8,8,8,8,7.5,"76.80","2",283.6,"6",79.55,"women's 10m platform","semifinal a","2015","World_Series_Beijing"
1,"HE Chong","CHN",1,"5154B",3.4,8.5,8,8.5,8.5,8.5,8,8.5,"86.70","1",86.7,"1",NA," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"HE Chong","CHN",2,"407C",3.4,8,8,8,8,8.5,8,8.5,"81.60","2",168.3,"1",NA," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"HE Chong","CHN",3,"307C",3.5,9,8.5,8.5,8.5,8.5,8.5,8.5,"89.25","2",257.55,"1",NA," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"HE Chong","CHN",4,"207C",3.6,8,8,8,8.5,8,8,8,"86.40","1",343.95,"1",NA," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"HE Chong","CHN",5,"109C",3.8,7,7,7,5.5,6.5,6.5,6,"76.00","3",419.95,"1",NA," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"HE Chong","CHN",6,"5156B",3.9,7,7.5,7.5,6.5,6.5,6,7,"79.95","3",499.9,"1",NA," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"LAUGHER Jack","GBR",1,"5154B",3.4,8,8,8,8.5,8,8,8.5,"81.60","2",81.6,"2",5.1," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"LAUGHER Jack","GBR",2,"307C",3.5,8.5,8,8,8.5,8.5,7.5,8,"85.75","1",167.35,"2",0.95," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"LAUGHER Jack","GBR",3,"407C",3.4,8.5,8,8,8,8,8,8,"81.60","4",248.95,"2",8.6," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"LAUGHER Jack","GBR",4,"5156B",3.9,6.5,6.5,6.5,6.5,6,6.5,5.5,"76.05","3",325,"2",18.95," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"LAUGHER Jack","GBR",5,"109C",3.8,7.5,7.5,7.5,8,7,8,7.5,"85.50","1",410.5,"2",9.45," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"LAUGHER Jack","GBR",6,"207C",3.6,7.5,7,7,7,7,7.5,7.5,"77.40","4",487.9,"2",12," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"CASTILLO Yahel","MEX",1,"205B",3,7.5,7.5,7,7.5,8,7,7,"66.00","4",66,"4",20.7," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"CASTILLO Yahel","MEX",2,"407C",3.4,8,8.5,7.5,7.5,8,7.5,7.5,"78.20","3",144.2,"3",24.1," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"CASTILLO Yahel","MEX",3,"109C",3.8,8,8.5,8,8.5,8,8,8,"91.20","1",235.4,"3",22.15," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"CASTILLO Yahel","MEX",4,"307C",3.5,5.5,5,4.5,6.5,4.5,5.5,6,"56.00","4",291.4,"3",52.55," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"CASTILLO Yahel","MEX",5,"5154B",3.4,8,8,8,8,8,8,8,"81.60","2",373,"3",46.95," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"CASTILLO Yahel","MEX",6,"5156B",3.9,7.5,7.5,8,8,7.5,8,8,"91.65","1",464.65,"3",35.25," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"ZAKHAROV Ilia","RUS",1,"407C",3.4,8,7.5,7.5,7.5,8,8,8,"79.90","3",79.9,"3",6.8," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"ZAKHAROV Ilia","RUS",2,"207C",3.6,4,4,4,4,4,4,3.5,"43.20","4",123.1,"4",45.2," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"ZAKHAROV Ilia","RUS",3,"307C",3.5,8,8,7.5,8,7.5,8.5,8.5,"84.00","3",207.1,"4",50.45," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"ZAKHAROV Ilia","RUS",4,"5154B",3.4,7.5,7.5,7.5,7,7.5,8,7.5,"76.50","2",283.6,"4",60.35," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"ZAKHAROV Ilia","RUS",5,"5156B",3.9,6.5,6,6,5.5,5.5,6.5,5,"68.25","4",351.85,"4",68.1," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"ZAKHAROV Ilia","RUS",6,"109C",3.8,8,8.5,7.5,7.5,7.5,7.5,7,"85.50","2",437.35,"4",62.55," men's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"SHI Tingmao","CHN",1,"405B",3,8,8.5,8.5,8.5,8,8.5,8,"75.00","=1",75,"=1",NA,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"SHI Tingmao","CHN",2,"205B",3,8,8.5,9,8.5,8.5,8.5,9,"76.50","1",151.5,"1",NA,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"SHI Tingmao","CHN",3,"305B",3,8,8.5,8,8,7.5,8,8,"72.00","2",223.5,"1",NA,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"SHI Tingmao","CHN",4,"107B",3.1,7.5,8,7.5,8,8,8.5,8.5,"74.40","1",297.9,"1",NA,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
1,"SHI Tingmao","CHN",5,"5152B",3,8.5,8.5,8.5,8,8,8,8,"73.50","1",371.4,"1",NA,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"WARE Pamela","CAN",1,"205B",3,7,7.5,7,7.5,7.5,6.5,7,"64.50","5",64.5,"5",10.5,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"WARE Pamela","CAN",2,"107B",3.1,8,7,7.5,8,7.5,7,7.5,"69.75","=2",134.25,"4",17.25,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"WARE Pamela","CAN",3,"405B",3,6,6.5,6,6.5,6.5,6.5,7,"58.50","5",192.75,"5",30.75,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"WARE Pamela","CAN",4,"305B",3,7.5,7.5,7.5,7,8,7.5,7.5,"67.50","2",260.25,"3",37.65,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
2,"WARE Pamela","CAN",5,"5152B",3,8,8,8,8,8,8,8,"72.00","2",332.25,"2",39.15,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"ABEL Jennifer","CAN",1,"405B",3,8.5,8,8.5,8,8,8.5,8.5,"75.00","=1",75,"=1",NA,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"ABEL Jennifer","CAN",2,"107B",3.1,7,7,7,8,8,8,7.5,"69.75","=2",144.75,"2",6.75,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"ABEL Jennifer","CAN",3,"5154B",3.4,7.5,7.5,7,8,8,7,7,"74.80","1",219.55,"2",3.95,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"ABEL Jennifer","CAN",4,"305B",3,4,4,4.5,4,4.5,4.5,4,"37.50","5",257.05,"4",40.85,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
3,"ABEL Jennifer","CAN",5,"205B",3,7,7,6,7,7.5,7.5,7,"63.00","=3",320.05,"3",51.35,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"GALLANTREE Rebecca","GBR",1,"5152B",3,7,7.5,7.5,7,7.5,6.5,7.5,"66.00","4",66,"4",9,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"GALLANTREE Rebecca","GBR",2,"305B",3,7.5,7.5,7.5,8,7,7.5,7.5,"67.50","4",133.5,"5",18,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"GALLANTREE Rebecca","GBR",3,"107B",3.1,6,6.5,6,7,6.5,6.5,6.5,"60.45","4",193.95,"4",29.55,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"GALLANTREE Rebecca","GBR",4,"405C",2.7,7.5,7.5,7,7,7.5,7.5,7.5,"60.75","4",254.7,"5",43.2,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
4,"GALLANTREE Rebecca","GBR",5,"205B",3,7,7,7,7,6.5,7.5,7.5,"63.00","=3",317.7,"4",53.7,"women's 3m springboard","semifinal b","2015","World_Series_Beijing"
