"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","XIE Siyi","CHN",1,"5154B","3.4","7.5","7.5","8.0","8.0","8.0","8.5","8.0","81.60","1","81.60","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",2,"5353B","3.3","8.0","8.0","8.0","8.0","8.0","8.0","7.5","79.20","1","160.80","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",3,"207C","3.6","8.0","8.0","8.0","8.0","8.0","8.5","8.0","86.40","1","247.20","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",4,"307C","3.5","8.0","8.0","7.5","8.5","8.0","8.0","8.0","84.00","1","331.20","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",5,"407B","3.7","8.0","7.5","7.0","7.5","7.5","8.0","7.5","83.25","2","414.45","1",""," men's 3m springboard","semifinal a"
"1","XIE Siyi","CHN",6,"109C","3.8","5.5","5.0","5.5","5.5","5.0","5.5","5.0","60.80","3","475.25","1",""," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",1,"205B","3.0","7.5","7.5","7.5","7.5","7.5","8.0","7.5","67.50","=4","67.50","=4","14.10"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",2,"107B","3.1","8.0","8.0","7.5","7.5","7.5","8.0","8.0","72.85","4","140.35","6","20.45"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",3,"5154B","3.4","7.5","7.5","8.0","8.0","7.0","7.5","7.0","76.50","3","216.85","3","30.35"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",4,"407C","3.4","7.5","8.0","7.5","7.5","7.5","7.5","7.5","76.50","3","293.35","4","37.85"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",5,"307C","3.5","8.5","8.5","8.5","8.5","9.0","8.5","8.0","89.25","1","382.60","2","31.85"," men's 3m springboard","semifinal a"
"2","GAGNE Philippe","CAN",6,"5337D","3.5","8.0","8.5","8.0","8.0","8.0","8.0","7.5","84.00","1","466.60","2","8.65"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",1,"205B","3.0","7.5","8.0","7.5","7.5","7.5","7.5","7.5","67.50","=4","67.50","=4","14.10"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",2,"107B","3.1","8.0","8.0","7.5","8.0","8.0","7.5","8.0","74.40","3","141.90","5","18.90"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",3,"307C","3.5","7.0","7.0","6.5","7.5","7.0","7.0","7.0","73.50","4","215.40","5","31.80"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",4,"5337D","3.5","7.5","7.5","7.5","8.5","8.0","7.5","7.5","78.75","2","294.15","3","37.05"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",5,"405B","3.0","7.5","7.5","7.5","8.0","8.0","7.0","7.5","67.50","5","361.65","4","52.80"," men's 3m springboard","semifinal a"
"3","IMBEAU-DULAC Francois","CAN",6,"5154B","3.4","7.5","7.5","7.0","7.5","7.5","7.5","7.0","76.50","2","438.15","3","37.10"," men's 3m springboard","semifinal a"
"4","OCAMPO MARROQUIN Jahir","MEX",1,"5154B","3.4","7.5","7.5","7.0","7.5","8.0","8.0","8.0","78.20","=2","78.20","=2","3.40"," men's 3m springboard","semifinal a"
"4","OCAMPO MARROQUIN Jahir","MEX",2,"407C","3.4","7.0","7.0","7.0","6.0","7.5","7.0","6.5","71.40","=5","149.60","=2","11.20"," men's 3m springboard","semifinal a"
"4","OCAMPO MARROQUIN Jahir","MEX",3,"205B","3.0","7.5","7.5","7.5","7.5","7.0","7.0","7.0","66.00","6","215.60","4","31.60"," men's 3m springboard","semifinal a"
"4","OCAMPO MARROQUIN Jahir","MEX",4,"307C","3.5","7.5","7.0","6.5","7.0","7.0","7.0","6.0","73.50","5","289.10","5","42.10"," men's 3m springboard","semifinal a"
"4","OCAMPO MARROQUIN Jahir","MEX",5,"5353B","3.3","7.5","7.5","7.5","8.0","7.5","7.5","7.5","74.25","3","363.35","3","51.10"," men's 3m springboard","semifinal a"
"4","OCAMPO MARROQUIN Jahir","MEX",6,"109C","3.8","4.5","3.5","3.5","3.5","3.5","4.0","4.0","41.80","=5","405.15","4","70.10"," men's 3m springboard","semifinal a"
"5","JOHNSON Steele","USA",1,"205B","3.0","8.0","8.0","8.0","7.0","7.5","7.0","7.0","67.50","=4","67.50","=4","14.10"," men's 3m springboard","semifinal a"
"5","JOHNSON Steele","USA",2,"5154B","3.4","7.5","7.0","7.5","7.0","8.0","7.5","7.5","76.50","2","144.00","4","16.80"," men's 3m springboard","semifinal a"
"5","JOHNSON Steele","USA",3,"307C","3.5","7.0","6.5","6.5","6.0","6.5","7.0","6.0","68.25","5","212.25","6","34.95"," men's 3m springboard","semifinal a"
"5","JOHNSON Steele","USA",4,"407C","3.4","7.0","7.0","7.0","7.0","7.0","6.5","6.0","71.40","6","283.65","6","47.55"," men's 3m springboard","semifinal a"
"5","JOHNSON Steele","USA",5,"5337D","3.5","6.5","7.0","7.0","6.5","6.5","7.0","7.0","71.75","4","355.40","5","59.05"," men's 3m springboard","semifinal a"
"5","JOHNSON Steele","USA",6,"109C","3.8","4.0","4.0","3.5","3.5","3.5","4.0","3.5","41.80","=5","397.20","5","78.05"," men's 3m springboard","semifinal a"
"6","GOODFELLOW Daniel","GBR",1,"5154B","3.4","8.0","8.0","7.5","7.5","7.5","8.0","7.5","78.20","=2","78.20","=2","3.40"," men's 3m springboard","semifinal a"
"6","GOODFELLOW Daniel","GBR",2,"407C","3.4","7.5","7.0","7.0","6.5","7.5","7.0","6.5","71.40","=5","149.60","=2","11.20"," men's 3m springboard","semifinal a"
"6","GOODFELLOW Daniel","GBR",3,"307C","3.5","6.0","7.0","7.5","7.5","7.5","7.0","7.5","77.00","2","226.60","2","20.60"," men's 3m springboard","semifinal a"
"6","GOODFELLOW Daniel","GBR",4,"107B","3.1","8.0","8.5","8.0","7.5","8.0","8.0","8.0","74.40","4","301.00","2","30.20"," men's 3m springboard","semifinal a"
"6","GOODFELLOW Daniel","GBR",5,"207C","3.6","4.0","4.0","4.0","4.0","3.5","4.0","4.0","43.20","6","344.20","6","70.25"," men's 3m springboard","semifinal a"
