"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","CAO Yuan","CHN",1,"407C","3.4","7.5","8.0","8.0","8.0","8.0","7.5","8.5","81.60","1","81.60","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",2,"5337D","3.5","7.0","7.0","6.5","7.5","7.0","7.5","7.5","75.25","3","156.85","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",3,"307C","3.5","8.5","8.0","9.0","8.5","8.0","8.5","8.5","89.25","1","246.10","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",4,"207C","3.6","7.5","8.0","7.5","7.5","7.0","7.5","7.5","81.00","1","327.10","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",5,"5156B","3.9","7.5","7.5","7.5","7.0","7.5","7.0","7.5","87.75","1","414.85","1",""," men's 3m springboard","semifinal a"
"1","CAO Yuan","CHN",6,"109C","3.8","6.5","7.0","7.5","7.5","6.5","7.0","7.5","81.70","2","496.55","1",""," men's 3m springboard","semifinal a"
"2","HASLAM Ross","GBR",1,"5154B","3.4","7.0","7.0","5.5","7.0","7.5","7.5","7.0","71.40","4","71.40","4","10.20"," men's 3m springboard","semifinal a"
"2","HASLAM Ross","GBR",2,"407C","3.4","7.5","7.5","7.5","7.5","7.5","7.5","7.0","76.50","=1","147.90","3","8.95"," men's 3m springboard","semifinal a"
"2","HASLAM Ross","GBR",3,"109C","3.8","6.5","7.0","7.0","6.5","6.0","7.0","7.0","77.90","=2","225.80","2","20.30"," men's 3m springboard","semifinal a"
"2","HASLAM Ross","GBR",4,"205B","3.0","7.0","8.0","7.5","7.5","7.0","7.5","7.5","67.50","5","293.30","2","33.80"," men's 3m springboard","semifinal a"
"2","HASLAM Ross","GBR",5,"307C","3.5","7.0","6.5","7.0","7.0","6.5","6.5","7.0","71.75","3","365.05","2","49.80"," men's 3m springboard","semifinal a"
"2","HASLAM Ross","GBR",6,"5337D","3.5","7.0","7.5","7.5","6.5","7.5","7.0","7.5","77.00","4","442.05","2","54.50"," men's 3m springboard","semifinal a"
