"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"56","BOTIROV Doston","UZB",1,"107B","3.1","3.5","3.0","3.0","3.0","3.5","2.5","3.5","29.45","56","29.45","56","53.85"," men's 3m springboard","preliminary"
"56","BOTIROV Doston","UZB",2,"205B","3.0","5.5","5.5","6.0","4.5","5.5","5.5","5.0","49.50","49","78.95","=55","84.25"," men's 3m springboard","preliminary"
"56","BOTIROV Doston","UZB",3,"305B","3.0","1.0","2.0","1.5","1.0","1.0","0.5","1.0","9.00","56","87.95","56","139.60"," men's 3m springboard","preliminary"
"56","BOTIROV Doston","UZB",4,"405B","3.0","5.5","5.0","5.5","4.5","5.0","5.5","6.0","48.00","42","135.95","55","172.40"," men's 3m springboard","preliminary"
"56","BOTIROV Doston","UZB",5,"5152B","3.0","7.0","6.0","7.0","6.5","6.0","6.0","6.0","55.50","=37","191.45","56","190.10"," men's 3m springboard","preliminary"
"56","BOTIROV Doston","UZB",6,"105B","2.4","6.0","6.5","7.5","6.5","6.5","6.5","6.0","46.80","53","238.25","56","226.60"," men's 3m springboard","preliminary"
"53","PEREZ Elizabeth","VEN",1,"405C","2.7","6.5","6.0","6.5","6.5","6.0","6.5","6.5","52.65","=28","52.65","=28","22.35","women's 3m springboard","preliminary"
"53","PEREZ Elizabeth","VEN",2,"107C","2.8","4.0","4.0","3.5","4.0","4.0","3.5","3.5","32.20","47","84.85","45","62.15","women's 3m springboard","preliminary"
"53","PEREZ Elizabeth","VEN",3,"205C","2.8","4.0","4.5","4.0","4.0","4.0","5.0","5.0","35.00","=50","119.85","48","93.85","women's 3m springboard","preliminary"
"53","PEREZ Elizabeth","VEN",4,"305C","2.8","2.0","2.5","3.5","3.0","2.0","3.5","2.0","21.00","53","140.85","51","140.50","women's 3m springboard","preliminary"
"53","PEREZ Elizabeth","VEN",5,"5152B","3.0","3.0","2.5","3.0","3.0","3.5","2.5","2.5","25.50","54","166.35","53","182.30","women's 3m springboard","preliminary"
"54","SERB Anca","ROU",1,"205B","3.0","3.5","3.0","3.5","3.0","3.0","3.0","3.0","27.00","54","27.00","54","48.00","women's 3m springboard","preliminary"
"54","SERB Anca","ROU",2,"305B","3.0","2.0","3.0","3.0","3.0","2.0","2.5","2.0","22.50","52","49.50","54","97.50","women's 3m springboard","preliminary"
"54","SERB Anca","ROU",3,"405C","2.7","6.0","6.0","6.0","6.0","6.5","6.5","6.5","49.95","=35","99.45","54","114.25","women's 3m springboard","preliminary"
"54","SERB Anca","ROU",4,"107C","2.8","1.5","2.0","2.5","2.5","1.5","2.5","2.0","18.20","54","117.65","54","163.70","women's 3m springboard","preliminary"
"54","SERB Anca","ROU",5,"5235D","2.8","4.5","4.5","5.0","6.0","6.0","5.5","6.5","46.20","40","163.85","54","184.80","women's 3m springboard","preliminary"
"34","DELL UOMO Francesco","ITA",1,"5152B","2.9","7.5","8.0","8.0","8.0","8.0","8.0","8.0","69.60","14","69.60","14","22.20"," men's 10m platform","preliminary"
"34","DELL UOMO Francesco","ITA",2,"107B","3.0","8.0","8.0","8.0","7.5","8.0","8.0","8.0","72.00","12","141.60","11","44.70"," men's 10m platform","preliminary"
"34","DELL UOMO Francesco","ITA",3,"305C","2.8","7.5","8.0","8.0","7.5","8.0","7.5","7.5","64.40","15","206.00","10","80.05"," men's 10m platform","preliminary"
"34","DELL UOMO Francesco","ITA",4,"407C","3.2","2.5","2.5","3.5","3.5","2.5","2.5","3.5","27.20","36","233.20","25","150.05"," men's 10m platform","preliminary"
"34","DELL UOMO Francesco","ITA",5,"207C","3.3","2.5","3.0","2.5","3.5","3.5","3.5","2.5","29.70","35","262.90","33","198.25"," men's 10m platform","preliminary"
"34","DELL UOMO Francesco","ITA",6,"6142D","3.1","4.0","5.0","4.0","4.5","6.0","5.5","5.0","44.95","32","307.85","34","227.30"," men's 10m platform","preliminary"
"35","NAZARPOUR Shahnam","IRI",1,"107B","3.0","6.5","6.0","6.5","5.5","6.5","6.5","5.5","57.00","28","57.00","28","34.80"," men's 10m platform","preliminary"
"35","NAZARPOUR Shahnam","IRI",2,"5152B","2.9","6.0","6.5","5.5","5.0","5.0","5.5","5.5","47.85","34","104.85","34","81.45"," men's 10m platform","preliminary"
"35","NAZARPOUR Shahnam","IRI",3,"407C","3.2","5.5","4.0","4.0","6.5","5.5","5.5","5.5","52.80","=28","157.65","34","128.40"," men's 10m platform","preliminary"
"35","NAZARPOUR Shahnam","IRI",4,"207C","3.3","4.0","5.0","4.5","4.5","5.0","4.0","5.0","46.20","=28","203.85","33","179.40"," men's 10m platform","preliminary"
"35","NAZARPOUR Shahnam","IRI",5,"626C","3.3","7.0","7.5","6.5","6.0","7.0","7.0","7.0","69.30","17","273.15","30","188.00"," men's 10m platform","preliminary"
"35","NAZARPOUR Shahnam","IRI",6,"307C","3.4","3.0","2.0","2.0","3.0","2.5","2.0","2.5","23.80","36","296.95","35","238.20"," men's 10m platform","preliminary"
"36","CHEW Yiwei","MAS",1,"107B","3.0","8.0","8.0","7.5","8.0","8.5","7.5","8.0","72.00","=10","72.00","=10","19.80"," men's 10m platform","preliminary"
"36","CHEW Yiwei","MAS",2,"407C","3.2","5.0","6.0","6.0","5.5","5.5","5.0","5.5","52.80","31","124.80","26","61.50"," men's 10m platform","preliminary"
"36","CHEW Yiwei","MAS",3,"6243D","3.2","4.0","4.0","4.5","3.5","4.5","4.0","4.5","40.00","33","164.80","31","121.25"," men's 10m platform","preliminary"
"36","CHEW Yiwei","MAS",4,"207C","3.3","4.5","5.0","4.0","5.5","4.5","4.5","4.5","44.55","30","209.35","31","173.90"," men's 10m platform","preliminary"
"36","CHEW Yiwei","MAS",5,"307C","3.4","1.0","1.5","2.0","2.0","2.0","2.0","2.0","20.40","36","229.75","36","231.40"," men's 10m platform","preliminary"
"36","CHEW Yiwei","MAS",6,"5253B","3.2","6.0","6.5","6.0","6.0","7.0","6.5","6.5","60.80","26","290.55","36","244.60"," men's 10m platform","preliminary"
"12","CASTRO Cesar","BRA",1,"5152B","3.0","8.0","7.5","6.5","7.5","7.0","8.0","7.5","67.50","=15","67.50","=15","15.80"," men's 3m springboard","semifinal"
"12","CASTRO Cesar","BRA",2,"5154B","3.4","7.0","7.5","7.5","7.0","7.0","7.0","7.0","71.40","=11","138.90","14","22.20"," men's 3m springboard","semifinal"
"12","CASTRO Cesar","BRA",3,"405B","3.0","7.5","7.5","7.5","7.5","7.0","8.0","7.5","67.50","15","206.40","15","44.60"," men's 3m springboard","semifinal"
"12","CASTRO Cesar","BRA",4,"205B","3.0","7.5","7.5","7.0","7.5","7.5","7.5","7.5","67.50","15","273.90","15","56.70"," men's 3m springboard","semifinal"
"12","CASTRO Cesar","BRA",5,"305B","3.0","8.0","8.0","8.0","8.5","8.0","8.0","8.0","72.00","9","345.90","13","65.70"," men's 3m springboard","semifinal"
"12","CASTRO Cesar","BRA",6,"107B","3.1","8.5","8.0","8.5","8.0","8.5","8.5","8.0","77.50","9","423.40","12","85.10"," men's 3m springboard","semifinal"
"13","NEL Grant","AUS",1,"5154B","3.4","7.0","7.5","7.5","7.0","6.5","7.0","7.0","71.40","11","71.40","11","11.90"," men's 3m springboard","semifinal"
"13","NEL Grant","AUS",2,"407C","3.4","6.5","8.0","7.0","7.0","7.5","7.5","7.5","74.80","6","146.20","=8","14.90"," men's 3m springboard","semifinal"
"13","NEL Grant","AUS",3,"5337D","3.5","6.0","5.5","6.5","7.0","7.5","7.0","6.5","70.00","12","216.20","8","34.80"," men's 3m springboard","semifinal"
"13","NEL Grant","AUS",4,"205B","3.0","8.0","7.5","7.0","7.5","8.0","8.0","7.0","69.00","14","285.20","10","45.40"," men's 3m springboard","semifinal"
"13","NEL Grant","AUS",5,"307C","3.5","4.0","4.5","4.0","4.0","4.0","5.0","4.5","43.75","18","328.95","15","82.65"," men's 3m springboard","semifinal"
"13","NEL Grant","AUS",6,"109C","3.8","7.5","7.5","7.0","6.5","7.5","7.0","7.5","83.60","=4","412.55","13","95.95"," men's 3m springboard","semifinal"
"14","WOODWARD Freddy","GBR",1,"405B","3.0","7.5","7.5","7.5","8.0","8.0","8.0","7.5","69.00","14","69.00","14","14.30"," men's 3m springboard","semifinal"
"14","WOODWARD Freddy","GBR",2,"107B","3.1","8.0","8.0","8.0","7.5","7.5","7.5","8.0","72.85","=9","141.85","12","19.25"," men's 3m springboard","semifinal"
"14","WOODWARD Freddy","GBR",3,"5154B","3.4","7.0","7.5","7.5","7.5","7.5","7.5","7.0","76.50","=6","218.35","7","32.65"," men's 3m springboard","semifinal"
"14","WOODWARD Freddy","GBR",4,"205B","3.0","7.0","6.5","7.0","7.5","7.0","7.0","7.0","63.00","=16","281.35","11","49.25"," men's 3m springboard","semifinal"
"14","WOODWARD Freddy","GBR",5,"307C","3.5","6.5","6.5","6.0","5.5","5.5","6.5","6.0","64.75","11","346.10","12","65.50"," men's 3m springboard","semifinal"
"14","WOODWARD Freddy","GBR",6,"407C","3.4","6.0","6.5","6.5","6.5","6.0","6.5","7.0","66.30","=15","412.40","14","96.10"," men's 3m springboard","semifinal"
"15","DINGLEY Oliver James","IRL",1,"405B","3.0","7.5","8.5","8.0","7.5","8.0","8.0","8.0","72.00","=8","72.00","=8","11.30"," men's 3m springboard","semifinal"
"15","DINGLEY Oliver James","IRL",2,"107B","3.1","8.0","8.0","8.0","8.0","8.0","7.5","8.0","74.40","=7","146.40","7","14.70"," men's 3m springboard","semifinal"
"15","DINGLEY Oliver James","IRL",3,"5154B","3.4","6.0","7.0","6.0","6.5","6.5","6.5","6.0","64.60","16","211.00","13","40.00"," men's 3m springboard","semifinal"
"15","DINGLEY Oliver James","IRL",4,"205B","3.0","6.0","7.0","6.5","7.0","7.5","7.5","7.0","63.00","=16","274.00","14","56.60"," men's 3m springboard","semifinal"
"15","DINGLEY Oliver James","IRL",5,"305B","3.0","4.0","6.0","5.0","6.0","6.0","6.0","4.5","51.00","16","325.00","16","86.60"," men's 3m springboard","semifinal"
"15","DINGLEY Oliver James","IRL",6,"5253B","3.4","6.0","6.5","6.5","6.5","7.0","6.5","6.5","66.30","=15","391.30","15","117.20"," men's 3m springboard","semifinal"
"16","SAKAI Sho","JPN",1,"405B","3.0","7.0","7.5","7.0","7.5","7.5","7.5","7.5","67.50","=15","67.50","=15","15.80"," men's 3m springboard","semifinal"
"16","SAKAI Sho","JPN",2,"305B","3.0","6.0","7.0","6.5","6.5","6.0","6.5","5.5","57.00","17","124.50","17","36.60"," men's 3m springboard","semifinal"
"16","SAKAI Sho","JPN",3,"5154B","3.4","7.5","8.0","7.0","7.5","7.5","7.5","8.0","76.50","=6","201.00","17","50.00"," men's 3m springboard","semifinal"
"16","SAKAI Sho","JPN",4,"107B","3.1","7.0","7.5","7.5","7.5","7.5","7.5","7.5","69.75","13","270.75","16","59.85"," men's 3m springboard","semifinal"
"16","SAKAI Sho","JPN",5,"205B","3.0","7.0","6.5","7.0","7.0","7.5","7.0","6.5","63.00","=13","333.75","14","77.85"," men's 3m springboard","semifinal"
"16","SAKAI Sho","JPN",6,"307C","3.5","3.5","4.0","4.0","4.5","4.5","4.5","5.0","45.50","18","379.25","16","129.25"," men's 3m springboard","semifinal"
"17","CHIARABINI Andrea","ITA",1,"205B","3.0","8.5","8.5","8.0","8.0","8.5","8.5","8.5","76.50","6","76.50","6","6.80"," men's 3m springboard","semifinal"
"17","CHIARABINI Andrea","ITA",2,"407C","3.4","7.0","6.0","7.0","7.0","6.0","6.5","7.0","69.70","13","146.20","=8","14.90"," men's 3m springboard","semifinal"
"17","CHIARABINI Andrea","ITA",3,"109C","3.8","7.0","7.0","7.0","7.0","6.5","6.5","7.0","79.80","4","226.00","5","25.00"," men's 3m springboard","semifinal"
"17","CHIARABINI Andrea","ITA",4,"307C","3.5","0.0","1.0","0.5","0.5","0.0","0.0","0.5","3.50","18","229.50","18","101.10"," men's 3m springboard","semifinal"
"17","CHIARABINI Andrea","ITA",5,"5353B","3.3","7.0","7.0","6.5","7.0","7.0","6.5","6.5","67.65","10","297.15","17","114.45"," men's 3m springboard","semifinal"
"17","CHIARABINI Andrea","ITA",6,"5253B","3.4","7.0","6.5","6.0","7.0","7.0","7.0","7.0","71.40","14","368.55","17","139.95"," men's 3m springboard","semifinal"
"18","CONNOR James","AUS",1,"107B","3.1","5.5","5.5","5.5","6.0","5.0","6.0","5.5","51.15","18","51.15","18","32.15"," men's 3m springboard","semifinal"
"18","CONNOR James","AUS",2,"205B","3.0","4.5","4.5","5.0","4.5","4.5","4.5","4.5","40.50","18","91.65","18","69.45"," men's 3m springboard","semifinal"
"18","CONNOR James","AUS",3,"5154B","3.4","7.0","7.0","7.5","7.0","7.5","7.0","7.0","71.40","11","163.05","18","87.95"," men's 3m springboard","semifinal"
"18","CONNOR James","AUS",4,"5337D","3.5","7.0","7.0","7.5","7.0","7.5","7.0","7.5","75.25","7","238.30","17","92.30"," men's 3m springboard","semifinal"
"18","CONNOR James","AUS",5,"407C","3.4","4.0","4.5","4.5","4.5","4.5","4.0","4.5","45.90","17","284.20","18","127.40"," men's 3m springboard","semifinal"
"18","CONNOR James","AUS",6,"307C","3.5","8.0","8.0","7.0","7.0","8.0","8.0","8.0","84.00","3","368.20","18","140.30"," men's 3m springboard","semifinal"
"14","HERNANDEZ TORRES Melany M.","SMF",1,"405B","3.0","7.5","7.5","7.0","7.0","7.0","7.0","7.5","64.50","=6","64.50","=6","9.00","women's 3m springboard","semifinal"
"14","HERNANDEZ TORRES Melany M.","SMF",2,"107B","3.1","5.5","5.0","5.5","5.0","5.5","6.0","4.5","49.60","18","114.10","16","38.90","women's 3m springboard","semifinal"
"14","HERNANDEZ TORRES Melany M.","SMF",3,"305B","3.0","5.5","7.0","5.5","6.0","6.5","5.5","6.0","52.50","15","166.60","15","64.40","women's 3m springboard","semifinal"
"14","HERNANDEZ TORRES Melany M.","SMF",4,"205B","3.0","6.5","7.0","7.0","6.5","7.0","7.0","5.5","61.50","9","228.10","15","81.95","women's 3m springboard","semifinal"
"14","HERNANDEZ TORRES Melany M.","SMF",5,"5152B","3.0","7.5","6.5","7.5","7.0","7.5","7.0","6.5","64.50","=9","292.60","14","84.95","women's 3m springboard","semifinal"
"15","VELOSO Juliana","BRA",1,"5152B","3.0","6.0","6.5","6.5","6.0","6.5","6.0","6.5","57.00","16","57.00","16","16.50","women's 3m springboard","semifinal"
"15","VELOSO Juliana","BRA",2,"405B","3.0","7.5","7.5","6.5","6.5","7.0","6.5","6.5","60.00","14","117.00","15","36.00","women's 3m springboard","semifinal"
"15","VELOSO Juliana","BRA",3,"107B","3.1","6.5","6.5","6.0","6.0","5.5","5.5","5.5","54.25","14","171.25","13","59.75","women's 3m springboard","semifinal"
"15","VELOSO Juliana","BRA",4,"205B","3.0","6.5","7.0","7.0","7.0","6.5","7.0","7.0","63.00","8","234.25","12","75.80","women's 3m springboard","semifinal"
"15","VELOSO Juliana","BRA",5,"305B","3.0","5.5","7.0","6.0","7.0","6.5","5.5","6.5","57.00","17","291.25","15","86.30","women's 3m springboard","semifinal"
"16","WARE Pamela","CAN",1,"205B","3.0","5.5","5.0","5.5","5.0","5.0","5.5","5.0","46.50","18","46.50","18","27.00","women's 3m springboard","semifinal"
"16","WARE Pamela","CAN",2,"107B","3.1","6.5","6.0","6.0","6.0","6.0","6.5","5.5","55.80","16","102.30","18","50.70","women's 3m springboard","semifinal"
"16","WARE Pamela","CAN",3,"405B","3.0","6.0","6.5","6.5","6.5","7.0","6.5","7.0","58.50","=11","160.80","16","70.20","women's 3m springboard","semifinal"
"16","WARE Pamela","CAN",4,"305B","3.0","5.5","6.0","4.5","6.0","6.0","5.5","5.5","51.00","15","211.80","16","98.25","women's 3m springboard","semifinal"
"16","WARE Pamela","CAN",5,"5154B","3.4","5.0","6.0","5.5","6.0","5.0","5.0","4.5","52.70","18","264.50","16","113.05","women's 3m springboard","semifinal"
"17","REID Grace","GBR",1,"405C","2.7","6.5","7.0","7.0","7.5","7.0","7.5","7.5","58.05","15","58.05","15","15.45","women's 3m springboard","semifinal"
"17","REID Grace","GBR",2,"107B","3.1","7.0","7.5","7.0","7.5","7.5","8.0","8.0","69.75","=6","127.80","8","25.20","women's 3m springboard","semifinal"
"17","REID Grace","GBR",3,"305B","3.0","3.0","2.5","3.0","3.0","3.5","3.0","3.5","27.00","18","154.80","17","76.20","women's 3m springboard","semifinal"
"17","REID Grace","GBR",4,"205B","3.0","4.5","5.0","5.0","4.5","5.0","5.0","5.5","45.00","17","199.80","17","110.25","women's 3m springboard","semifinal"
"17","REID Grace","GBR",5,"5152B","3.0","6.5","7.0","7.0","6.5","7.5","6.0","6.0","60.00","14","259.80","17","117.75","women's 3m springboard","semifinal"
"18","PUNZEL Tina","GER",1,"405B","3.0","6.5","6.0","6.0","6.0","6.5","6.0","6.5","55.50","17","55.50","17","18.00","women's 3m springboard","semifinal"
"18","PUNZEL Tina","GER",2,"107B","3.1","7.0","6.0","6.0","5.0","5.5","5.5","5.5","52.70","17","108.20","17","44.80","women's 3m springboard","semifinal"
"18","PUNZEL Tina","GER",3,"205B","3.0","4.0","4.0","4.0","4.0","4.5","4.0","5.0","36.00","17","144.20","18","86.80","women's 3m springboard","semifinal"
"18","PUNZEL Tina","GER",4,"305B","3.0","3.0","2.5","3.0","3.0","3.0","3.0","3.5","27.00","18","171.20","18","138.85","women's 3m springboard","semifinal"
"18","PUNZEL Tina","GER",5,"5152B","3.0","7.0","7.0","7.0","6.5","7.0","6.5","7.0","63.00","=12","234.20","18","143.35","women's 3m springboard","semifinal"
"12","KLEIN Sascha","GER",1,"407C","3.2","8.5","8.5","8.0","8.5","8.5","8.5","8.5","81.60","3","81.60","3","15.30"," men's 10m platform","semifinal"
"12","KLEIN Sascha","GER",2,"109C","3.7","5.5","5.0","5.5","5.5","5.0","5.0","4.5","57.35","16","138.95","12","55.95"," men's 10m platform","semifinal"
"12","KLEIN Sascha","GER",3,"626B","3.5","7.0","8.0","7.0","7.5","7.0","7.5","8.0","77.00","6","215.95","10","76.95"," men's 10m platform","semifinal"
"12","KLEIN Sascha","GER",4,"207B","3.6","7.5","6.5","7.5","7.5","7.0","8.0","8.0","81.00","6","296.95","8","89.55"," men's 10m platform","semifinal"
"12","KLEIN Sascha","GER",5,"307C","3.4","6.0","6.5","6.5","7.5","6.0","6.0","7.0","64.60","11","361.55","8","110.45"," men's 10m platform","semifinal"
"12","KLEIN Sascha","GER",6,"5255B","3.6","4.0","5.5","3.5","4.5","4.5","5.0","5.0","50.40","16","411.95","12","137.75"," men's 10m platform","semifinal"
"13","SANCHEZ SANCHEZ German Saul","SMF",1,"207C","3.3","7.0","7.0","7.5","8.0","8.0","8.0","7.5","75.90","7","75.90","7","21.00"," men's 10m platform","semifinal"
"13","SANCHEZ SANCHEZ German Saul","SMF",2,"109C","3.7","7.0","6.0","6.5","6.0","6.5","6.5","6.5","72.15","7","148.05","6","46.85"," men's 10m platform","semifinal"
"13","SANCHEZ SANCHEZ German Saul","SMF",3,"626C","3.3","8.0","8.0","8.0","8.5","8.0","9.0","8.0","79.20","=3","227.25","4","65.65"," men's 10m platform","semifinal"
"13","SANCHEZ SANCHEZ German Saul","SMF",4,"409C","4.1","3.0","3.0","3.0","4.0","3.5","4.0","3.0","38.95","17","266.20","14","120.30"," men's 10m platform","semifinal"
"13","SANCHEZ SANCHEZ German Saul","SMF",5,"307C","3.4","7.5","7.5","7.5","7.5","7.0","7.5","6.5","76.50","=7","342.70","13","129.30"," men's 10m platform","semifinal"
"13","SANCHEZ SANCHEZ German Saul","SMF",6,"5156B","3.8","5.5","5.5","5.0","7.0","6.0","6.5","5.0","64.60","=12","407.30","13","142.40"," men's 10m platform","semifinal"
"14","BARTHEL Timo","GER",1,"6245D","3.6","7.0","7.5","7.0","5.5","6.5","6.5","7.0","73.80","9","73.80","9","23.10"," men's 10m platform","semifinal"
