"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","ZAKHAROV Ilia","RUS",1,"407C","3.4","8.5","8.0","9.0","8.0","8.5","8.5","8.5","86.70","1","86.70","1",""," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",2,"207C","3.6","8.5","8.0","8.5","8.5","8.0","8.5","8.5","91.80","1","178.50","1",""," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",3,"307C","3.5","9.0","9.0","8.5","7.5","8.5","8.0","8.0","87.50","1","266.00","1",""," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",4,"5337D","3.5","6.5","6.5","6.5","6.0","6.0","6.5","6.5","68.25","3","334.25","1",""," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",5,"5154B","3.4","8.0","8.0","8.0","8.0","7.0","8.0","8.0","81.60","1","415.85","1",""," men's 3m springboard","semifinal a"
"1","ZAKHAROV Ilia","RUS",6,"109C","3.8","9.0","9.0","9.0","8.5","9.0","8.5","8.5","100.70","1","516.55","1",""," men's 3m springboard","semifinal a"
"2","WOO Haram","KOR",1,"5154B","3.4","8.0","7.5","7.0","7.5","7.5","7.0","7.0","74.80","3","74.80","3","11.90"," men's 3m springboard","semifinal a"
"2","WOO Haram","KOR",2,"407C","3.4","7.5","7.5","7.0","7.0","7.5","7.0","7.0","73.10","3","147.90","3","30.60"," men's 3m springboard","semifinal a"
"2","WOO Haram","KOR",3,"109C","3.8","7.5","7.5","7.5","7.0","7.5","7.5","7.0","85.50","2","233.40","3","32.60"," men's 3m springboard","semifinal a"
"2","WOO Haram","KOR",4,"307C","3.5","9.0","8.5","8.5","8.0","9.0","8.0","8.5","89.25","1","322.65","2","11.60"," men's 3m springboard","semifinal a"
"2","WOO Haram","KOR",5,"205B","3.0","7.5","7.5","7.5","7.0","7.5","7.5","7.5","67.50","4","390.15","2","25.70"," men's 3m springboard","semifinal a"
"2","WOO Haram","KOR",6,"5156B","3.9","7.0","6.5","6.5","7.0","4.0","6.5","6.5","76.05","4","466.20","2","50.35"," men's 3m springboard","semifinal a"
"3","DIEGO LOPEZ Rodrigo","MEX",1,"5154B","3.4","8.0","7.5","8.0","7.5","7.5","7.5","7.5","76.50","2","76.50","2","10.20"," men's 3m springboard","semifinal a"
"3","DIEGO LOPEZ Rodrigo","MEX",2,"407C","3.4","7.5","7.5","8.0","7.5","8.0","7.5","8.0","78.20","2","154.70","2","23.80"," men's 3m springboard","semifinal a"
"3","DIEGO LOPEZ Rodrigo","MEX",3,"307C","3.5","7.5","7.5","7.5","7.5","7.5","7.0","7.0","78.75","3","233.45","2","32.55"," men's 3m springboard","semifinal a"
"3","DIEGO LOPEZ Rodrigo","MEX",4,"205B","3.0","7.5","7.0","7.5","7.0","6.5","7.0","6.5","63.00","5","296.45","3","37.80"," men's 3m springboard","semifinal a"
"3","DIEGO LOPEZ Rodrigo","MEX",5,"109C","3.8","7.0","7.0","6.5","7.0","7.5","6.5","7.0","79.80","2","376.25","3","39.60"," men's 3m springboard","semifinal a"
"3","DIEGO LOPEZ Rodrigo","MEX",6,"5156B","3.9","7.0","7.0","6.5","6.5","7.5","7.0","7.5","81.90","2","458.15","3","58.40"," men's 3m springboard","semifinal a"
