"rank","name","dcountry","divenum","divecode","DD","J1","J2","J3","J4","J5","J6","J7","divepts","diverank","totalpts","overallrank","pointsbehind","event","round"
"1","PACHECO MARRUFO Rommel","MEX",1,"407C","3.4","8.0","7.5","8.0","8.0","8.0","8.0","7.5","81.60","=2","81.60","=2","6.80"," men's 3m springboard","semifinal a"
"1","PACHECO MARRUFO Rommel","MEX",2,"205B","3.0","8.0","7.5","8.0","8.0","8.0","8.0","8.5","72.00","3","153.60","2","18.80"," men's 3m springboard","semifinal a"
"1","PACHECO MARRUFO Rommel","MEX",3,"5154B","3.4","8.5","9.0","8.5","8.5","8.5","9.0","9.0","88.40","2","242.00","3","17.10"," men's 3m springboard","semifinal a"
"1","PACHECO MARRUFO Rommel","MEX",4,"5353B","3.3","8.0","8.5","8.0","8.0","8.5","8.5","8.0","80.85","3","322.85","3","37.65"," men's 3m springboard","semifinal a"
"1","PACHECO MARRUFO Rommel","MEX",5,"307C","3.5","9.0","9.0","9.0","9.0","9.5","9.0","9.0","94.50","1","417.35","2","3.95"," men's 3m springboard","semifinal a"
"1","PACHECO MARRUFO Rommel","MEX",6,"109C","3.8","9.0","9.0","8.5","9.0","9.0","9.0","9.0","102.60","1","519.95","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",1,"5154B","3.4","8.5","9.0","8.5","9.0","8.5","9.0","8.5","88.40","1","88.40","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",2,"307C","3.5","8.0","8.0","8.0","8.0","7.5","7.5","8.0","84.00","1","172.40","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",3,"407C","3.4","8.5","8.5","8.0","8.0","9.0","8.5","8.5","86.70","3","259.10","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",4,"5156B","3.9","9.0","8.5","8.5","9.0","8.5","9.0","8.5","101.40","1","360.50","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",5,"109C","3.8","5.5","5.0","5.0","5.5","5.5","4.5","5.5","60.80","5","421.30","1",""," men's 3m springboard","semifinal a"
"2","LAUGHER Jack","GBR",6,"207C","3.6","8.0","8.0","8.0","8.0","8.5","8.0","8.0","86.40","3","507.70","2","12.25"," men's 3m springboard","semifinal a"
