"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",2,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",3,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",4,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",5,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",6,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
"women's 3m springboard","semifinal a",1,"ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","ALVARADO Ulises","HASSAN Mohamed","KOLIC Natasa","GOLOVAN Anatoliy","FEOKTISTOV Eduard"
"women's 3m springboard","semifinal a",2,"ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","ALVARADO Ulises","HASSAN Mohamed","KOLIC Natasa","GOLOVAN Anatoliy","FEOKTISTOV Eduard"
"women's 3m springboard","semifinal a",3,"ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","ALVARADO Ulises","HASSAN Mohamed","KOLIC Natasa","GOLOVAN Anatoliy","FEOKTISTOV Eduard"
"women's 3m springboard","semifinal a",4,"ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","ALVARADO Ulises","HASSAN Mohamed","KOLIC Natasa","GOLOVAN Anatoliy","FEOKTISTOV Eduard"
"women's 3m springboard","semifinal a",5,"ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","ALVARADO Ulises","HASSAN Mohamed","KOLIC Natasa","GOLOVAN Anatoliy","FEOKTISTOV Eduard"
" men's 10m platform","semifinal a",1,"GOLOVAN Anatoliy","FEOKTISTOV Eduard","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","KOLIC Natasa","SUCKHONG Min","HASSAN Mohamed"
" men's 10m platform","semifinal a",2,"GOLOVAN Anatoliy","FEOKTISTOV Eduard","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","KOLIC Natasa","SUCKHONG Min","HASSAN Mohamed"
" men's 10m platform","semifinal a",3,"GOLOVAN Anatoliy","FEOKTISTOV Eduard","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","KOLIC Natasa","SUCKHONG Min","HASSAN Mohamed"
" men's 10m platform","semifinal a",4,"GOLOVAN Anatoliy","FEOKTISTOV Eduard","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","KOLIC Natasa","SUCKHONG Min","HASSAN Mohamed"
" men's 10m platform","semifinal a",5,"GOLOVAN Anatoliy","FEOKTISTOV Eduard","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","KOLIC Natasa","SUCKHONG Min","HASSAN Mohamed"
" men's 10m platform","semifinal a",6,"GOLOVAN Anatoliy","FEOKTISTOV Eduard","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","KOLIC Natasa","SUCKHONG Min","HASSAN Mohamed"
"women's 10m platform","semifinal a",1,"GOLOVAN Anatoliy","HASSAN Mohamed","SUCKHONG Min","ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","KOLIC Natasa","FEOKTISTOV Eduard"
"women's 10m platform","semifinal a",2,"GOLOVAN Anatoliy","HASSAN Mohamed","SUCKHONG Min","ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","KOLIC Natasa","FEOKTISTOV Eduard"
"women's 10m platform","semifinal a",3,"GOLOVAN Anatoliy","HASSAN Mohamed","SUCKHONG Min","ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","KOLIC Natasa","FEOKTISTOV Eduard"
"women's 10m platform","semifinal a",4,"GOLOVAN Anatoliy","HASSAN Mohamed","SUCKHONG Min","ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","KOLIC Natasa","FEOKTISTOV Eduard"
"women's 10m platform","semifinal a",5,"GOLOVAN Anatoliy","HASSAN Mohamed","SUCKHONG Min","ROCHA CHAVEZ Sergio","RUIZ PEDREGUERA Rolando","KOLIC Natasa","FEOKTISTOV Eduard"
" men's 3m springboard","semifinal b",1,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal b",2,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal b",3,"KOLIC Natasa","SUCKHONG Min","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","HASSAN Mohamed","ROCHA CHAVEZ Sergio","GOLOVAN Anatoliy"
