"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal a",2,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal a",3,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal a",4,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal a",5,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal a",6,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
"women's 3m springboard","semifinal a",1,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal a",2,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal a",3,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal a",4,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal a",5,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
" men's 10m platform","semifinal a",1,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal a",2,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal a",3,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal a",4,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal a",5,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal a",6,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
"women's 10m platform","semifinal a",1,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal a",2,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal a",3,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal a",4,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal a",5,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
" men's 3m springboard","semifinal b",1,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal b",2,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal b",3,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal b",4,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal b",5,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
" men's 3m springboard","semifinal b",6,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William"
"women's 3m springboard","semifinal b",1,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal b",2,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal b",3,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal b",4,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
"women's 3m springboard","semifinal b",5,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco"
" men's 10m platform","semifinal b",1,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal b",2,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal b",3,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal b",4,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal b",5,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
" men's 10m platform","semifinal b",6,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio"
"women's 10m platform","semifinal b",1,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal b",2,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal b",3,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal b",4,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
"women's 10m platform","semifinal b",5,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel"
" men's 3m springboard","final",1,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco"
" men's 3m springboard","final",2,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco"
" men's 3m springboard","final",3,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco"
" men's 3m springboard","final",4,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco"
" men's 3m springboard","final",5,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco"
" men's 3m springboard","final",6,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco"
"women's 3m springboard","final",1,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel"
"women's 3m springboard","final",2,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel"
"women's 3m springboard","final",3,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel"
"women's 3m springboard","final",4,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel"
