"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene"
" men's 3m springboard","semifinal a",2,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene"
" men's 3m springboard","semifinal a",3,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene"
" men's 3m springboard","semifinal a",4,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene"
" men's 3m springboard","semifinal a",5,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene"
" men's 3m springboard","semifinal a",6,"YEOH Ken Nee","LEE William","RAO Lang","CALDERON Felix","KATANI Rikiko","FABER Marc","MORNEAU Helene"
"women's 3m springboard","semifinal a",1,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc"
"women's 3m springboard","semifinal a",2,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc"
"women's 3m springboard","semifinal a",3,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc"
"women's 3m springboard","semifinal a",4,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc"
"women's 3m springboard","semifinal a",5,"NOVOTNA Hana","WU Xiuren","YEOH Ken Nee","CALDERON Felix","MORNEAU Helene","KATANI Rikiko","FABER Marc"
" men's 10m platform","semifinal a",1,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc"
" men's 10m platform","semifinal a",2,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc"
" men's 10m platform","semifinal a",3,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc"
" men's 10m platform","semifinal a",4,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc"
" men's 10m platform","semifinal a",5,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc"
" men's 10m platform","semifinal a",6,"YEOH Ken Nee","WU Xiuren","MORNEAU Helene","NOVOTNA Hana","CALDERON Felix","LEE William","FABER Marc"
"women's 10m platform","semifinal a",1,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana"
"women's 10m platform","semifinal a",2,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana"
"women's 10m platform","semifinal a",3,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana"
"women's 10m platform","semifinal a",4,"RAO Lang","KATANI Rikiko","FABER Marc","YEOH Ken Nee","LEE William","MORNEAU Helene","NOVOTNA Hana"
