"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 3m springboard","semifinal b",3,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal b",4,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal b",5,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
" men's 3m springboard","semifinal b",6,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","PETERSON Gordon"
"women's 3m springboard","semifinal b",1,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal b",2,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal b",3,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal b",4,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
"women's 3m springboard","semifinal b",5,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","FRASER Lindsey"
" men's 10m platform","semifinal b",1,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal b",2,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal b",3,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal b",4,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal b",5,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
" men's 10m platform","semifinal b",6,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","PETERSON Gordon"
"women's 10m platform","semifinal b",1,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",2,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",3,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",4,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",5,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando"
" men's 3m springboard","final",1,"PETERSON Gordon","STABILE Jeff","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","FRASER Lindsey","ALVARADO Ulises","PIKTURNIENE Ale","LANG Rao"
" men's 3m springboard","final",2,"PETERSON Gordon","STABILE Jeff","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","FRASER Lindsey","ALVARADO Ulises","PIKTURNIENE Ale","LANG Rao"
" men's 3m springboard","final",3,"PETERSON Gordon","STABILE Jeff","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","FRASER Lindsey","ALVARADO Ulises","PIKTURNIENE Ale","LANG Rao"
" men's 3m springboard","final",4,"PETERSON Gordon","STABILE Jeff","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","FRASER Lindsey","ALVARADO Ulises","PIKTURNIENE Ale","LANG Rao"
" men's 3m springboard","final",5,"PETERSON Gordon","STABILE Jeff","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","FRASER Lindsey","ALVARADO Ulises","PIKTURNIENE Ale","LANG Rao"
" men's 3m springboard","final",6,"PETERSON Gordon","STABILE Jeff","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","FRASER Lindsey","ALVARADO Ulises","PIKTURNIENE Ale","LANG Rao"
"women's 3m springboard","final",1,"STABILE Jeff","BUSH Barb","FRASER Lindsey","LANG Rao","TOULOUDIS Nikolaos","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","PIKTURNIENE Ale"
"women's 3m springboard","final",2,"STABILE Jeff","BUSH Barb","FRASER Lindsey","LANG Rao","TOULOUDIS Nikolaos","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","PIKTURNIENE Ale"
"women's 3m springboard","final",3,"STABILE Jeff","BUSH Barb","FRASER Lindsey","LANG Rao","TOULOUDIS Nikolaos","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","PIKTURNIENE Ale"
"women's 3m springboard","final",4,"STABILE Jeff","BUSH Barb","FRASER Lindsey","LANG Rao","TOULOUDIS Nikolaos","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","PIKTURNIENE Ale"
"women's 3m springboard","final",5,"STABILE Jeff","BUSH Barb","FRASER Lindsey","LANG Rao","TOULOUDIS Nikolaos","ALVARADO Ulises","RUIZ PEDREGUERA Rolando","PIKTURNIENE Ale"
" men's 10m platform","final",1,"LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","TOULOUDIS Nikolaos","PETERSON Gordon","ALVARADO Ulises","BUSH Barb"
" men's 10m platform","final",2,"LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","TOULOUDIS Nikolaos","PETERSON Gordon","ALVARADO Ulises","BUSH Barb"
" men's 10m platform","final",3,"LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","TOULOUDIS Nikolaos","PETERSON Gordon","ALVARADO Ulises","BUSH Barb"
" men's 10m platform","final",4,"LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","TOULOUDIS Nikolaos","PETERSON Gordon","ALVARADO Ulises","BUSH Barb"
" men's 10m platform","final",5,"LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","TOULOUDIS Nikolaos","PETERSON Gordon","ALVARADO Ulises","BUSH Barb"
" men's 10m platform","final",6,"LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","TOULOUDIS Nikolaos","PETERSON Gordon","ALVARADO Ulises","BUSH Barb"
"women's 10m platform","final",1,"TOULOUDIS Nikolaos","FRASER Lindsey","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando","LANG Rao","STABILE Jeff","BUSH Barb","ALVARADO Ulises"
"women's 10m platform","final",2,"TOULOUDIS Nikolaos","FRASER Lindsey","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando","LANG Rao","STABILE Jeff","BUSH Barb","ALVARADO Ulises"
"women's 10m platform","final",3,"TOULOUDIS Nikolaos","FRASER Lindsey","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando","LANG Rao","STABILE Jeff","BUSH Barb","ALVARADO Ulises"
"women's 10m platform","final",4,"TOULOUDIS Nikolaos","FRASER Lindsey","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando","LANG Rao","STABILE Jeff","BUSH Barb","ALVARADO Ulises"
"women's 10m platform","final",5,"TOULOUDIS Nikolaos","FRASER Lindsey","PIKTURNIENE Ale","RUIZ PEDREGUERA Rolando","LANG Rao","STABILE Jeff","BUSH Barb","ALVARADO Ulises"
