"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
"women's 3m springboard","semifinal b",1,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal b",2,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal b",3,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal b",4,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
"women's 3m springboard","semifinal b",5,"PETERSON Gordon","BEKETOV Andrei","WU Xiuren","BROOKER Gilian","SZEKFFY Nora","TELLEFSEN Arne","YEOH Ken Nee"
" men's 10m platform","semifinal b",1,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal b",2,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal b",3,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal b",4,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal b",5,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
" men's 10m platform","semifinal b",6,"TELLEFSEN Arne","BEKETOV Andrei","ROCHA CHAVEZ Sergio","PETERSON Gordon","WU Xiuren","SZEKFFY Nora","FRASER Lindsey"
"women's 10m platform","semifinal b",1,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal b",2,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal b",3,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal b",4,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
"women's 10m platform","semifinal b",5,"WU Xiuren","ROCHA CHAVEZ Sergio","YEOH Ken Nee","FRASER Lindsey","SZEKFFY Nora","BROOKER Gilian","PETERSON Gordon"
" men's 3m springboard","final",1,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren"
" men's 3m springboard","final",2,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren"
" men's 3m springboard","final",3,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren"
" men's 3m springboard","final",4,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren"
" men's 3m springboard","final",5,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren"
" men's 3m springboard","final",6,"BEKETOV Andrei","BROOKER Gilian","YEOH Ken Nee","TELLEFSEN Arne","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren"
"women's 3m springboard","final",1,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian"
"women's 3m springboard","final",2,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian"
"women's 3m springboard","final",3,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian"
"women's 3m springboard","final",4,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian"
"women's 3m springboard","final",5,"YEOH Ken Nee","WU Xiuren","SZEKFFY Nora","TELLEFSEN Arne","PETERSON Gordon","BEKETOV Andrei","BROOKER Gilian"
" men's 10m platform","final",1,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne"
" men's 10m platform","final",2,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne"
" men's 10m platform","final",3,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne"
" men's 10m platform","final",4,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne"
" men's 10m platform","final",5,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne"
" men's 10m platform","final",6,"BEKETOV Andrei","ROCHA CHAVEZ Sergio","FRASER Lindsey","WU Xiuren","SZEKFFY Nora","PETERSON Gordon","TELLEFSEN Arne"
"women's 10m platform","final",1,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey"
"women's 10m platform","final",2,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey"
"women's 10m platform","final",3,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey"
"women's 10m platform","final",4,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey"
"women's 10m platform","final",5,"SZEKFFY Nora","PETERSON Gordon","ROCHA CHAVEZ Sergio","BROOKER Gilian","WU Xiuren","YEOH Ken Nee","FRASER Lindsey"
