"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal a",2,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal a",3,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal a",4,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal a",5,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal a",6,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
"women's 3m springboard","semifinal a",1,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal a",2,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal a",3,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal a",4,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal a",5,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
" men's 10m platform","semifinal a",1,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal a",2,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal a",3,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal a",4,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal a",5,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal a",6,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
"women's 10m platform","semifinal a",1,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal a",2,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal a",3,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal a",4,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal a",5,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
" men's 3m springboard","semifinal b",1,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal b",2,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal b",3,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal b",4,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal b",5,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
" men's 3m springboard","semifinal b",6,"KOLIC Natasa","HASSAN Mohamed","RAO Lang","RUIZ PEDREGUERA Rolando","BUSH Barb","KELEMEN VAN DE KONIJNENBURG Ildiko","BARBOSA Ana Virgina"
"women's 3m springboard","semifinal b",1,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal b",2,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal b",3,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal b",4,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
"women's 3m springboard","semifinal b",5,"HASSAN Mohamed","KELEMEN VAN DE KONIJNENBURG Ildiko","MORNEAU Helene","KOLIC Natasa","AVASILOAE Florin","POLAZZO Valerio","RUIZ PEDREGUERA Rolando"
" men's 10m platform","semifinal b",1,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal b",2,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal b",3,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal b",4,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal b",5,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
" men's 10m platform","semifinal b",6,"RAO Lang","HASSAN Mohamed","BARBOSA Ana Virgina","KOLIC Natasa","POLAZZO Valerio","AVASILOAE Florin","BUSH Barb"
"women's 10m platform","semifinal b",1,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",2,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",3,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",4,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
"women's 10m platform","semifinal b",5,"MORNEAU Helene","KELEMEN VAN DE KONIJNENBURG Ildiko","POLAZZO Valerio","BARBOSA Ana Virgina","AVASILOAE Florin","RAO Lang","RUIZ PEDREGUERA Rolando"
" men's 3m springboard","final",1,"BARBOSA Ana Virgina","RUIZ PEDREGUERA Rolando","KOLIC Natasa","RAO Lang","KELEMEN VAN DE KONIJNENBURG Ildiko","HASSAN Mohamed","MORNEAU Helene"
