"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
"women's 3m springboard","semifinal b",1,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",2,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",3,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",4,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
"women's 3m springboard","semifinal b",5,"AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia"
" men's 10m platform","semifinal b",1,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",2,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",3,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",4,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",5,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
" men's 10m platform","semifinal b",6,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian"
"women's 10m platform","semifinal b",1,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal b",2,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal b",3,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal b",4,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
"women's 10m platform","semifinal b",5,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie"
" men's 3m springboard","final",1,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo"
" men's 3m springboard","final",2,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo"
" men's 3m springboard","final",3,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo"
" men's 3m springboard","final",4,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo"
" men's 3m springboard","final",5,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo"
" men's 3m springboard","final",6,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo"
"women's 3m springboard","final",1,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon"
"women's 3m springboard","final",2,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon"
"women's 3m springboard","final",3,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon"
"women's 3m springboard","final",4,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon"
"women's 3m springboard","final",5,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon"
" men's 10m platform","final",1,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",2,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",3,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",4,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",5,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando"
" men's 10m platform","final",6,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando"
"women's 10m platform","final",1,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian"
"women's 10m platform","final",2,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian"
"women's 10m platform","final",3,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian"
"women's 10m platform","final",4,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian"
"women's 10m platform","final",5,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian"
