"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
"women's 3m springboard","semifinal b",1,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal b",2,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal b",3,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal b",4,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
"women's 3m springboard","semifinal b",5,"ZAMPIERI Marco","LEE William","GENG Tao","PEREZ CANASVERAS Angel Luis","CALDERON Felix","RIOS Cristina","MIN Suckhong"
" men's 10m platform","semifinal b",1,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",2,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",3,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",4,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",5,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",6,"RIOS Cristina","ZAMPIERI Marco","LEE William","GOLOVAN Anatoly","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos"
"women's 10m platform","semifinal b",1,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly"
"women's 10m platform","semifinal b",2,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly"
"women's 10m platform","semifinal b",3,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly"
"women's 10m platform","semifinal b",4,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly"
"women's 10m platform","semifinal b",5,"GENG Tao","LEE William","PEREZ CANASVERAS Angel Luis","TOULOUDIS Nikolaos","CALDERON Felix","RIOS Cristina","GOLOVAN Anatoly"
" men's 3m springboard","final",1,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao"
" men's 3m springboard","final",2,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao"
" men's 3m springboard","final",3,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao"
" men's 3m springboard","final",4,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao"
" men's 3m springboard","final",5,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao"
" men's 3m springboard","final",6,"CALDERON Felix","MIN Suckhong","PEREZ CANASVERAS Angel Luis","GOLOVAN Anatoly","TOULOUDIS Nikolaos","ZAMPIERI Marco","GENG Tao"
"women's 3m springboard","final",1,"MIN Suckhong","GENG Tao","CALDERON Felix","RIOS Cristina","ZAMPIERI Marco","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","final",2,"MIN Suckhong","GENG Tao","CALDERON Felix","RIOS Cristina","ZAMPIERI Marco","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","final",3,"MIN Suckhong","GENG Tao","CALDERON Felix","RIOS Cristina","ZAMPIERI Marco","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","final",4,"MIN Suckhong","GENG Tao","CALDERON Felix","RIOS Cristina","ZAMPIERI Marco","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","final",5,"MIN Suckhong","GENG Tao","CALDERON Felix","RIOS Cristina","ZAMPIERI Marco","LEE William","PEREZ CANASVERAS Angel Luis"
" men's 10m platform","final",1,"ZAMPIERI Marco","LEE William","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","GOLOVAN Anatoly","RIOS Cristina"
" men's 10m platform","final",2,"ZAMPIERI Marco","LEE William","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","GOLOVAN Anatoly","RIOS Cristina"
" men's 10m platform","final",3,"ZAMPIERI Marco","LEE William","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","GOLOVAN Anatoly","RIOS Cristina"
" men's 10m platform","final",4,"ZAMPIERI Marco","LEE William","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","GOLOVAN Anatoly","RIOS Cristina"
" men's 10m platform","final",5,"ZAMPIERI Marco","LEE William","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","GOLOVAN Anatoly","RIOS Cristina"
" men's 10m platform","final",6,"ZAMPIERI Marco","LEE William","MIN Suckhong","GENG Tao","TOULOUDIS Nikolaos","GOLOVAN Anatoly","RIOS Cristina"
"women's 10m platform","final",1,"CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","RIOS Cristina","GOLOVAN Anatoly","GENG Tao","TOULOUDIS Nikolaos"
"women's 10m platform","final",2,"CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","RIOS Cristina","GOLOVAN Anatoly","GENG Tao","TOULOUDIS Nikolaos"
"women's 10m platform","final",3,"CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","RIOS Cristina","GOLOVAN Anatoly","GENG Tao","TOULOUDIS Nikolaos"
"women's 10m platform","final",4,"CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","RIOS Cristina","GOLOVAN Anatoly","GENG Tao","TOULOUDIS Nikolaos"
"women's 10m platform","final",5,"CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","RIOS Cristina","GOLOVAN Anatoly","GENG Tao","TOULOUDIS Nikolaos"
