"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","year","competition"
" men's 10m platform","semifinal b",5,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian","2015","World_Series_Merida"
" men's 10m platform","semifinal b",6,"RUIZ PEDREGUERA Rolando","AHLERING Julie","BANUELOS Ricardo","BROOKER Gillian","PETERSON Gordon","RIOS Cristina","YU Jian","2015","World_Series_Merida"
"women's 10m platform","semifinal b",1,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie","2015","World_Series_Merida"
"women's 10m platform","semifinal b",2,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie","2015","World_Series_Merida"
"women's 10m platform","semifinal b",3,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie","2015","World_Series_Merida"
"women's 10m platform","semifinal b",4,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie","2015","World_Series_Merida"
"women's 10m platform","semifinal b",5,"AYALA MUNOZ Carlos","RUIZ PEDREGUERA Rolando","YU Jian","BROOKER Gillian","PETERSON Gordon","BARBOSA Ana Virginia","AHLERING Julie","2015","World_Series_Merida"
" men's 3m springboard","final",1,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo","2015","World_Series_Merida"
" men's 3m springboard","final",2,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo","2015","World_Series_Merida"
" men's 3m springboard","final",3,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo","2015","World_Series_Merida"
" men's 3m springboard","final",4,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo","2015","World_Series_Merida"
" men's 3m springboard","final",5,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo","2015","World_Series_Merida"
" men's 3m springboard","final",6,"YU Jian","AHLERING Julie","RUIZ PEDREGUERA Rolando","PETERSON Gordon","BARBOSA Ana Virginia","RIOS Cristina","BANUELOS Ricardo","2015","World_Series_Merida"
"women's 3m springboard","final",1,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon","2015","World_Series_Merida"
"women's 3m springboard","final",2,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon","2015","World_Series_Merida"
"women's 3m springboard","final",3,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon","2015","World_Series_Merida"
"women's 3m springboard","final",4,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon","2015","World_Series_Merida"
"women's 3m springboard","final",5,"BARBOSA Ana Virginia","BROOKER Gillian","RIOS Cristina","RUIZ PEDREGUERA Rolando","AYALA MUNOZ Carlos","YU Jian","PETERSON Gordon","2015","World_Series_Merida"
" men's 10m platform","final",1,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando","2015","World_Series_Merida"
" men's 10m platform","final",2,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando","2015","World_Series_Merida"
" men's 10m platform","final",3,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando","2015","World_Series_Merida"
" men's 10m platform","final",4,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando","2015","World_Series_Merida"
" men's 10m platform","final",5,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando","2015","World_Series_Merida"
" men's 10m platform","final",6,"AHLERING Julie","BANUELOS Ricardo","PETERSON Gordon","YU Jian","RIOS Cristina","BROOKER Gillian","RUIZ PEDREGUERA Rolando","2015","World_Series_Merida"
"women's 10m platform","final",1,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","2015","World_Series_Merida"
"women's 10m platform","final",2,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","2015","World_Series_Merida"
"women's 10m platform","final",3,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","2015","World_Series_Merida"
"women's 10m platform","final",4,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","2015","World_Series_Merida"
"women's 10m platform","final",5,"PETERSON Gordon","AHLERING Julie","RUIZ PEDREGUERA Rolando","BARBOSA Ana Virginia","AYALA MUNOZ Carlos","YU Jian","BROOKER Gillian","2015","World_Series_Merida"
" men's 3m springboard","semifinal a",1,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal a",2,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal a",3,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal a",4,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal a",5,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal a",6,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal a",1,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal a",2,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal a",3,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal a",4,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal a",5,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 10m platform","semifinal a",1,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal a",2,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal a",3,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal a",4,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal a",5,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal a",6,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
"women's 10m platform","semifinal a",1,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal a",2,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal a",3,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal a",4,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal a",5,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
" men's 3m springboard","semifinal b",1,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal b",2,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal b",3,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal b",4,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal b",5,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 3m springboard","semifinal b",6,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal b",1,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal b",2,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal b",3,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal b",4,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 3m springboard","semifinal b",5,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 10m platform","semifinal b",1,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal b",2,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal b",3,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal b",4,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal b",5,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
" men's 10m platform","semifinal b",6,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio","2015","World_Series_Windsor"
"women's 10m platform","semifinal b",1,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal b",2,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal b",3,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal b",4,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
"women's 10m platform","semifinal b",5,"PETERSON Gord","BEDDOE Valerie","POLAZZO Valerio","AYALA MUNOZ Carlos","LATIMER Simon","GOLOVAN Anatoliy","HUFFMAN Coleen","2015","World_Series_Windsor"
" men's 3m springboard","final",1,"POLAZZO Valerio","HUFFMAN Coleen","BEDDOE Valerie","REIS Violeta","GOLOVAN Anatoliy","LATIMER Simon","BUSH Barb","2015","World_Series_Windsor"
" men's 3m springboard","final",2,"POLAZZO Valerio","HUFFMAN Coleen","BEDDOE Valerie","REIS Violeta","GOLOVAN Anatoliy","LATIMER Simon","BUSH Barb","2015","World_Series_Windsor"
" men's 3m springboard","final",3,"POLAZZO Valerio","HUFFMAN Coleen","BEDDOE Valerie","REIS Violeta","GOLOVAN Anatoliy","LATIMER Simon","BUSH Barb","2015","World_Series_Windsor"
" men's 3m springboard","final",4,"POLAZZO Valerio","HUFFMAN Coleen","BEDDOE Valerie","REIS Violeta","GOLOVAN Anatoliy","LATIMER Simon","BUSH Barb","2015","World_Series_Windsor"
" men's 3m springboard","final",5,"POLAZZO Valerio","HUFFMAN Coleen","BEDDOE Valerie","REIS Violeta","GOLOVAN Anatoliy","LATIMER Simon","BUSH Barb","2015","World_Series_Windsor"
" men's 3m springboard","final",6,"POLAZZO Valerio","HUFFMAN Coleen","BEDDOE Valerie","REIS Violeta","GOLOVAN Anatoliy","LATIMER Simon","BUSH Barb","2015","World_Series_Windsor"
"women's 3m springboard","final",1,"GOLOVAN Anatoliy","AYALA MUNOZ Carlos","LATIMER Simon","BEDDOE Valerie","PETERSON Gord","HUFFMAN Coleen","REIS Violeta","2015","World_Series_Windsor"
"women's 3m springboard","final",2,"GOLOVAN Anatoliy","AYALA MUNOZ Carlos","LATIMER Simon","BEDDOE Valerie","PETERSON Gord","HUFFMAN Coleen","REIS Violeta","2015","World_Series_Windsor"
"women's 3m springboard","final",3,"GOLOVAN Anatoliy","AYALA MUNOZ Carlos","LATIMER Simon","BEDDOE Valerie","PETERSON Gord","HUFFMAN Coleen","REIS Violeta","2015","World_Series_Windsor"
"women's 3m springboard","final",4,"GOLOVAN Anatoliy","AYALA MUNOZ Carlos","LATIMER Simon","BEDDOE Valerie","PETERSON Gord","HUFFMAN Coleen","REIS Violeta","2015","World_Series_Windsor"
"women's 3m springboard","final",5,"GOLOVAN Anatoliy","AYALA MUNOZ Carlos","LATIMER Simon","BEDDOE Valerie","PETERSON Gord","HUFFMAN Coleen","REIS Violeta","2015","World_Series_Windsor"
" men's 10m platform","final",1,"HUFFMAN Coleen","BUSH Barb","REIS Violeta","POLAZZO Valerio","LATIMER Simon","AYALA MUNOZ Carlos","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 10m platform","final",2,"HUFFMAN Coleen","BUSH Barb","REIS Violeta","POLAZZO Valerio","LATIMER Simon","AYALA MUNOZ Carlos","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 10m platform","final",3,"HUFFMAN Coleen","BUSH Barb","REIS Violeta","POLAZZO Valerio","LATIMER Simon","AYALA MUNOZ Carlos","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 10m platform","final",4,"HUFFMAN Coleen","BUSH Barb","REIS Violeta","POLAZZO Valerio","LATIMER Simon","AYALA MUNOZ Carlos","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 10m platform","final",5,"HUFFMAN Coleen","BUSH Barb","REIS Violeta","POLAZZO Valerio","LATIMER Simon","AYALA MUNOZ Carlos","GOLOVAN Anatoliy","2015","World_Series_Windsor"
" men's 10m platform","final",6,"HUFFMAN Coleen","BUSH Barb","REIS Violeta","POLAZZO Valerio","LATIMER Simon","AYALA MUNOZ Carlos","GOLOVAN Anatoliy","2015","World_Series_Windsor"
"women's 10m platform","final",1,"LATIMER Simon","HUFFMAN Coleen","BEDDOE Valerie","GOLOVAN Anatoliy","PETERSON Gord","POLAZZO Valerio","AYALA MUNOZ Carlos","2015","World_Series_Windsor"
"women's 10m platform","final",2,"LATIMER Simon","HUFFMAN Coleen","BEDDOE Valerie","GOLOVAN Anatoliy","PETERSON Gord","POLAZZO Valerio","AYALA MUNOZ Carlos","2015","World_Series_Windsor"
"women's 10m platform","final",3,"LATIMER Simon","HUFFMAN Coleen","BEDDOE Valerie","GOLOVAN Anatoliy","PETERSON Gord","POLAZZO Valerio","AYALA MUNOZ Carlos","2015","World_Series_Windsor"
"women's 10m platform","final",4,"LATIMER Simon","HUFFMAN Coleen","BEDDOE Valerie","GOLOVAN Anatoliy","PETERSON Gord","POLAZZO Valerio","AYALA MUNOZ Carlos","2015","World_Series_Windsor"
"women's 10m platform","final",5,"LATIMER Simon","HUFFMAN Coleen","BEDDOE Valerie","GOLOVAN Anatoliy","PETERSON Gord","POLAZZO Valerio","AYALA MUNOZ Carlos","2015","World_Series_Windsor"
" men's 3m springboard","preliminary",1,"PEREZ CANASVERAS Angel Luis","YEOH Ken Nee","AZORIN Daniel Pierre","SAGE Christopher David","DAW Yehia Zakaria Yehia","ALVARADO SALAZAR Ulises Alejandro","AXTELIUS Peter Olof","2016","World_Cup"
" men's 3m springboard","preliminary",2,"PEREZ CANASVERAS Angel Luis","YEOH Ken Nee","AZORIN Daniel Pierre","SAGE Christopher David","DAW Yehia Zakaria Yehia","ALVARADO SALAZAR Ulises Alejandro","AXTELIUS Peter Olof","2016","World_Cup"
" men's 3m springboard","preliminary",5,"PEREZ CANASVERAS Angel Luis","YEOH Ken Nee","AZORIN Daniel Pierre","SAGE Christopher David","DAW Yehia Zakaria Yehia","ALVARADO SALAZAR Ulises Alejandro","AXTELIUS Peter Olof","2016","World_Cup"
" men's 3m springboard","preliminary",3,"FABER Marc Hendrik","LER Soon Tien","HUFFMAN Colleen Smith","TOULOUDIS Nikolaos","LATIMER Simon James","GOLOVAN Anatoliy","ROCHA CHAVEZ Sergio","2016","World_Cup"
" men's 3m springboard","preliminary",4,"FABER Marc Hendrik","LER Soon Tien","HUFFMAN Colleen Smith","TOULOUDIS Nikolaos","LATIMER Simon James","GOLOVAN Anatoliy","ROCHA CHAVEZ Sergio","2016","World_Cup"
" men's 3m springboard","preliminary",6,"FABER Marc Hendrik","LER Soon Tien","HUFFMAN Colleen Smith","TOULOUDIS Nikolaos","LATIMER Simon James","GOLOVAN Anatoliy","ROCHA CHAVEZ Sergio","2016","World_Cup"
"women's 3m springboard","preliminary",1,"LATIMER Simon James","PARK Yoo Hyun","ILIES Danielamihaela","MORNEAU Helene","POLAZZO Marco Valerio","SAGE Christopher David","HUFFMAN Colleen Smith","2016","World_Cup"
"women's 3m springboard","preliminary",2,"LATIMER Simon James","PARK Yoo Hyun","ILIES Danielamihaela","MORNEAU Helene","POLAZZO Marco Valerio","SAGE Christopher David","HUFFMAN Colleen Smith","2016","World_Cup"
"women's 3m springboard","preliminary",5,"LATIMER Simon James","PARK Yoo Hyun","ILIES Danielamihaela","MORNEAU Helene","POLAZZO Marco Valerio","SAGE Christopher David","HUFFMAN Colleen Smith","2016","World_Cup"
"women's 3m springboard","preliminary",3,"ALVARADO SALAZAR Ulises Alejandro","PIKTURNIENE Ale","LER Soon Tien","DAW Yehia Zakaria Yehia","VINOGRADOV Alexander","RIOS HENAO Maria Cristina","CHANDIRYAN Maria","2016","World_Cup"
"women's 3m springboard","preliminary",4,"ALVARADO SALAZAR Ulises Alejandro","PIKTURNIENE Ale","LER Soon Tien","DAW Yehia Zakaria Yehia","VINOGRADOV Alexander","RIOS HENAO Maria Cristina","CHANDIRYAN Maria","2016","World_Cup"
" men's 10m platform","preliminary",1,"HUFFMAN Colleen Smith","PARK Yoo Hyun","AZORIN Daniel Pierre","GUINAZU Fernando Javier","POLAZZO Marco Valerio","TOULOUDIS Nikolaos","VINOGRADOV Alexander","2016","World_Cup"
" men's 10m platform","preliminary",2,"HUFFMAN Colleen Smith","PARK Yoo Hyun","AZORIN Daniel Pierre","GUINAZU Fernando Javier","POLAZZO Marco Valerio","TOULOUDIS Nikolaos","VINOGRADOV Alexander","2016","World_Cup"
" men's 10m platform","preliminary",5,"HUFFMAN Colleen Smith","PARK Yoo Hyun","AZORIN Daniel Pierre","GUINAZU Fernando Javier","POLAZZO Marco Valerio","TOULOUDIS Nikolaos","VINOGRADOV Alexander","2016","World_Cup"
" men's 10m platform","preliminary",3,"DAW Yehia Zakaria Yehia","MORNEAU Helene","DIETRICH DEE Monika Gertrud Ilse","KANETO Yuki","PEREZ CANASVERAS Angel Luis","LATIMER Simon James","GOLOVAN Anatoliy","2016","World_Cup"
" men's 10m platform","preliminary",4,"DAW Yehia Zakaria Yehia","MORNEAU Helene","DIETRICH DEE Monika Gertrud Ilse","KANETO Yuki","PEREZ CANASVERAS Angel Luis","LATIMER Simon James","GOLOVAN Anatoliy","2016","World_Cup"
" men's 10m platform","preliminary",6,"DAW Yehia Zakaria Yehia","MORNEAU Helene","DIETRICH DEE Monika Gertrud Ilse","KANETO Yuki","PEREZ CANASVERAS Angel Luis","LATIMER Simon James","GOLOVAN Anatoliy","2016","World_Cup"
"women's 10m platform","preliminary",1,"BROOKER Gillian Ann Dunbar","KANETO Yuki","TELLEFSEN Arne","MAMONTOV Andrei","KELEMENVAN de KONIJNENBU Ildiko M","GENG Tao","FABER Marc Hendrik","2016","World_Cup"
"women's 10m platform","preliminary",2,"BROOKER Gillian Ann Dunbar","KANETO Yuki","TELLEFSEN Arne","MAMONTOV Andrei","KELEMENVAN de KONIJNENBU Ildiko M","GENG Tao","FABER Marc Hendrik","2016","World_Cup"
"women's 10m platform","preliminary",5,"BROOKER Gillian Ann Dunbar","KANETO Yuki","TELLEFSEN Arne","MAMONTOV Andrei","KELEMENVAN de KONIJNENBU Ildiko M","GENG Tao","FABER Marc Hendrik","2016","World_Cup"
"women's 10m platform","preliminary",3,"RUIZ PEDREGUERA Rolando","RIOS HENAO Maria Cristina","YEOH Ken Nee","AZORIN Daniel Pierre","MORNEAU Helene","SAGE Hayley Dawn","HUFFMAN Colleen Smith","2016","World_Cup"
"women's 10m platform","preliminary",4,"RUIZ PEDREGUERA Rolando","RIOS HENAO Maria Cristina","YEOH Ken Nee","AZORIN Daniel Pierre","MORNEAU Helene","SAGE Hayley Dawn","HUFFMAN Colleen Smith","2016","World_Cup"
" men's 3m springboard","semifinal",1,"ALVARADO SALAZAR Ulises Alejandro","BROOKER Gillian Ann Dunbar","MAMONTOV Andrei","GENG Tao","PEREZ CANASVERAS Angel Luis","AYRES BARBOSA Ana Virginia","TELLEFSEN Arne","2016","World_Cup"
" men's 3m springboard","semifinal",2,"ALVARADO SALAZAR Ulises Alejandro","BROOKER Gillian Ann Dunbar","MAMONTOV Andrei","GENG Tao","PEREZ CANASVERAS Angel Luis","AYRES BARBOSA Ana Virginia","TELLEFSEN Arne","2016","World_Cup"
" men's 3m springboard","semifinal",5,"ALVARADO SALAZAR Ulises Alejandro","BROOKER Gillian Ann Dunbar","MAMONTOV Andrei","GENG Tao","PEREZ CANASVERAS Angel Luis","AYRES BARBOSA Ana Virginia","TELLEFSEN Arne","2016","World_Cup"
" men's 3m springboard","semifinal",3,"ILIES Danielamihaela","DAW Yehia Zakaria Yehia","NOVOTNA Hana","KANETO Yuki","PIKTURNIENE Ale","GOLOVAN Anatoliy","RIOS HENAO Maria Cristina","2016","World_Cup"
" men's 3m springboard","semifinal",4,"ILIES Danielamihaela","DAW Yehia Zakaria Yehia","NOVOTNA Hana","KANETO Yuki","PIKTURNIENE Ale","GOLOVAN Anatoliy","RIOS HENAO Maria Cristina","2016","World_Cup"
" men's 3m springboard","semifinal",6,"ILIES Danielamihaela","DAW Yehia Zakaria Yehia","NOVOTNA Hana","KANETO Yuki","PIKTURNIENE Ale","GOLOVAN Anatoliy","RIOS HENAO Maria Cristina","2016","World_Cup"
"women's 3m springboard","semifinal",1,"ROCHA CHAVEZ Sergio","da CONCEICAO Oswaldo Augusto","ILIES Danielamihaela","SAADALLAH Khaled Gamil","SZEKFFY Nora","NOVOTNA Hana","TELLEFSEN Arne","2016","World_Cup"
