"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
"women's 10m platform","preliminary",2,"PEREZ CANASVERAS Angel Luis","ROCHA CHAVEZ Sergio","AXTELIUS Peter","RAO Lang","FEOKTISTOV Eduard","DAW Yehia Zakaria Yehia","van der VOORT Ronald","SIEFKEN Jann Hendrik"
"women's 10m platform","preliminary",5,"PEREZ CANASVERAS Angel Luis","ROCHA CHAVEZ Sergio","AXTELIUS Peter","RAO Lang","FEOKTISTOV Eduard","DAW Yehia Zakaria Yehia","van der VOORT Ronald","SIEFKEN Jann Hendrik"
"women's 10m platform","preliminary",3,"SCHLEPPS Holger","PRANARTA Pranarta","FRASER Lindsey Ann","WRIGHT Lisa","ZAMPIERI Marco","KOH Tony","PETERSON Gord","TOULOUDIS Nikolaos"
"women's 10m platform","preliminary",4,"SCHLEPPS Holger","PRANARTA Pranarta","FRASER Lindsey Ann","WRIGHT Lisa","ZAMPIERI Marco","KOH Tony","PETERSON Gord","TOULOUDIS Nikolaos"
" men's 3m springboard","semifinal",1,"BARTH Michael","SHEPHERD Kathleen","RAO Lang","WRIGHT Lisa","FEOKTISTOV Eduard","PETERSON Gord","GOLOVAN Anatoliy","GUAYACAN CONTRERAS Juan Carlos"
" men's 3m springboard","semifinal",2,"BARTH Michael","SHEPHERD Kathleen","RAO Lang","WRIGHT Lisa","FEOKTISTOV Eduard","PETERSON Gord","GOLOVAN Anatoliy","GUAYACAN CONTRERAS Juan Carlos"
" men's 3m springboard","semifinal",3,"BARTH Michael","SHEPHERD Kathleen","RAO Lang","WRIGHT Lisa","FEOKTISTOV Eduard","PETERSON Gord","GOLOVAN Anatoliy","GUAYACAN CONTRERAS Juan Carlos"
" men's 3m springboard","semifinal",4,"FRASER Lindsey Ann","SZEKFFY Nora","ZAMPIERI Marco","REIS Violeta","TOULOUDIS Nikolaos","PRANARTA Pranarta","van der VOORT Ronald","WIERNIUK Anna"
" men's 3m springboard","semifinal",5,"FRASER Lindsey Ann","SZEKFFY Nora","ZAMPIERI Marco","REIS Violeta","TOULOUDIS Nikolaos","PRANARTA Pranarta","van der VOORT Ronald","WIERNIUK Anna"
" men's 3m springboard","semifinal",6,"FRASER Lindsey Ann","SZEKFFY Nora","ZAMPIERI Marco","REIS Violeta","TOULOUDIS Nikolaos","PRANARTA Pranarta","van der VOORT Ronald","WIERNIUK Anna"
"women's 3m springboard","semifinal",1,"KOH Tony","REIS Violeta","AXTELIUS Peter","RAO Lang","SZEKFFY Nora","PETERSON Gord","SCHLEPPS Holger","WIERNIUK Anna"
"women's 3m springboard","semifinal",2,"KOH Tony","REIS Violeta","AXTELIUS Peter","RAO Lang","SZEKFFY Nora","PETERSON Gord","SCHLEPPS Holger","WIERNIUK Anna"
"women's 3m springboard","semifinal",3,"KOH Tony","REIS Violeta","AXTELIUS Peter","RAO Lang","SZEKFFY Nora","PETERSON Gord","SCHLEPPS Holger","WIERNIUK Anna"
"women's 3m springboard","semifinal",4,"van der VOORT Ronald","WRIGHT Lisa","FRASER Lindsey Ann","ROCHA CHAVEZ Sergio","FEOKTISTOV Eduard","PRANARTA Pranarta","ZAMPIERI Marco","ASADA Masako"
"women's 3m springboard","semifinal",5,"van der VOORT Ronald","WRIGHT Lisa","FRASER Lindsey Ann","ROCHA CHAVEZ Sergio","FEOKTISTOV Eduard","PRANARTA Pranarta","ZAMPIERI Marco","ASADA Masako"
" men's 10m platform","semifinal",1,"PEREZ CANASVERAS Angel Luis","GUAYACAN CONTRERAS Juan Carlos","ASADA Masako","SHEPHERD Kathleen","FRASER Lindsey Ann","SANTOS Isabel","TOULOUDIS Nikolaos","WRIGHT Lisa"
" men's 10m platform","semifinal",2,"PEREZ CANASVERAS Angel Luis","GUAYACAN CONTRERAS Juan Carlos","ASADA Masako","SHEPHERD Kathleen","FRASER Lindsey Ann","SANTOS Isabel","TOULOUDIS Nikolaos","WRIGHT Lisa"
" men's 10m platform","semifinal",3,"PEREZ CANASVERAS Angel Luis","GUAYACAN CONTRERAS Juan Carlos","ASADA Masako","SHEPHERD Kathleen","FRASER Lindsey Ann","SANTOS Isabel","TOULOUDIS Nikolaos","WRIGHT Lisa"
" men's 10m platform","semifinal",4,"BARTH Michael","RAO Lang","WIERNIUK Anna","REIS Violeta","GOLOVAN Anatoliy","LEE William","SCHLEPPS Holger","FEOKTISTOV Eduard"
" men's 10m platform","semifinal",5,"BARTH Michael","RAO Lang","WIERNIUK Anna","REIS Violeta","GOLOVAN Anatoliy","LEE William","SCHLEPPS Holger","FEOKTISTOV Eduard"
" men's 10m platform","semifinal",6,"BARTH Michael","RAO Lang","WIERNIUK Anna","REIS Violeta","GOLOVAN Anatoliy","LEE William","SCHLEPPS Holger","FEOKTISTOV Eduard"
"women's 10m platform","semifinal",1,"AXTELIUS Peter","PETERSON Gord","FRASER Lindsey Ann","RAO Lang","SCHLEPPS Holger","REIS Violeta","LEE William","BARTH Michael"
"women's 10m platform","semifinal",2,"AXTELIUS Peter","PETERSON Gord","FRASER Lindsey Ann","RAO Lang","SCHLEPPS Holger","REIS Violeta","LEE William","BARTH Michael"
"women's 10m platform","semifinal",3,"AXTELIUS Peter","PETERSON Gord","FRASER Lindsey Ann","RAO Lang","SCHLEPPS Holger","REIS Violeta","LEE William","BARTH Michael"
"women's 10m platform","semifinal",4,"van der VOORT Ronald","ASADA Masako","SZEKFFY Nora","ZAMPIERI Marco","ROCHA CHAVEZ Sergio","DAW Yehia Zakaria Yehia","KOH Tony","SHEPHERD Kathleen"
"women's 10m platform","semifinal",5,"van der VOORT Ronald","ASADA Masako","SZEKFFY Nora","ZAMPIERI Marco","ROCHA CHAVEZ Sergio","DAW Yehia Zakaria Yehia","KOH Tony","SHEPHERD Kathleen"
" men's 3m springboard","final",1,"GOLOVAN Anatoliy","RAO Lang","ZAMPIERI Marco","REIS Violeta","van der VOORT Ronald","AXTELIUS Peter","DAW Yehia Zakaria Yehia","FEOKTISTOV Eduard"
" men's 3m springboard","final",2,"GOLOVAN Anatoliy","RAO Lang","ZAMPIERI Marco","REIS Violeta","van der VOORT Ronald","AXTELIUS Peter","DAW Yehia Zakaria Yehia","FEOKTISTOV Eduard"
" men's 3m springboard","final",3,"GOLOVAN Anatoliy","RAO Lang","ZAMPIERI Marco","REIS Violeta","van der VOORT Ronald","AXTELIUS Peter","DAW Yehia Zakaria Yehia","FEOKTISTOV Eduard"
" men's 3m springboard","final",4,"GOLOVAN Anatoliy","RAO Lang","ZAMPIERI Marco","REIS Violeta","van der VOORT Ronald","AXTELIUS Peter","DAW Yehia Zakaria Yehia","FEOKTISTOV Eduard"
" men's 3m springboard","final",5,"GOLOVAN Anatoliy","RAO Lang","ZAMPIERI Marco","REIS Violeta","van der VOORT Ronald","AXTELIUS Peter","DAW Yehia Zakaria Yehia","FEOKTISTOV Eduard"
" men's 3m springboard","final",6,"GOLOVAN Anatoliy","RAO Lang","ZAMPIERI Marco","REIS Violeta","van der VOORT Ronald","AXTELIUS Peter","DAW Yehia Zakaria Yehia","FEOKTISTOV Eduard"
"women's 3m springboard","final",1,"REIS Violeta","AXTELIUS Peter","WRIGHT Lisa","PRANARTA Pranarta","SCHLEPPS Holger","DAW Yehia Zakaria Yehia","ZAMPIERI Marco","van der VOORT Ronald"
"women's 3m springboard","final",2,"REIS Violeta","AXTELIUS Peter","WRIGHT Lisa","PRANARTA Pranarta","SCHLEPPS Holger","DAW Yehia Zakaria Yehia","ZAMPIERI Marco","van der VOORT Ronald"
"women's 3m springboard","final",3,"REIS Violeta","AXTELIUS Peter","WRIGHT Lisa","PRANARTA Pranarta","SCHLEPPS Holger","DAW Yehia Zakaria Yehia","ZAMPIERI Marco","van der VOORT Ronald"
"women's 3m springboard","final",4,"REIS Violeta","AXTELIUS Peter","WRIGHT Lisa","PRANARTA Pranarta","SCHLEPPS Holger","DAW Yehia Zakaria Yehia","ZAMPIERI Marco","van der VOORT Ronald"
"women's 3m springboard","final",5,"REIS Violeta","AXTELIUS Peter","WRIGHT Lisa","PRANARTA Pranarta","SCHLEPPS Holger","DAW Yehia Zakaria Yehia","ZAMPIERI Marco","van der VOORT Ronald"
" men's 10m platform","final",1,"PEREZ CANASVERAS Angel Luis","WRIGHT Lisa","RAO Lang","AXTELIUS Peter","PRANARTA Pranarta","SZEKFFY Nora","GOLOVAN Anatoliy","SANTOS Isabel"
" men's 10m platform","final",2,"PEREZ CANASVERAS Angel Luis","WRIGHT Lisa","RAO Lang","AXTELIUS Peter","PRANARTA Pranarta","SZEKFFY Nora","GOLOVAN Anatoliy","SANTOS Isabel"
" men's 10m platform","final",3,"PEREZ CANASVERAS Angel Luis","WRIGHT Lisa","RAO Lang","AXTELIUS Peter","PRANARTA Pranarta","SZEKFFY Nora","GOLOVAN Anatoliy","SANTOS Isabel"
" men's 10m platform","final",4,"PEREZ CANASVERAS Angel Luis","WRIGHT Lisa","RAO Lang","AXTELIUS Peter","PRANARTA Pranarta","SZEKFFY Nora","GOLOVAN Anatoliy","SANTOS Isabel"
" men's 10m platform","final",5,"PEREZ CANASVERAS Angel Luis","WRIGHT Lisa","RAO Lang","AXTELIUS Peter","PRANARTA Pranarta","SZEKFFY Nora","GOLOVAN Anatoliy","SANTOS Isabel"
" men's 10m platform","final",6,"PEREZ CANASVERAS Angel Luis","WRIGHT Lisa","RAO Lang","AXTELIUS Peter","PRANARTA Pranarta","SZEKFFY Nora","GOLOVAN Anatoliy","SANTOS Isabel"
"women's 10m platform","final",1,"RAO Lang","van der VOORT Ronald","GUAYACAN CONTRERAS Juan Carlos","SZEKFFY Nora","LEE William","WRIGHT Lisa","BARTH Michael","SHEPHERD Kathleen"
"women's 10m platform","final",2,"RAO Lang","van der VOORT Ronald","GUAYACAN CONTRERAS Juan Carlos","SZEKFFY Nora","LEE William","WRIGHT Lisa","BARTH Michael","SHEPHERD Kathleen"
"women's 10m platform","final",3,"RAO Lang","van der VOORT Ronald","GUAYACAN CONTRERAS Juan Carlos","SZEKFFY Nora","LEE William","WRIGHT Lisa","BARTH Michael","SHEPHERD Kathleen"
"women's 10m platform","final",4,"RAO Lang","van der VOORT Ronald","GUAYACAN CONTRERAS Juan Carlos","SZEKFFY Nora","LEE William","WRIGHT Lisa","BARTH Michael","SHEPHERD Kathleen"
"women's 10m platform","final",5,"RAO Lang","van der VOORT Ronald","GUAYACAN CONTRERAS Juan Carlos","SZEKFFY Nora","LEE William","WRIGHT Lisa","BARTH Michael","SHEPHERD Kathleen"
