"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 3m springboard","preliminary",1,"BARTH Michael","SHEPHERD Kathleen","GOLOVAN Anatoliy","ASADA Masako","PETERSON Gord","SANTOS Isabel","TOULOUDIS Nikolaos","PRANARTA Pranarta"
" men's 3m springboard","preliminary",2,"BARTH Michael","SHEPHERD Kathleen","GOLOVAN Anatoliy","ASADA Masako","PETERSON Gord","SANTOS Isabel","TOULOUDIS Nikolaos","PRANARTA Pranarta"
" men's 3m springboard","preliminary",5,"BARTH Michael","SHEPHERD Kathleen","GOLOVAN Anatoliy","ASADA Masako","PETERSON Gord","SANTOS Isabel","TOULOUDIS Nikolaos","PRANARTA Pranarta"
" men's 3m springboard","preliminary",3,"FRASER Lindsey Ann","ROCHA CHAVEZ Sergio","WIERNIUK Anna","GUAYACAN CONTRERAS Juan Carlos","PEREZ CANASVERAS Angel Luis","RAO Lang","SIEFKEN Jann Hendrik","AXTELIUS Peter"
" men's 3m springboard","preliminary",4,"FRASER Lindsey Ann","ROCHA CHAVEZ Sergio","WIERNIUK Anna","GUAYACAN CONTRERAS Juan Carlos","PEREZ CANASVERAS Angel Luis","RAO Lang","SIEFKEN Jann Hendrik","AXTELIUS Peter"
" men's 3m springboard","preliminary",6,"FRASER Lindsey Ann","ROCHA CHAVEZ Sergio","WIERNIUK Anna","GUAYACAN CONTRERAS Juan Carlos","PEREZ CANASVERAS Angel Luis","RAO Lang","SIEFKEN Jann Hendrik","AXTELIUS Peter"
"women's 3m springboard","preliminary",1,"FEOKTISTOV Eduard","GUAYACAN CONTRERAS Juan Carlos","van der VOORT Ronald","SANTOS Isabel","SCHLEPPS Holger","PRANARTA Pranarta","DAW Yehia Zakaria Yehia","WIERNIUK Anna"
"women's 3m springboard","preliminary",2,"FEOKTISTOV Eduard","GUAYACAN CONTRERAS Juan Carlos","van der VOORT Ronald","SANTOS Isabel","SCHLEPPS Holger","PRANARTA Pranarta","DAW Yehia Zakaria Yehia","WIERNIUK Anna"
"women's 3m springboard","preliminary",5,"FEOKTISTOV Eduard","GUAYACAN CONTRERAS Juan Carlos","van der VOORT Ronald","SANTOS Isabel","SCHLEPPS Holger","PRANARTA Pranarta","DAW Yehia Zakaria Yehia","WIERNIUK Anna"
"women's 3m springboard","preliminary",3,"ROCHA CHAVEZ Sergio","FRASER Lindsey Ann","LEE William","REIS Violeta","ZAMPIERI Marco","RAO Lang","SIEFKEN Jann Hendrik","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","preliminary",4,"ROCHA CHAVEZ Sergio","FRASER Lindsey Ann","LEE William","REIS Violeta","ZAMPIERI Marco","RAO Lang","SIEFKEN Jann Hendrik","PEREZ CANASVERAS Angel Luis"
" men's 10m platform","preliminary",1,"FEOKTISTOV Eduard","REIS Violeta","PRANARTA Pranarta","PEREZ CANASVERAS Angel Luis","WIERNIUK Anna","ASADA Masako","TOULOUDIS Nikolaos","KOH Tony"
" men's 10m platform","preliminary",2,"FEOKTISTOV Eduard","REIS Violeta","PRANARTA Pranarta","PEREZ CANASVERAS Angel Luis","WIERNIUK Anna","ASADA Masako","TOULOUDIS Nikolaos","KOH Tony"
" men's 10m platform","preliminary",5,"FEOKTISTOV Eduard","REIS Violeta","PRANARTA Pranarta","PEREZ CANASVERAS Angel Luis","WIERNIUK Anna","ASADA Masako","TOULOUDIS Nikolaos","KOH Tony"
" men's 10m platform","preliminary",3,"RAO Lang","PETERSON Gord","GOLOVAN Anatoliy","SANTOS Isabel","ROCHA CHAVEZ Sergio","SCHLEPPS Holger","BARTH Michael","SZEKFFY Nora"
" men's 10m platform","preliminary",4,"RAO Lang","PETERSON Gord","GOLOVAN Anatoliy","SANTOS Isabel","ROCHA CHAVEZ Sergio","SCHLEPPS Holger","BARTH Michael","SZEKFFY Nora"
" men's 10m platform","preliminary",6,"RAO Lang","PETERSON Gord","GOLOVAN Anatoliy","SANTOS Isabel","ROCHA CHAVEZ Sergio","SCHLEPPS Holger","BARTH Michael","SZEKFFY Nora"
"women's 10m platform","preliminary",1,"PEREZ CANASVERAS Angel Luis","ROCHA CHAVEZ Sergio","AXTELIUS Peter","RAO Lang","FEOKTISTOV Eduard","DAW Yehia Zakaria Yehia","van der VOORT Ronald","SIEFKEN Jann Hendrik"
