"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
"women's 3m springboard","semifinal b",2,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 3m springboard","semifinal b",3,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 3m springboard","semifinal b",4,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 3m springboard","semifinal b",5,"BUSH Barb","AHLERING Julie","HUSSAN Mohamed","ZAMPIERI Marco","AXTELIUS Peter","GOLOVAN Anatoly","COSTA REIS Violeta"
" men's 10m platform","semifinal b",1,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal b",2,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal b",3,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal b",4,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal b",5,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
" men's 10m platform","semifinal b",6,"ZAMPIERI Marco","BUSH Barb","PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","HUSSAN Mohamed","GOLOVAN Anatoly"
"women's 10m platform","semifinal b",1,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal b",2,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal b",3,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal b",4,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
"women's 10m platform","semifinal b",5,"PETERSON Gord","COSTA REIS Violeta","AXTELIUS Peter","GOLOVAN Anatoly","HUSSAN Mohamed","AHLERING Julie","ZAMPIERI Marco"
" men's 3m springboard","final",1,"AXTELIUS Peter","COSTA REIS Violeta","PETERSON Gord","AHLERING Julie","BUSH Barb","van der VOORT Ronald","GOLOVAN Anatoly"
" men's 3m springboard","final",2,"AXTELIUS Peter","COSTA REIS Violeta","PETERSON Gord","AHLERING Julie","BUSH Barb","van der VOORT Ronald","GOLOVAN Anatoly"
" men's 3m springboard","final",3,"AXTELIUS Peter","COSTA REIS Violeta","PETERSON Gord","AHLERING Julie","BUSH Barb","van der VOORT Ronald","GOLOVAN Anatoly"
" men's 3m springboard","final",4,"AXTELIUS Peter","COSTA REIS Violeta","PETERSON Gord","AHLERING Julie","BUSH Barb","van der VOORT Ronald","GOLOVAN Anatoly"
" men's 3m springboard","final",5,"AXTELIUS Peter","COSTA REIS Violeta","PETERSON Gord","AHLERING Julie","BUSH Barb","van der VOORT Ronald","GOLOVAN Anatoly"
" men's 3m springboard","final",6,"AXTELIUS Peter","COSTA REIS Violeta","PETERSON Gord","AHLERING Julie","BUSH Barb","van der VOORT Ronald","GOLOVAN Anatoly"
"women's 3m springboard","final",1,"COSTA REIS Violeta","ZAMPIERI Marco","GOLOVAN Anatoly","BUSH Barb","AXTELIUS Peter","PETERSON Gord","AHLERING Julie"
"women's 3m springboard","final",2,"COSTA REIS Violeta","ZAMPIERI Marco","GOLOVAN Anatoly","BUSH Barb","AXTELIUS Peter","PETERSON Gord","AHLERING Julie"
"women's 3m springboard","final",3,"COSTA REIS Violeta","ZAMPIERI Marco","GOLOVAN Anatoly","BUSH Barb","AXTELIUS Peter","PETERSON Gord","AHLERING Julie"
"women's 3m springboard","final",4,"COSTA REIS Violeta","ZAMPIERI Marco","GOLOVAN Anatoly","BUSH Barb","AXTELIUS Peter","PETERSON Gord","AHLERING Julie"
"women's 3m springboard","final",5,"COSTA REIS Violeta","ZAMPIERI Marco","GOLOVAN Anatoly","BUSH Barb","AXTELIUS Peter","PETERSON Gord","AHLERING Julie"
" men's 10m platform","final",1,"AXTELIUS Peter","AHLERING Julie","ZAMPIERI Marco","HUSSAN Mohamed","PETERSON Gord","GOLOVAN Anatoly","COSTA REIS Violeta"
" men's 10m platform","final",2,"AXTELIUS Peter","AHLERING Julie","ZAMPIERI Marco","HUSSAN Mohamed","PETERSON Gord","GOLOVAN Anatoly","COSTA REIS Violeta"
" men's 10m platform","final",3,"AXTELIUS Peter","AHLERING Julie","ZAMPIERI Marco","HUSSAN Mohamed","PETERSON Gord","GOLOVAN Anatoly","COSTA REIS Violeta"
" men's 10m platform","final",4,"AXTELIUS Peter","AHLERING Julie","ZAMPIERI Marco","HUSSAN Mohamed","PETERSON Gord","GOLOVAN Anatoly","COSTA REIS Violeta"
" men's 10m platform","final",5,"AXTELIUS Peter","AHLERING Julie","ZAMPIERI Marco","HUSSAN Mohamed","PETERSON Gord","GOLOVAN Anatoly","COSTA REIS Violeta"
" men's 10m platform","final",6,"AXTELIUS Peter","AHLERING Julie","ZAMPIERI Marco","HUSSAN Mohamed","PETERSON Gord","GOLOVAN Anatoly","COSTA REIS Violeta"
"women's 10m platform","final",1,"ZAMPIERI Marco","AHLERING Julie","HUSSAN Mohamed","COSTA REIS Violeta","van der VOORT Ronald","GOLOVAN Anatoly","BUSH Barb"
"women's 10m platform","final",2,"ZAMPIERI Marco","AHLERING Julie","HUSSAN Mohamed","COSTA REIS Violeta","van der VOORT Ronald","GOLOVAN Anatoly","BUSH Barb"
"women's 10m platform","final",3,"ZAMPIERI Marco","AHLERING Julie","HUSSAN Mohamed","COSTA REIS Violeta","van der VOORT Ronald","GOLOVAN Anatoly","BUSH Barb"
"women's 10m platform","final",4,"ZAMPIERI Marco","AHLERING Julie","HUSSAN Mohamed","COSTA REIS Violeta","van der VOORT Ronald","GOLOVAN Anatoly","BUSH Barb"
"women's 10m platform","final",5,"ZAMPIERI Marco","AHLERING Julie","HUSSAN Mohamed","COSTA REIS Violeta","van der VOORT Ronald","GOLOVAN Anatoly","BUSH Barb"
