"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
"women's 3m springboard","final",1,"GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","OGDEN Jane","VD VOORT Ronald","NG Do Rosario"
"women's 3m springboard","final",2,"GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","OGDEN Jane","VD VOORT Ronald","NG Do Rosario"
"women's 3m springboard","final",3,"GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","OGDEN Jane","VD VOORT Ronald","NG Do Rosario"
"women's 3m springboard","final",4,"GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","OGDEN Jane","VD VOORT Ronald","NG Do Rosario"
"women's 3m springboard","final",5,"GILDEMEISTER Peter","STRITTBURK Carmen","SEUFERTSHOLTIS Chris","PIKTURNIENE Ale","OGDEN Jane","VD VOORT Ronald","NG Do Rosario"
" men's 10m platform","final",1,"VD VOORT Ronald","FRASER Lindsey","NG Do Rosario","GILDEMEISTER Peter","SEUFERTSHOLTIS Chris","STRITTBURK Carmen","BEKETOV Andrei"
" men's 10m platform","final",2,"VD VOORT Ronald","FRASER Lindsey","NG Do Rosario","GILDEMEISTER Peter","SEUFERTSHOLTIS Chris","STRITTBURK Carmen","BEKETOV Andrei"
" men's 10m platform","final",3,"VD VOORT Ronald","FRASER Lindsey","NG Do Rosario","GILDEMEISTER Peter","SEUFERTSHOLTIS Chris","STRITTBURK Carmen","BEKETOV Andrei"
" men's 10m platform","final",4,"VD VOORT Ronald","FRASER Lindsey","NG Do Rosario","GILDEMEISTER Peter","SEUFERTSHOLTIS Chris","STRITTBURK Carmen","BEKETOV Andrei"
" men's 10m platform","final",5,"VD VOORT Ronald","FRASER Lindsey","NG Do Rosario","GILDEMEISTER Peter","SEUFERTSHOLTIS Chris","STRITTBURK Carmen","BEKETOV Andrei"
" men's 10m platform","final",6,"VD VOORT Ronald","FRASER Lindsey","NG Do Rosario","GILDEMEISTER Peter","SEUFERTSHOLTIS Chris","STRITTBURK Carmen","BEKETOV Andrei"
"women's 10m platform","final",1,"SEUFERTSHOLTIS Chris","VD VOORT Ronald","PIKTURNIENE Ale","BEKETOV Andrei","OGDEN Jane","GILDEMEISTER Peter","STRITTBURK Carmen"
"women's 10m platform","final",2,"SEUFERTSHOLTIS Chris","VD VOORT Ronald","PIKTURNIENE Ale","BEKETOV Andrei","OGDEN Jane","GILDEMEISTER Peter","STRITTBURK Carmen"
"women's 10m platform","final",3,"SEUFERTSHOLTIS Chris","VD VOORT Ronald","PIKTURNIENE Ale","BEKETOV Andrei","OGDEN Jane","GILDEMEISTER Peter","STRITTBURK Carmen"
"women's 10m platform","final",4,"SEUFERTSHOLTIS Chris","VD VOORT Ronald","PIKTURNIENE Ale","BEKETOV Andrei","OGDEN Jane","GILDEMEISTER Peter","STRITTBURK Carmen"
"women's 10m platform","final",5,"SEUFERTSHOLTIS Chris","VD VOORT Ronald","PIKTURNIENE Ale","BEKETOV Andrei","OGDEN Jane","GILDEMEISTER Peter","STRITTBURK Carmen"
