"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal a",2,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal a",3,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal a",4,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal a",5,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal a",6,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
"women's 3m springboard","semifinal a",1,"AXTELIUS Peter","REDHAEI Ali","VINOGRADOV Alexander","ZAMPIERI Marco","BANUELOS Ricardo","HASSAN Mohammed","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal a",2,"AXTELIUS Peter","REDHAEI Ali","VINOGRADOV Alexander","ZAMPIERI Marco","BANUELOS Ricardo","HASSAN Mohammed","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal a",3,"AXTELIUS Peter","REDHAEI Ali","VINOGRADOV Alexander","ZAMPIERI Marco","BANUELOS Ricardo","HASSAN Mohammed","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal a",4,"AXTELIUS Peter","REDHAEI Ali","VINOGRADOV Alexander","ZAMPIERI Marco","BANUELOS Ricardo","HASSAN Mohammed","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal a",5,"AXTELIUS Peter","REDHAEI Ali","VINOGRADOV Alexander","ZAMPIERI Marco","BANUELOS Ricardo","HASSAN Mohammed","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",1,"BANUELOS Ricardo","REDHAEI Ali","AVASILOAE Florin","AXTELIUS Peter","ZAMPIERI Marco","KRYNICKI Bartlomiej","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",2,"BANUELOS Ricardo","REDHAEI Ali","AVASILOAE Florin","AXTELIUS Peter","ZAMPIERI Marco","KRYNICKI Bartlomiej","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",3,"BANUELOS Ricardo","REDHAEI Ali","AVASILOAE Florin","AXTELIUS Peter","ZAMPIERI Marco","KRYNICKI Bartlomiej","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",4,"BANUELOS Ricardo","REDHAEI Ali","AVASILOAE Florin","AXTELIUS Peter","ZAMPIERI Marco","KRYNICKI Bartlomiej","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",5,"BANUELOS Ricardo","REDHAEI Ali","AVASILOAE Florin","AXTELIUS Peter","ZAMPIERI Marco","KRYNICKI Bartlomiej","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal a",6,"BANUELOS Ricardo","REDHAEI Ali","AVASILOAE Florin","AXTELIUS Peter","ZAMPIERI Marco","KRYNICKI Bartlomiej","TOULOUDIS Nikolaos"
"women's 10m platform","semifinal a",1,"AVASILOAE Florin","HASSAN Mohammed","REDHAEI Ali","VINOGRADOV Alexander","KRYNICKI Bartlomiej","BANUELOS Ricardo","ZAMPIERI Marco"
"women's 10m platform","semifinal a",2,"AVASILOAE Florin","HASSAN Mohammed","REDHAEI Ali","VINOGRADOV Alexander","KRYNICKI Bartlomiej","BANUELOS Ricardo","ZAMPIERI Marco"
"women's 10m platform","semifinal a",3,"AVASILOAE Florin","HASSAN Mohammed","REDHAEI Ali","VINOGRADOV Alexander","KRYNICKI Bartlomiej","BANUELOS Ricardo","ZAMPIERI Marco"
"women's 10m platform","semifinal a",4,"AVASILOAE Florin","HASSAN Mohammed","REDHAEI Ali","VINOGRADOV Alexander","KRYNICKI Bartlomiej","BANUELOS Ricardo","ZAMPIERI Marco"
"women's 10m platform","semifinal a",5,"AVASILOAE Florin","HASSAN Mohammed","REDHAEI Ali","VINOGRADOV Alexander","KRYNICKI Bartlomiej","BANUELOS Ricardo","ZAMPIERI Marco"
" men's 3m springboard","semifinal b",1,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal b",2,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal b",3,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal b",4,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
" men's 3m springboard","semifinal b",5,"AXTELIUS Peter","KRYNICKI Bartlomiej","AVASILOAE Florin","VINOGRADOV Alexander","HASSAN Mohammed","TOULOUDIS Nikolaos","BANUELOS Ricardo"
