"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",2,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",3,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",4,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",5,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy"
" men's 3m springboard","semifinal a",6,"REIS Violeta","LATIMER Simon","BUSH Barb","HUFFMAN Coleen","BEDDOE Valerie","POLAZZO Valerio","GOLOVAN Anatoliy"
"women's 3m springboard","semifinal a",1,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy"
"women's 3m springboard","semifinal a",2,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy"
"women's 3m springboard","semifinal a",3,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy"
"women's 3m springboard","semifinal a",4,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy"
"women's 3m springboard","semifinal a",5,"PETERSON Gord","HUFFMAN Coleen","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","BEDDOE Valerie","GOLOVAN Anatoliy"
" men's 10m platform","semifinal a",1,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio"
" men's 10m platform","semifinal a",2,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio"
" men's 10m platform","semifinal a",3,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio"
" men's 10m platform","semifinal a",4,"GOLOVAN Anatoliy","HUFFMAN Coleen","BUSH Barb","AYALA MUNOZ Carlos","REIS Violeta","LATIMER Simon","POLAZZO Valerio"
