"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"NOVOTNA Hana","PETERSON Gordon","TCIVINSKII Alexander","PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix"
" men's 3m springboard","semifinal a",2,"NOVOTNA Hana","PETERSON Gordon","TCIVINSKII Alexander","PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix"
" men's 3m springboard","semifinal a",3,"NOVOTNA Hana","PETERSON Gordon","TCIVINSKII Alexander","PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix"
" men's 3m springboard","semifinal a",4,"NOVOTNA Hana","PETERSON Gordon","TCIVINSKII Alexander","PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix"
" men's 3m springboard","semifinal a",5,"NOVOTNA Hana","PETERSON Gordon","TCIVINSKII Alexander","PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix"
" men's 3m springboard","semifinal a",6,"NOVOTNA Hana","PETERSON Gordon","TCIVINSKII Alexander","PEREZ CANASVERAS Angel Luis","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix"
"women's 3m springboard","semifinal a",1,"TCIVINSKII Alexander","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix","PETERSON Gordon","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","semifinal a",2,"TCIVINSKII Alexander","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix","PETERSON Gordon","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","semifinal a",3,"TCIVINSKII Alexander","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix","PETERSON Gordon","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","semifinal a",4,"TCIVINSKII Alexander","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix","PETERSON Gordon","LEE William","PEREZ CANASVERAS Angel Luis"
"women's 3m springboard","semifinal a",5,"TCIVINSKII Alexander","ZAMPIERI Marco","KRYNICKI Bartlomiej","CALDERON Felix","PETERSON Gordon","LEE William","PEREZ CANASVERAS Angel Luis"
" men's 10m platform","semifinal a",1,"ZAMPIERI Marco","TCIVINSKII Alexander","CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","PETERSON Gordon","NOVOTNA Hana"
" men's 10m platform","semifinal a",2,"ZAMPIERI Marco","TCIVINSKII Alexander","CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","PETERSON Gordon","NOVOTNA Hana"
" men's 10m platform","semifinal a",3,"ZAMPIERI Marco","TCIVINSKII Alexander","CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","PETERSON Gordon","NOVOTNA Hana"
" men's 10m platform","semifinal a",4,"ZAMPIERI Marco","TCIVINSKII Alexander","CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","PETERSON Gordon","NOVOTNA Hana"
" men's 10m platform","semifinal a",5,"ZAMPIERI Marco","TCIVINSKII Alexander","CALDERON Felix","PEREZ CANASVERAS Angel Luis","LEE William","PETERSON Gordon","NOVOTNA Hana"
