"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal a",2,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal a",3,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal a",4,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal a",5,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal a",6,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
"women's 3m springboard","semifinal a",1,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal a",2,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal a",3,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal a",4,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal a",5,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
" men's 10m platform","semifinal a",1,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal a",2,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal a",3,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal a",4,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal a",5,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal a",6,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
"women's 10m platform","semifinal a",1,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal a",2,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal a",3,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal a",4,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal a",5,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
" men's 3m springboard","semifinal b",1,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal b",2,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal b",3,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal b",4,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal b",5,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
" men's 3m springboard","semifinal b",6,"LATIMER Simon","VYAS Mayur","AXTELIUS Peter","HUFFMAN Colleen","TCIVINSKII Alexander","GILDEMEISTER Peter","ALVARADO Ulises"
"women's 3m springboard","semifinal b",1,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal b",2,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal b",3,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal b",4,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
"women's 3m springboard","semifinal b",5,"VYAS Mayur","ALVARADO Ulises","TCIVINSKII Alexander","LATIMER Simon","ITO Masaaki","VAN DER VOORT Ronald","HUFFMAN Colleen"
" men's 10m platform","semifinal b",1,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal b",2,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal b",3,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal b",4,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal b",5,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
" men's 10m platform","semifinal b",6,"AXTELIUS Peter","VYAS Mayur","GILDEMEISTER Peter","HUFFMAN Colleen","VAN DER VOORT Ronald","ITO Masaaki","TCIVINSKII Alexander"
"women's 10m platform","semifinal b",1,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal b",2,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal b",3,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal b",4,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
"women's 10m platform","semifinal b",5,"TCIVINSKII Alexander","GILDEMEISTER Peter","VAN DER VOORT Ronald","ALVARADO Ulises","ITO Masaaki","AXTELIUS Peter","LATIMER Simon"
" men's 3m springboard","final",1,"ALVARADO Ulises","HUFFMAN Colleen","LATIMER Simon","AXTELIUS Peter","GILDEMEISTER Peter","VYAS Mayur","TCIVINSKII Alexander"
" men's 3m springboard","final",2,"ALVARADO Ulises","HUFFMAN Colleen","LATIMER Simon","AXTELIUS Peter","GILDEMEISTER Peter","VYAS Mayur","TCIVINSKII Alexander"
" men's 3m springboard","final",3,"ALVARADO Ulises","HUFFMAN Colleen","LATIMER Simon","AXTELIUS Peter","GILDEMEISTER Peter","VYAS Mayur","TCIVINSKII Alexander"
" men's 3m springboard","final",4,"ALVARADO Ulises","HUFFMAN Colleen","LATIMER Simon","AXTELIUS Peter","GILDEMEISTER Peter","VYAS Mayur","TCIVINSKII Alexander"
" men's 3m springboard","final",5,"ALVARADO Ulises","HUFFMAN Colleen","LATIMER Simon","AXTELIUS Peter","GILDEMEISTER Peter","VYAS Mayur","TCIVINSKII Alexander"
" men's 3m springboard","final",6,"ALVARADO Ulises","HUFFMAN Colleen","LATIMER Simon","AXTELIUS Peter","GILDEMEISTER Peter","VYAS Mayur","TCIVINSKII Alexander"
"women's 3m springboard","final",1,"HUFFMAN Colleen","VYAS Mayur","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","ALVARADO Ulises","LATIMER Simon"
"women's 3m springboard","final",2,"HUFFMAN Colleen","VYAS Mayur","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","ALVARADO Ulises","LATIMER Simon"
"women's 3m springboard","final",3,"HUFFMAN Colleen","VYAS Mayur","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","ALVARADO Ulises","LATIMER Simon"
"women's 3m springboard","final",4,"HUFFMAN Colleen","VYAS Mayur","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","ALVARADO Ulises","LATIMER Simon"
"women's 3m springboard","final",5,"HUFFMAN Colleen","VYAS Mayur","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","ALVARADO Ulises","LATIMER Simon"
" men's 10m platform","final",1,"VYAS Mayur","GILDEMEISTER Peter","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","HUFFMAN Colleen","AXTELIUS Peter"
" men's 10m platform","final",2,"VYAS Mayur","GILDEMEISTER Peter","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","HUFFMAN Colleen","AXTELIUS Peter"
" men's 10m platform","final",3,"VYAS Mayur","GILDEMEISTER Peter","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","HUFFMAN Colleen","AXTELIUS Peter"
" men's 10m platform","final",4,"VYAS Mayur","GILDEMEISTER Peter","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","HUFFMAN Colleen","AXTELIUS Peter"
" men's 10m platform","final",5,"VYAS Mayur","GILDEMEISTER Peter","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","HUFFMAN Colleen","AXTELIUS Peter"
" men's 10m platform","final",6,"VYAS Mayur","GILDEMEISTER Peter","ITO Masaaki","VAN DER VOORT Ronald","TCIVINSKII Alexander","HUFFMAN Colleen","AXTELIUS Peter"
"women's 10m platform","final",1,"ITO Masaaki","VAN DER VOORT Ronald","GILDEMEISTER Peter","AXTELIUS Peter","LATIMER Simon","TCIVINSKII Alexander","ALVARADO Ulises"
"women's 10m platform","final",2,"ITO Masaaki","VAN DER VOORT Ronald","GILDEMEISTER Peter","AXTELIUS Peter","LATIMER Simon","TCIVINSKII Alexander","ALVARADO Ulises"
"women's 10m platform","final",3,"ITO Masaaki","VAN DER VOORT Ronald","GILDEMEISTER Peter","AXTELIUS Peter","LATIMER Simon","TCIVINSKII Alexander","ALVARADO Ulises"
"women's 10m platform","final",4,"ITO Masaaki","VAN DER VOORT Ronald","GILDEMEISTER Peter","AXTELIUS Peter","LATIMER Simon","TCIVINSKII Alexander","ALVARADO Ulises"
"women's 10m platform","final",5,"ITO Masaaki","VAN DER VOORT Ronald","GILDEMEISTER Peter","AXTELIUS Peter","LATIMER Simon","TCIVINSKII Alexander","ALVARADO Ulises"
