"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal a",1,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal a",2,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal a",3,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal a",4,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal a",5,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal a",6,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
"women's 3m springboard","semifinal a",1,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
"women's 3m springboard","semifinal a",2,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
"women's 3m springboard","semifinal a",3,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
"women's 3m springboard","semifinal a",4,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
"women's 3m springboard","semifinal a",5,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
" men's 10m platform","semifinal a",1,"HASSAN Mohamed","XIUREN Wu","LATIMER Simon","KELEMEN Ildiko","BIMIS Thomas","KOLIC Natasha","SEUFERTSHOLTIS Chris"
" men's 10m platform","semifinal a",2,"HASSAN Mohamed","XIUREN Wu","LATIMER Simon","KELEMEN Ildiko","BIMIS Thomas","KOLIC Natasha","SEUFERTSHOLTIS Chris"
" men's 10m platform","semifinal a",3,"HASSAN Mohamed","XIUREN Wu","LATIMER Simon","KELEMEN Ildiko","BIMIS Thomas","KOLIC Natasha","SEUFERTSHOLTIS Chris"
" men's 10m platform","semifinal a",4,"HASSAN Mohamed","XIUREN Wu","LATIMER Simon","KELEMEN Ildiko","BIMIS Thomas","KOLIC Natasha","SEUFERTSHOLTIS Chris"
" men's 10m platform","semifinal a",5,"HASSAN Mohamed","XIUREN Wu","LATIMER Simon","KELEMEN Ildiko","BIMIS Thomas","KOLIC Natasha","SEUFERTSHOLTIS Chris"
" men's 10m platform","semifinal a",6,"HASSAN Mohamed","XIUREN Wu","LATIMER Simon","KELEMEN Ildiko","BIMIS Thomas","KOLIC Natasha","SEUFERTSHOLTIS Chris"
"women's 10m platform","semifinal a",1,"RAO Lang","AVASILOAE Florin","SEUFERTSHOLTIS Chris","HASSAN Mohamed","KOLIC Natasha","LATIMER Simon","KELEMEN Ildiko"
"women's 10m platform","semifinal a",2,"RAO Lang","AVASILOAE Florin","SEUFERTSHOLTIS Chris","HASSAN Mohamed","KOLIC Natasha","LATIMER Simon","KELEMEN Ildiko"
"women's 10m platform","semifinal a",3,"RAO Lang","AVASILOAE Florin","SEUFERTSHOLTIS Chris","HASSAN Mohamed","KOLIC Natasha","LATIMER Simon","KELEMEN Ildiko"
"women's 10m platform","semifinal a",4,"RAO Lang","AVASILOAE Florin","SEUFERTSHOLTIS Chris","HASSAN Mohamed","KOLIC Natasha","LATIMER Simon","KELEMEN Ildiko"
"women's 10m platform","semifinal a",5,"RAO Lang","AVASILOAE Florin","SEUFERTSHOLTIS Chris","HASSAN Mohamed","KOLIC Natasha","LATIMER Simon","KELEMEN Ildiko"
" men's 3m springboard","semifinal b",1,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal b",2,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal b",3,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal b",4,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal b",5,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
" men's 3m springboard","semifinal b",6,"HASSAN Mohamed","KOLIC Natasha","RAO Lang","BIMIS Thomas","AVASILOAE Florin","SEUFERTSHOLTIS Chris","LATIMER Simon"
"women's 3m springboard","semifinal b",1,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
"women's 3m springboard","semifinal b",2,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
"women's 3m springboard","semifinal b",3,"KELEMEN Ildiko","XIUREN Wu","HASSAN Mohamed","BIMIS Thomas","LATIMER Simon","AVASILOAE Florin","SEUFERTSHOLTIS Chris"
