"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 10m platform","semifinal a",1,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal a",2,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal a",3,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal a",4,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal a",5,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal a",6,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
"women's 10m platform","semifinal a",1,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal a",2,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal a",3,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal a",4,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal a",5,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
" men's 3m springboard","semifinal b",1,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal b",2,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal b",3,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal b",4,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal b",5,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal b",6,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
"women's 3m springboard","semifinal b",1,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal b",2,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal b",3,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal b",4,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal b",5,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
" men's 10m platform","semifinal b",1,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal b",2,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal b",3,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal b",4,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal b",5,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
" men's 10m platform","semifinal b",6,"RAO Lang","VYAS Mayur","WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","WU YingTan","BARBOSA Ana Virginia"
"women's 10m platform","semifinal b",1,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal b",2,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal b",3,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal b",4,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
"women's 10m platform","semifinal b",5,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","VYAS Mayur"
" men's 3m springboard","final",1,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","WRIGHT Lisa"
" men's 3m springboard","final",2,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","WRIGHT Lisa"
" men's 3m springboard","final",3,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","WRIGHT Lisa"
" men's 3m springboard","final",4,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","WRIGHT Lisa"
" men's 3m springboard","final",5,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","WRIGHT Lisa"
" men's 3m springboard","final",6,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","WRIGHT Lisa"
"women's 3m springboard","final",1,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","WU Xiuren"
"women's 3m springboard","final",2,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","WU Xiuren"
"women's 3m springboard","final",3,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","WU Xiuren"
"women's 3m springboard","final",4,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","WU Xiuren"
"women's 3m springboard","final",5,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","WU Xiuren"
" men's 10m platform","final",1,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","RAO Lang"
" men's 10m platform","final",2,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","RAO Lang"
" men's 10m platform","final",3,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","RAO Lang"
" men's 10m platform","final",4,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","RAO Lang"
" men's 10m platform","final",5,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","RAO Lang"
" men's 10m platform","final",6,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","RAO Lang"
"women's 10m platform","final",1,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","WU Xiuren"
"women's 10m platform","final",2,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","WU Xiuren"
"women's 10m platform","final",3,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","WU Xiuren"
"women's 10m platform","final",4,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","WU Xiuren"
"women's 10m platform","final",5,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","WU Xiuren"
