"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
" men's 3m springboard","semifinal a",1,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal a",2,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal a",3,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal a",4,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal a",5,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
" men's 3m springboard","semifinal a",6,"BEKETOV Andrei","WRIGHT Lisa","VYAS Mayur","van der VOORT Ronald","BARBOSA Ana Virginia","AVASILOAE Florin","RAO Lang","WU YingTan"
"women's 3m springboard","semifinal a",1,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal a",2,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal a",3,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal a",4,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
"women's 3m springboard","semifinal a",5,"WU Xiuren","BARBOSA Ana Virginia","WRIGHT Lisa","WU YingTan","van der VOORT Ronald","BEKETOV Andrei","VYAS Mayur","AVASILOAE Florin"
