"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
" men's 3m springboard","semifinal b",6,"GILDEMEISTER Peter","LER Damien Soon Tien","GOLOVAN Anatoly","RIOS Cristina","ITO Masaki","TOULOUDIS Nikolaos","VYAS Mayur"
"women's 3m springboard","semifinal b",1,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal b",2,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal b",3,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal b",4,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
"women's 3m springboard","semifinal b",5,"GOLOVAN Anatoly","VYAS Mayur","RIOS Cristina","TELLEFSEN Arne","POLAZZO Valerio","LER Damien Soon Tien","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",1,"POLAZZO Valerio","VYAS Mayur","GOLOVAN Anatoly","GILDEMEISTER Peter","TELLEFSEN Arne","ITO Masaki","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",2,"POLAZZO Valerio","VYAS Mayur","GOLOVAN Anatoly","GILDEMEISTER Peter","TELLEFSEN Arne","ITO Masaki","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",3,"POLAZZO Valerio","VYAS Mayur","GOLOVAN Anatoly","GILDEMEISTER Peter","TELLEFSEN Arne","ITO Masaki","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",4,"POLAZZO Valerio","VYAS Mayur","GOLOVAN Anatoly","GILDEMEISTER Peter","TELLEFSEN Arne","ITO Masaki","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",5,"POLAZZO Valerio","VYAS Mayur","GOLOVAN Anatoly","GILDEMEISTER Peter","TELLEFSEN Arne","ITO Masaki","TOULOUDIS Nikolaos"
" men's 10m platform","semifinal b",6,"POLAZZO Valerio","VYAS Mayur","GOLOVAN Anatoly","GILDEMEISTER Peter","TELLEFSEN Arne","ITO Masaki","TOULOUDIS Nikolaos"
"women's 10m platform","semifinal b",1,"GOLOVAN Anatoly","ITO Masaki","GILDEMEISTER Peter","RIOS Cristina","LER Damien Soon Tien","POLLAZZO Valerio","TELLEFSEN Arne"
"women's 10m platform","semifinal b",2,"GOLOVAN Anatoly","ITO Masaki","GILDEMEISTER Peter","RIOS Cristina","LER Damien Soon Tien","POLLAZZO Valerio","TELLEFSEN Arne"
"women's 10m platform","semifinal b",3,"GOLOVAN Anatoly","ITO Masaki","GILDEMEISTER Peter","RIOS Cristina","LER Damien Soon Tien","POLLAZZO Valerio","TELLEFSEN Arne"
"women's 10m platform","semifinal b",4,"GOLOVAN Anatoly","ITO Masaki","GILDEMEISTER Peter","RIOS Cristina","LER Damien Soon Tien","POLLAZZO Valerio","TELLEFSEN Arne"
"women's 10m platform","semifinal b",5,"GOLOVAN Anatoly","ITO Masaki","GILDEMEISTER Peter","RIOS Cristina","LER Damien Soon Tien","POLLAZZO Valerio","TELLEFSEN Arne"
" men's 3m springboard","final",1,"TOULOUDIS Nikolaos","RIOS Cristina","ITO Masaki","GILDEMEISTER Peter","VYAS Mayur","LER Damien Soon Tien","GOLOVAN Anatoly"
" men's 3m springboard","final",2,"TOULOUDIS Nikolaos","RIOS Cristina","ITO Masaki","GILDEMEISTER Peter","VYAS Mayur","LER Damien Soon Tien","GOLOVAN Anatoly"
" men's 3m springboard","final",3,"TOULOUDIS Nikolaos","RIOS Cristina","ITO Masaki","GILDEMEISTER Peter","VYAS Mayur","LER Damien Soon Tien","GOLOVAN Anatoly"
" men's 3m springboard","final",4,"TOULOUDIS Nikolaos","RIOS Cristina","ITO Masaki","GILDEMEISTER Peter","VYAS Mayur","LER Damien Soon Tien","GOLOVAN Anatoly"
" men's 3m springboard","final",5,"TOULOUDIS Nikolaos","RIOS Cristina","ITO Masaki","GILDEMEISTER Peter","VYAS Mayur","LER Damien Soon Tien","GOLOVAN Anatoly"
" men's 3m springboard","final",6,"TOULOUDIS Nikolaos","RIOS Cristina","ITO Masaki","GILDEMEISTER Peter","VYAS Mayur","LER Damien Soon Tien","GOLOVAN Anatoly"
"women's 3m springboard","final",1,"TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","LER Damien Soon Tien","GOLOVAN Anatoly","VYAS Mayur","TELLEFSEN Arne"
"women's 3m springboard","final",2,"TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","LER Damien Soon Tien","GOLOVAN Anatoly","VYAS Mayur","TELLEFSEN Arne"
"women's 3m springboard","final",3,"TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","LER Damien Soon Tien","GOLOVAN Anatoly","VYAS Mayur","TELLEFSEN Arne"
"women's 3m springboard","final",4,"TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","LER Damien Soon Tien","GOLOVAN Anatoly","VYAS Mayur","TELLEFSEN Arne"
"women's 3m springboard","final",5,"TOULOUDIS Nikolaos","RIOS Cristina","POLAZZO Valerio","LER Damien Soon Tien","GOLOVAN Anatoly","VYAS Mayur","TELLEFSEN Arne"
" men's 10m platform","final",1,"VYAS Mayur","GOLOVAN Anatoly","TELLEFSEN Arne","TOULOUDIS Nikolaos","ITO Masaki","GILDEMEISTER Peter","POLAZZO Valerio"
" men's 10m platform","final",2,"VYAS Mayur","GOLOVAN Anatoly","TELLEFSEN Arne","TOULOUDIS Nikolaos","ITO Masaki","GILDEMEISTER Peter","POLAZZO Valerio"
" men's 10m platform","final",3,"VYAS Mayur","GOLOVAN Anatoly","TELLEFSEN Arne","TOULOUDIS Nikolaos","ITO Masaki","GILDEMEISTER Peter","POLAZZO Valerio"
" men's 10m platform","final",4,"VYAS Mayur","GOLOVAN Anatoly","TELLEFSEN Arne","TOULOUDIS Nikolaos","ITO Masaki","GILDEMEISTER Peter","POLAZZO Valerio"
" men's 10m platform","final",5,"VYAS Mayur","GOLOVAN Anatoly","TELLEFSEN Arne","TOULOUDIS Nikolaos","ITO Masaki","GILDEMEISTER Peter","POLAZZO Valerio"
" men's 10m platform","final",6,"VYAS Mayur","GOLOVAN Anatoly","TELLEFSEN Arne","TOULOUDIS Nikolaos","ITO Masaki","GILDEMEISTER Peter","POLAZZO Valerio"
"women's 10m platform","final",1,"LER Damien Soon Tien","TELLEFSEN Arne","ITO Masaki","POLLAZZO Valerio","GOLOVAN Anatoly","GILDEMEISTER Peter","RIOS Cristina"
"women's 10m platform","final",2,"LER Damien Soon Tien","TELLEFSEN Arne","ITO Masaki","POLLAZZO Valerio","GOLOVAN Anatoly","GILDEMEISTER Peter","RIOS Cristina"
"women's 10m platform","final",3,"LER Damien Soon Tien","TELLEFSEN Arne","ITO Masaki","POLLAZZO Valerio","GOLOVAN Anatoly","GILDEMEISTER Peter","RIOS Cristina"
"women's 10m platform","final",4,"LER Damien Soon Tien","TELLEFSEN Arne","ITO Masaki","POLLAZZO Valerio","GOLOVAN Anatoly","GILDEMEISTER Peter","RIOS Cristina"
"women's 10m platform","final",5,"LER Damien Soon Tien","TELLEFSEN Arne","ITO Masaki","POLLAZZO Valerio","GOLOVAN Anatoly","GILDEMEISTER Peter","RIOS Cristina"
