"event","round","divenum","J1","J2","J3","J4","J5","J6","J7"
"women's 3m springboard","semifinal b",3,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
"women's 3m springboard","semifinal b",4,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
"women's 3m springboard","semifinal b",5,"PETERSON Gordon","AZORIN Daniel","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee","FRASER Lindsey","MATSUMOTO Yukio"
" men's 10m platform","semifinal b",1,"KANETO Yuki","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","YEOH Ken Nee","FRASER Lindsey","BROOKER Gillian"
" men's 10m platform","semifinal b",2,"KANETO Yuki","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","YEOH Ken Nee","FRASER Lindsey","BROOKER Gillian"
" men's 10m platform","semifinal b",3,"KANETO Yuki","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","YEOH Ken Nee","FRASER Lindsey","BROOKER Gillian"
" men's 10m platform","semifinal b",4,"KANETO Yuki","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","YEOH Ken Nee","FRASER Lindsey","BROOKER Gillian"
" men's 10m platform","semifinal b",5,"KANETO Yuki","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","YEOH Ken Nee","FRASER Lindsey","BROOKER Gillian"
" men's 10m platform","semifinal b",6,"KANETO Yuki","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","YEOH Ken Nee","FRASER Lindsey","BROOKER Gillian"
"women's 10m platform","semifinal b",1,"MATSUMOTO Yukio","BROOKER Gillian","FRASER Lindsey","PETERSON Gordon","AZORIN Daniel","YEOH Ken Nee","BEKETOV Andrey"
"women's 10m platform","semifinal b",2,"MATSUMOTO Yukio","BROOKER Gillian","FRASER Lindsey","PETERSON Gordon","AZORIN Daniel","YEOH Ken Nee","BEKETOV Andrey"
"women's 10m platform","semifinal b",3,"MATSUMOTO Yukio","BROOKER Gillian","FRASER Lindsey","PETERSON Gordon","AZORIN Daniel","YEOH Ken Nee","BEKETOV Andrey"
"women's 10m platform","semifinal b",4,"MATSUMOTO Yukio","BROOKER Gillian","FRASER Lindsey","PETERSON Gordon","AZORIN Daniel","YEOH Ken Nee","BEKETOV Andrey"
"women's 10m platform","semifinal b",5,"MATSUMOTO Yukio","BROOKER Gillian","FRASER Lindsey","PETERSON Gordon","AZORIN Daniel","YEOH Ken Nee","BEKETOV Andrey"
" men's 3m springboard","final",1,"MATSUMOTO Yukio","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee"
" men's 3m springboard","final",2,"MATSUMOTO Yukio","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee"
" men's 3m springboard","final",3,"MATSUMOTO Yukio","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee"
" men's 3m springboard","final",4,"MATSUMOTO Yukio","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee"
" men's 3m springboard","final",5,"MATSUMOTO Yukio","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee"
" men's 3m springboard","final",6,"MATSUMOTO Yukio","AZORIN Daniel","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","BROOKER Gillian","YEOH Ken Nee"
"women's 3m springboard","final",1,"BROOKER Gillian","YEOH Ken Nee","STABILE Jeff","PETERSON Gordon","FRASER Lindsey","BEKETOV Andrey","MATSUMOTO Yukio"
"women's 3m springboard","final",2,"BROOKER Gillian","YEOH Ken Nee","STABILE Jeff","PETERSON Gordon","FRASER Lindsey","BEKETOV Andrey","MATSUMOTO Yukio"
"women's 3m springboard","final",3,"BROOKER Gillian","YEOH Ken Nee","STABILE Jeff","PETERSON Gordon","FRASER Lindsey","BEKETOV Andrey","MATSUMOTO Yukio"
"women's 3m springboard","final",4,"BROOKER Gillian","YEOH Ken Nee","STABILE Jeff","PETERSON Gordon","FRASER Lindsey","BEKETOV Andrey","MATSUMOTO Yukio"
"women's 3m springboard","final",5,"BROOKER Gillian","YEOH Ken Nee","STABILE Jeff","PETERSON Gordon","FRASER Lindsey","BEKETOV Andrey","MATSUMOTO Yukio"
" men's 10m platform","final",1,"FRASER Lindsey","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","BROOKER Gillian","MATSUMOTO Yukio"
" men's 10m platform","final",2,"FRASER Lindsey","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","BROOKER Gillian","MATSUMOTO Yukio"
" men's 10m platform","final",3,"FRASER Lindsey","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","BROOKER Gillian","MATSUMOTO Yukio"
" men's 10m platform","final",4,"FRASER Lindsey","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","BROOKER Gillian","MATSUMOTO Yukio"
" men's 10m platform","final",5,"FRASER Lindsey","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","BROOKER Gillian","MATSUMOTO Yukio"
" men's 10m platform","final",6,"FRASER Lindsey","PETERSON Gordon","BEKETOV Andrey","STABILE Jeff","AZORIN Daniel","BROOKER Gillian","MATSUMOTO Yukio"
"women's 10m platform","final",1,"MATSUMOTO Yukio","AZORIN Daniel","STABILE Jeff","FRASER Lindsey","BROOKER Gillian","BEKETOV Andrey","PETERSON Gordon"
"women's 10m platform","final",2,"MATSUMOTO Yukio","AZORIN Daniel","STABILE Jeff","FRASER Lindsey","BROOKER Gillian","BEKETOV Andrey","PETERSON Gordon"
"women's 10m platform","final",3,"MATSUMOTO Yukio","AZORIN Daniel","STABILE Jeff","FRASER Lindsey","BROOKER Gillian","BEKETOV Andrey","PETERSON Gordon"
"women's 10m platform","final",4,"MATSUMOTO Yukio","AZORIN Daniel","STABILE Jeff","FRASER Lindsey","BROOKER Gillian","BEKETOV Andrey","PETERSON Gordon"
"women's 10m platform","final",5,"MATSUMOTO Yukio","AZORIN Daniel","STABILE Jeff","FRASER Lindsey","BROOKER Gillian","BEKETOV Andrey","PETERSON Gordon"
